1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,2 ±è¹ÎÇõ,7,Á¤¿ë¿î,6
0,0,1,1,0,0,1,0,1,0,0,5 ±è¹ÎÇõ,7,ÀÌµ¿Çö,2
0,0,1,1,0,0,0,1,1,0,0,5 ±è¹ÎÇõ,7,ÀÓÁ¤È£,-1
0,0,1,1,0,0,1,0,1,0,0,5 ±è¹ÎÇõ,7,¿øÁ¾Çö,3
0,0,1,0,1,0,1,0,1,0,0,7 ±è¹ÎÇõ,7,ÃÖ±Ý°­,-1
0,0,1,0,1,0,0,1,1,0,0,2 ±è¹ÎÇõ,7,¹Ú°æÅÂ,3
0,0,1,0,0,1,0,1,1,0,0,2 ±è¹ÎÇõ,7,±è±¤¼ö,-1
0,0,1,0,1,0,1,0,1,0,0,2 ±è¹ÎÇõ,7,½Éµ¿¼·,-1
0,0,1,0,1,0,0,1,0,1,0,7 ±è¹ÎÇõ,7,ÀÓÁØÇõ,-1
0,0,1,0,0,1,1,0,0,1,0,7 ±è¹ÎÇõ,7,±èÁÖÇÑ,5
0,0,1,0,0,1,0,1,1,0,0,2 ±è¹ÎÇõ,7,¹Ú»ó¿ø,6
0,1,0,0,1,0,0,1,1,0,0,5 ±è¹ÎÇõ,7,¹êÇìÄË,-1
0,1,0,0,0,1,1,0,1,0,0,2 ±è¹ÎÇõ,7,¿ÀÁÖ¿ø,2
0,0,1,0,1,0,0,1,0,1,0,2 ±è¹ÎÇõ,7,ÁøÇØ¼ö,3
1,0,0,1,0,0,0,1,1,0,0,8 ±è¹ÎÇõ,7,ÇãÇÁ,-1
0,1,0,1,0,0,0,1,1,0,0,8 ±è¹ÎÇõ,7,ÇãÇÁ,-1
0,1,0,0,0,1,1,0,1,0,0,9 ±è¹ÎÇõ,7,ÆÖµò,-1
0,0,1,0,0,1,0,1,1,0,0,9 ±è¹ÎÇõ,7,°íÈ¿ÁØ,2
0,0,1,0,1,0,0,1,1,0,0,1 ±è¹ÎÇõ,7,¹éÁ¤Çö,1
0,0,1,0,1,0,0,1,1,0,0,7 ±è¹ÎÇõ,7,Á¤¿ì¶÷,2
0,0,1,0,0,1,1,0,1,0,0,2 ±è¹ÎÇõ,7,ÀÓÃ¢¹Î,3
