3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1 김인태,3,정우람,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5 김인태,3,정우람,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,8 김인태,3,장시환,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3 김인태,3,이보근,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2 김인태,3,오설리반,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,2 김인태,3,오설리반,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2 김인태,3,한현희,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2 김인태,3,한현희,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,2 김인태,3,이보근,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6 김인태,3,최원태,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,6 김인태,3,최원태,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,6 김인태,3,최원태,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6 김인태,3,양훈,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1 김인태,3,김윤동,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 김인태,3,헥터,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,8 김인태,3,헥터,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 김인태,3,헥터,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,8 김인태,3,한승혁,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,8 김인태,3,배재환,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,8 김인태,3,배재환,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5 김인태,3,강장산,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5 김인태,3,강장산,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5 김인태,3,이민호,A
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9 김인태,3,다이아몬드,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9 김인태,3,다이아몬드,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,9 김인태,3,다이아몬드,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,9 김인태,3,서진용,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,9 김인태,3,켈리,A
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,9 김인태,3,켈리,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,9 김인태,3,켈리,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,9 김인태,3,임준혁,A
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9 김인태,3,박종훈,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9 김인태,3,박종훈,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8 김인태,3,이상화,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,8 김인태,3,심동섭,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8 김인태,3,김윤동,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7 김인태,3,임창용,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8 김인태,3,심창민,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,9 김인태,3,한현희,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,7 김인태,3,윤길현,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1 김인태,3,박종훈,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2 김인태,3,최원태,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2 김인태,3,최원태,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2 김인태,3,최원태,A
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7 김인태,3,김광현,A
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,7 김인태,3,김광현,A
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7 김인태,3,김광현,A
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1 김인태,3,김사율,A
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,8 김인태,3,김재윤,A
0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,4 김인태,3,이창재,A
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2 김인태,3,이명우,A
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2 김인태,3,이명우,A
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2 김인태,3,이명우,A
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2 김인태,3,린드블럼,A
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2 김인태,3,린드블럼,A
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2 김인태,3,린드블럼,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2 김인태,3,정대훈,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3 김인태,3,이승현,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 김인태,3,정현욱,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,8 김인태,3,윤지웅,A
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,8 김인태,3,윤지웅,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4 김인태,3,김명찬,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3 김인태,3,김윤동,A
