1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,4 김재환,3,비야누에바,-1
0,1,0,0,1,0,0,1,1,0,0,4 김재환,3,비야누에바,-1
0,1,0,0,0,1,1,0,1,0,0,4 김재환,3,비야누에바,-1
0,0,1,0,1,0,0,1,0,0,1,4 김재환,3,심수창,0
1,0,0,0,0,1,1,0,1,0,0,4 김재환,3,오간도,-1
0,1,0,0,1,0,0,1,0,1,0,4 김재환,3,오간도,-1
0,1,0,0,1,0,1,0,1,0,0,4 김재환,3,오간도,-1
0,0,1,0,0,1,1,0,0,0,1,4 김재환,3,박정진,-1
0,0,1,0,0,1,0,1,1,0,0,4 김재환,3,정우람,4
0,0,1,0,0,1,0,1,1,0,0,4 김재환,3,윤규진,2
1,0,0,1,0,0,0,1,0,0,1,4 김재환,3,송은범,2
0,1,0,1,0,0,0,1,0,1,0,4 김재환,3,송은범,2
0,1,0,0,0,1,1,0,1,0,0,4 김재환,3,송은범,2
0,0,1,0,0,1,0,1,1,0,0,4 김재환,3,장민재,0
0,0,1,1,0,0,0,1,1,0,0,4 김재환,3,안영명,2
1,0,0,0,0,1,1,0,0,1,0,4 김재환,3,주권,0
1,0,0,0,0,1,1,0,1,0,0,4 김재환,3,주권,0
0,1,0,1,0,0,0,1,0,1,0,4 김재환,3,주권,0
0,0,1,0,1,0,0,1,1,0,0,4 김재환,3,엄상백,0
0,0,1,0,0,1,1,0,1,0,0,4 김재환,3,조무근,1
1,0,0,1,0,0,0,1,0,1,0,4 김재환,3,고영표,-1
0,1,0,0,1,0,0,1,0,1,0,4 김재환,3,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,4 김재환,3,고영표,-1
0,0,1,0,1,0,0,1,1,0,0,4 김재환,3,심재민,-1
1,0,0,0,0,1,1,0,0,0,1,4 김재환,3,밴헤켄,-1
1,0,0,0,0,1,0,1,1,0,0,4 김재환,3,밴헤켄,-1
0,1,0,1,0,0,0,1,1,0,0,4 김재환,3,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,4 김재환,3,김상수,0
0,0,1,0,0,1,0,1,1,0,0,4 김재환,3,이보근,2
1,0,0,0,0,1,1,0,0,1,0,4 김재환,3,오설리반,-1
1,0,0,0,0,1,0,1,0,1,0,4 김재환,3,오설리반,-1
0,1,0,0,0,1,0,1,1,0,0,4 김재환,3,한현희,2
0,0,1,1,0,0,0,1,1,0,0,4 김재환,3,금민철,2
0,0,1,0,1,0,0,1,0,1,0,4 김재환,3,김정훈,-1
1,0,0,1,0,0,0,1,1,0,0,4 김재환,3,최원태,1
0,1,0,1,0,0,0,1,0,1,0,4 김재환,3,최원태,1
0,0,1,1,0,0,0,1,1,0,0,4 김재환,3,최원태,1
0,0,1,0,0,1,1,0,1,0,0,4 김재환,3,양훈,-1
1,0,0,0,0,1,1,0,1,0,0,4 김재환,3,홍건희,0
1,0,0,1,0,0,0,1,0,0,1,4 김재환,3,홍건희,0
0,1,0,1,0,0,1,0,0,1,0,4 김재환,3,김광수,-1
0,1,0,1,0,0,1,0,0,1,0,4 김재환,3,박진태,-1
1,0,0,0,0,1,1,0,1,0,0,4 김재환,3,임기영,0
1,0,0,0,1,0,0,1,1,0,0,4 김재환,3,임기영,0
0,1,0,0,0,1,1,0,1,0,0,4 김재환,3,임기영,0
0,0,1,1,0,0,0,1,0,0,1,4 김재환,3,심동섭,-1
1,0,0,1,0,0,0,1,1,0,0,4 김재환,3,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,4 김재환,3,헥터,-1
0,1,0,0,1,0,0,1,1,0,0,4 김재환,3,헥터,-1
0,0,1,0,1,0,1,0,1,0,0,4 김재환,3,심동섭,-1
1,0,0,0,1,0,1,0,0,0,1,4 김재환,3,배재환,2
1,0,0,1,0,0,0,1,1,0,0,4 김재환,3,배재환,2
0,1,0,1,0,0,0,1,1,0,0,4 김재환,3,강윤구,2
0,1,0,1,0,0,1,0,1,0,0,4 김재환,3,강윤구,2
0,1,0,0,0,1,1,0,0,1,0,4 김재환,3,최금강,-1
0,0,1,1,0,0,0,1,0,1,0,4 김재환,3,최금강,-1
1,0,0,0,1,0,0,1,1,0,0,4 김재환,3,구창모,2
1,0,0,0,0,1,0,1,1,0,0,4 김재환,3,구창모,2
0,1,0,1,0,0,0,1,1,0,0,4 김재환,3,강장산,-1
0,1,0,0,1,0,0,1,1,0,0,4 김재환,3,강장산,-1
0,0,1,0,0,1,1,0,1,0,0,4 김재환,3,강장산,-1
1,0,0,1,0,0,0,1,1,0,0,4 김재환,3,장현식,2
0,1,0,1,0,0,1,0,1,0,0,4 김재환,3,장현식,2
0,1,0,1,0,0,0,1,0,1,0,4 김재환,3,원종현,1
0,0,1,0,1,0,0,1,0,1,0,4 김재환,3,김진성,2
