3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,6 류지혁,B,심수창,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8 류지혁,B,송은범,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 류지혁,B,장민재,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,8 류지혁,B,정우람,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,8 류지혁,B,안영명,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,8 류지혁,B,고영표,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 류지혁,B,고영표,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,9 류지혁,B,금민철,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,9 류지혁,B,최원태,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2 류지혁,B,박지훈,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,9 류지혁,B,이민호,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,9 류지혁,B,장현식,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,9 류지혁,B,장현식,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9 류지혁,B,김진성,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9 류지혁,B,이민호,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,9 류지혁,B,문승원,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,9 류지혁,B,문승원,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,9 류지혁,B,문승원,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9 류지혁,B,채병용,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,9 류지혁,B,박종훈,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9 류지혁,B,박종훈,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9 류지혁,B,박정배,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9 류지혁,B,박희수,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9 류지혁,B,켈리,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,9 류지혁,B,켈리,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,9 류지혁,B,켈리,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,9 류지혁,B,김주한,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9 류지혁,B,임준혁,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,9 류지혁,B,황덕균,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,9 류지혁,B,김세현,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2 류지혁,B,오주원,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,7 류지혁,B,배장호,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,9 류지혁,B,박시영,A
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,9 류지혁,B,윤성환,A
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,9 류지혁,B,윤성환,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7 류지혁,B,김승현,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,7 류지혁,B,김동호,A
