1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,0,1,0,1,0,5 박세혁,-1,심재민,-1
1,0,0,0,0,1,0,1,0,1,0,8 박세혁,-1,밴헤켄,-1
0,1,0,0,0,1,1,0,1,0,0,8 박세혁,-1,밴헤켄,-1
0,0,1,1,0,0,1,0,1,0,0,8 박세혁,-1,이보근,-1
0,1,0,1,0,0,0,1,1,0,0,8 박세혁,-1,최원태,-1
0,0,1,0,0,1,0,1,0,1,0,8 박세혁,-1,최원태,-1
0,0,1,0,0,1,0,1,1,0,0,5 박세혁,-1,박지훈,-1
1,0,0,1,0,0,1,0,1,0,0,8 박세혁,-1,구창모,-1
1,0,0,1,0,0,1,0,0,1,0,8 박세혁,-1,구창모,-1
0,1,0,0,1,0,0,1,1,0,0,8 박세혁,-1,강장산,-1
0,0,1,0,0,1,0,1,0,1,0,8 박세혁,-1,강장산,-1
0,0,1,0,1,0,1,0,0,1,0,8 박세혁,-1,이민호,0
0,0,1,0,1,0,0,1,1,0,0,5 박세혁,-1,권오준,2
0,0,1,1,0,0,0,1,0,1,0,6 박세혁,-1,권오준,2
1,0,0,0,1,0,0,1,1,0,0,8 박세혁,-1,문승원,-1
0,1,0,0,1,0,0,1,0,0,1,8 박세혁,-1,문승원,-1
0,1,0,0,1,0,0,1,1,0,0,8 박세혁,-1,문승원,-1
0,0,1,0,1,0,0,1,1,0,0,8 박세혁,-1,채병용,2
0,0,1,1,0,0,0,1,1,0,0,5 박세혁,-1,황덕균,-1
0,0,1,1,0,0,1,0,0,1,0,5 박세혁,-1,양훈,-1
0,0,1,1,0,0,0,1,1,0,0,5 박세혁,-1,김상수,-1
1,0,0,0,0,1,0,1,1,0,0,8 박세혁,-1,레일리,-1
0,1,0,0,0,1,1,0,1,0,0,8 박세혁,-1,레일리,-1
0,0,1,0,1,0,0,1,1,0,0,5 박세혁,-1,이승현,-1
1,0,0,0,1,0,0,1,1,0,0,8 박세혁,-1,류제국,-1
1,0,0,0,0,1,1,0,1,0,0,8 박세혁,-1,류제국,-1
0,1,0,0,1,0,0,1,0,1,0,8 박세혁,-1,류제국,-1
0,0,1,0,0,1,0,1,1,0,0,8 박세혁,-1,고우석,-1
0,0,1,0,1,0,1,0,0,0,1,5 박세혁,-1,강동호,-1
0,0,1,1,0,0,1,0,1,0,0,5 박세혁,-1,배장호,2
1,0,0,0,0,1,1,0,1,0,0,8 박세혁,-1,헥터,-1
0,1,0,1,0,0,0,1,0,1,0,8 박세혁,-1,헥터,-1
0,0,1,0,1,0,0,1,0,1,0,8 박세혁,-1,헥터,-1
0,0,1,1,0,0,0,1,0,0,1,7 박세혁,-1,소사,1
0,0,1,0,0,1,0,1,1,0,0,7 박세혁,-1,윤지웅,4
0,0,1,0,0,1,1,0,1,0,0,7 박세혁,-1,김대현,-1
1,0,0,1,0,0,1,0,0,1,0,8 박세혁,-1,홍성용,0
1,0,0,0,0,1,0,1,1,0,0,8 박세혁,-1,류희운,-1
0,1,0,0,0,1,0,1,1,0,0,8 박세혁,-1,류희운,-1
0,1,0,0,0,1,1,0,0,0,1,8 박세혁,-1,배제성,-1
1,0,0,1,0,0,0,1,1,0,0,8 박세혁,-1,주권,-1
0,1,0,1,0,0,0,1,1,0,0,8 박세혁,-1,주권,-1
0,1,0,0,0,1,1,0,1,0,0,8 박세혁,-1,엄상백,-1
0,0,1,0,1,0,1,0,1,0,0,8 박세혁,-1,심재민,-1
0,0,1,0,0,1,0,1,0,0,1,7 박세혁,-1,권혁,4
0,0,1,0,1,0,0,1,0,1,0,5 박세혁,-1,박종윤,-1
1,0,0,0,0,1,0,1,0,0,1,9 박세혁,-1,신재영,-1
0,1,0,1,0,0,0,1,1,0,0,9 박세혁,-1,신재영,-1
0,1,0,0,1,0,0,1,0,1,0,9 박세혁,-1,신재영,-1
0,0,1,1,0,0,1,0,1,0,0,9 박세혁,-1,이보근,-1
1,0,0,0,0,1,1,0,0,1,0,9 박세혁,-1,김원중,-1
0,1,0,0,0,1,0,1,1,0,0,9 박세혁,-1,김원중,-1
0,1,0,0,0,1,1,0,1,0,0,9 박세혁,-1,김유영,-1
0,0,1,0,0,1,0,1,1,0,0,9 박세혁,-1,김유영,-1
0,1,0,1,0,0,0,1,1,0,0,5 박세혁,-1,임찬규,-1
0,1,0,0,1,0,1,0,1,0,0,5 박세혁,-1,임찬규,-1
0,0,1,0,0,1,1,0,0,0,1,5 박세혁,-1,김지용,-1
1,0,0,0,1,0,0,1,1,0,0,9 박세혁,-1,허프,-1
0,1,0,0,1,0,1,0,0,1,0,9 박세혁,-1,허프,-1
0,0,1,1,0,0,0,1,1,0,0,9 박세혁,-1,허프,-1
