1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,9 신성현,2,니퍼트,1
0,1,0,0,0,1,0,1,1,0,0,9 신성현,2,니퍼트,1
0,0,1,0,1,0,0,1,0,1,0,9 신성현,2,니퍼트,1
1,0,0,1,0,0,0,1,1,0,0,1 신성현,2,유희관,2
1,0,0,1,0,0,0,1,0,1,0,1 신성현,2,유희관,2
0,1,0,0,0,1,1,0,1,0,0,1 신성현,2,유희관,2
0,0,1,1,0,0,0,1,1,0,0,3 신성현,2,김승회,2
0,0,1,0,1,0,0,1,0,1,0,3 신성현,2,김성배,-1
1,0,0,1,0,0,0,1,1,0,0,3 신성현,2,최금강,-1
0,1,0,0,1,0,0,1,1,0,0,3 신성현,2,배재환,2
0,0,1,1,0,0,0,1,1,0,0,3 신성현,2,이형범,2
1,0,0,0,1,0,1,0,0,0,1,7 신성현,2,해커,1
1,0,0,0,0,1,0,1,1,0,0,8 신성현,2,양현종,1
0,1,0,0,0,1,0,1,1,0,0,8 신성현,2,양현종,1
0,0,1,0,0,1,0,1,1,0,0,8 신성현,2,양현종,1
0,0,1,0,1,0,0,1,1,0,0,8 신성현,2,임창용,-1
0,1,0,0,1,0,0,1,1,0,0,8 신성현,2,김대우,0
0,0,1,0,0,1,1,0,1,0,0,8 신성현,2,김승현,2
0,0,1,1,0,0,0,1,1,0,0,8 신성현,2,심창민,-1
0,0,1,1,0,0,1,0,1,0,0,8 신성현,2,페트릭,-1
0,0,1,0,0,1,0,1,1,0,0,8 신성현,2,박근홍,0
1,0,0,1,0,0,0,1,1,0,0,5 신성현,2,우규민,1
0,1,0,0,0,1,0,1,1,0,0,5 신성현,2,우규민,1
0,1,0,0,0,1,0,1,1,0,0,5 신성현,2,우규민,1
0,0,1,0,0,1,0,1,1,0,0,5 신성현,2,심창민,-1
1,0,0,1,0,0,1,0,1,0,0,8 신성현,2,윤희상,2
1,0,0,0,0,1,1,0,1,0,0,8 신성현,2,문승원,0
0,1,0,0,1,0,1,0,0,1,0,8 신성현,2,문승원,0
0,1,0,0,1,0,0,1,1,0,0,8 신성현,2,문승원,0
0,0,1,0,0,1,1,0,0,1,0,8 신성현,2,임준혁,-1
0,0,1,0,0,1,0,1,1,0,0,8 신성현,2,전유수,0
1,0,0,0,1,0,0,1,1,0,0,9 신성현,2,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,9 신성현,2,박종훈,2
0,0,1,0,1,0,1,0,1,0,0,9 신성현,2,박희수,4
0,0,1,0,0,1,0,1,1,0,0,3 신성현,2,심창민,-1
1,0,0,0,0,1,0,1,1,0,0,8 신성현,2,김대우,0
0,1,0,1,0,0,1,0,1,0,0,8 신성현,2,김대우,0
0,0,1,0,1,0,0,1,1,0,0,2 신성현,2,서진용,2
0,1,0,0,0,1,0,1,1,0,0,3 신성현,2,김성민,2
0,0,1,1,0,0,1,0,1,0,0,3 신성현,2,김주한,2
