1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,배우열,0
0,0,1,0,0,1,1,0,0,1,0,8 이흥련,4,김사율,-1
0,0,1,1,0,0,0,1,0,1,0,8 이흥련,4,배우열,0
1,0,0,0,0,1,1,0,1,0,0,8 이흥련,4,엄상백,0
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,엄상백,0
0,0,1,0,1,0,1,0,0,1,0,8 이흥련,4,김성배,-1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,박세웅,2
0,1,0,1,0,0,0,1,0,1,0,8 이흥련,4,박세웅,2
0,1,0,1,0,0,0,1,0,0,1,8 이흥련,4,정대현,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,윤길현,2
0,0,1,1,0,0,0,1,0,0,1,8 이흥련,4,박민석,-1
1,0,0,0,1,0,0,1,1,0,0,8 이흥련,4,해커,1
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,해커,1
0,0,1,1,0,0,1,0,1,0,0,8 이흥련,4,해커,1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,유희관,2
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,유희관,2
1,0,0,0,1,0,0,1,0,1,0,8 이흥련,4,보우덴,-1
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,보우덴,-1
0,0,1,0,0,1,0,1,0,1,0,8 이흥련,4,홍건희,0
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,김민수,0
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,김민수,0
1,0,0,0,0,1,1,0,0,1,0,8 이흥련,4,마리몬,-1
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,마리몬,-1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,심수창,0
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,박정진,-1
0,1,0,0,0,1,1,0,1,0,0,8 이흥련,4,권혁,1
1,0,0,0,1,0,0,1,0,0,1,8 이흥련,4,코엘로,-1
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,코엘로,-1
1,0,0,0,0,1,1,0,0,1,0,8 이흥련,4,신재영,2
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,신재영,2
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,하영민,0
1,0,0,0,0,1,0,1,1,0,0,8 이흥련,4,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,박종훈,2
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,김승회,2
0,0,1,0,0,1,1,0,1,0,0,8 이흥련,4,박정배,2
1,0,0,1,0,0,0,1,0,1,0,8 이흥련,4,소사,-1
0,1,0,0,0,1,1,0,1,0,0,8 이흥련,4,소사,-1
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,소사,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,최성훈,2
0,0,1,1,0,0,1,0,1,0,0,6 이흥련,4,이정민,-1
0,0,1,0,0,1,1,0,1,0,0,6 이흥련,4,윤길현,2
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,이태양,0
0,1,0,0,0,1,1,0,0,1,0,8 이흥련,4,이태양,0
0,1,0,0,0,1,0,1,0,0,1,8 이흥련,4,윤규진,2
0,0,1,0,0,1,0,1,0,1,0,6 이흥련,4,정재원,3
0,0,1,1,0,0,0,1,0,1,0,8 이흥련,4,김선규,-1
1,0,0,0,0,1,1,0,1,0,0,8 이흥련,4,스튜어트,-1
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,스튜어트,-1
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,최금강,-1
0,0,1,0,1,0,0,1,0,0,1,6 이흥련,4,박준표,0
1,0,0,0,0,1,1,0,1,0,0,8 이흥련,4,헥터,-1
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,헥터,-1
0,0,1,0,1,0,1,0,0,1,0,8 이흥련,4,곽정철,-1
0,0,1,0,0,1,1,0,1,0,0,7 이흥련,4,김승회,2
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,문승원,0
0,1,0,0,1,0,1,0,0,1,0,8 이흥련,4,문승원,0
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,문광은,3
0,0,1,0,1,0,1,0,1,0,0,8 이흥련,4,문광은,3
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,박민호,2
1,0,0,0,1,0,0,1,1,0,0,8 이흥련,4,박주현,-1
0,1,0,0,0,1,1,0,1,0,0,8 이흥련,4,박주현,-1
0,0,1,0,0,1,0,1,0,0,1,8 이흥련,4,김상수,0
0,0,1,0,0,1,0,1,1,0,0,8 이흥련,4,김세현,2
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,마정길,-1
1,0,0,0,1,0,1,0,0,1,0,8 이흥련,4,이태양,0
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,이태양,0
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,송창식,0
0,0,1,1,0,0,1,0,0,0,1,8 이흥련,4,이승현,2
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,소사,-1
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,소사,-1
1,0,0,1,0,0,0,1,0,1,0,8 이흥련,4,문승원,0
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,김승회,2
0,0,1,0,0,1,0,1,1,0,0,8 이흥련,4,정영일,0
0,0,1,1,0,0,0,1,0,1,0,6 이흥련,4,이현승,2
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,박시영,3
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,손승락,1
1,0,0,1,0,0,1,0,1,0,0,8 이흥련,4,정대현,-1
1,0,0,0,1,0,1,0,0,1,0,8 이흥련,4,엄상백,0
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,정성곤,0
0,0,1,1,0,0,0,1,0,1,0,8 이흥련,4,조무근,1
0,0,1,1,0,0,1,0,0,1,0,8 이흥련,4,조무근,1
0,0,1,0,0,1,1,0,1,0,0,7 이흥련,4,김재윤,1
0,0,1,0,0,1,0,1,1,0,0,5 이흥련,4,임창민,1
1,0,0,0,0,1,0,1,1,0,0,8 이흥련,4,정수민,3
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,구창모,2
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,장현식,2
1,0,0,0,1,0,1,0,1,0,0,8 이흥련,4,맥그레거,-1
0,1,0,0,0,1,0,1,0,1,0,8 이흥련,4,맥그레거,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,김상수,0
0,0,1,0,1,0,1,0,1,0,0,8 이흥련,4,김세현,2
0,0,1,0,0,1,1,0,1,0,0,8 이흥련,4,마정길,-1
0,0,1,0,0,1,0,1,1,0,0,8 이흥련,4,박희수,4
1,0,0,1,0,0,1,0,1,0,0,8 이흥련,4,양현종,1
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,양현종,1
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,양현종,1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,김명찬,-1
0,1,0,0,1,0,1,0,0,0,1,8 이흥련,4,곽정철,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,박준표,0
0,0,1,0,0,1,1,0,1,0,0,8 이흥련,4,황재규,-1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,류제국,2
0,1,0,1,0,0,1,0,1,0,0,8 이흥련,4,류제국,2
0,1,0,1,0,0,1,0,1,0,0,8 이흥련,4,이동현,1
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,윤지웅,2
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,이민호,2
1,0,0,1,0,0,0,1,0,1,0,8 이흥련,4,정대현,-1
1,0,0,0,1,0,0,1,1,0,0,8 이흥련,4,정성곤,0
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,정성곤,0
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,홍성용,-1
1,0,0,0,1,0,1,0,1,0,0,8 이흥련,4,신재영,2
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,신재영,2
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,김광현,1
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,김광현,1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,채병용,2
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,박희수,4
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,헥터,-1
0,1,0,0,0,1,0,1,0,1,0,8 이흥련,4,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,최영필,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,임창용,-1
1,0,0,1,0,0,1,0,1,0,0,8 이흥련,4,린드블럼,1
1,0,0,0,0,1,0,1,0,1,0,8 이흥련,4,린드블럼,1
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,박한길,-1
0,0,1,0,0,1,1,0,0,1,0,8 이흥련,4,이성민,-1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,금민철,2
1,0,0,0,1,0,0,1,0,1,0,8 이흥련,4,박주현,-1
0,1,0,1,0,0,1,0,1,0,0,8 이흥련,4,박주현,-1
0,1,0,0,0,1,1,0,1,0,0,8 이흥련,4,박주현,-1
0,0,1,0,1,0,0,1,0,1,0,8 이흥련,4,김진우,-1
1,0,0,0,1,0,0,1,1,0,0,8 이흥련,4,장원준,2
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,장원준,2
0,0,1,0,1,0,0,1,1,0,0,7 이흥련,4,이창재,-1
0,0,1,1,0,0,0,1,1,0,0,7 이흥련,4,홍성용,-1
0,0,1,0,0,1,0,1,1,0,0,8 이흥련,4,린드블럼,1
0,0,1,1,0,0,1,0,1,0,0,8 이흥련,4,손승락,1
1,0,0,0,0,1,0,1,0,1,0,8 이흥련,4,박진형,2
0,1,0,1,0,0,1,0,1,0,0,8 이흥련,4,박진형,2
0,1,0,0,0,1,1,0,1,0,0,8 이흥련,4,배장호,2
0,0,1,0,0,1,1,0,1,0,0,8 이흥련,4,박시영,3
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,이정민,-1
0,0,1,0,1,0,1,0,1,0,0,8 이흥련,4,윤규진,2
0,0,1,1,0,0,1,0,0,1,0,8 이흥련,4,윤규진,2
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,윤희상,2
0,1,0,0,1,0,0,1,0,1,0,8 이흥련,4,박정배,2
0,0,1,1,0,0,0,1,0,0,1,8 이흥련,4,문승원,0
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,박세웅,2
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,박세웅,2
0,0,1,1,0,0,0,1,0,1,0,8 이흥련,4,윤길현,2
0,0,1,0,1,0,1,0,0,0,1,8 이흥련,4,이정민,-1
0,0,1,0,1,0,1,0,0,1,0,8 이흥련,4,이보근,2
0,0,1,0,1,0,0,1,0,1,0,8 이흥련,4,양훈,-1
1,0,0,1,0,0,0,1,0,1,0,7 이흥련,4,맥그레거,-1
0,1,0,1,0,0,0,1,1,0,0,7 이흥련,4,맥그레거,-1
0,1,0,1,0,0,0,1,1,0,0,7 이흥련,4,김상수,0
0,0,1,0,1,0,0,1,1,0,0,7 이흥련,4,이보근,2
1,0,0,0,1,0,0,1,1,0,0,7 이흥련,4,장현식,2
0,1,0,1,0,0,1,0,1,0,0,7 이흥련,4,장현식,2
0,1,0,0,1,0,1,0,1,0,0,7 이흥련,4,배재환,2
0,0,1,1,0,0,0,1,1,0,0,7 이흥련,4,임창민,1
0,0,1,0,1,0,0,1,1,0,0,7 이흥련,4,최성영,0
1,0,0,0,0,1,0,1,0,0,1,8 이흥련,4,이재학,2
1,0,0,1,0,0,0,1,0,1,0,8 이흥련,4,해커,1
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,이재학,2
0,1,0,0,1,0,1,0,1,0,0,8 이흥련,4,해커,1
0,1,0,0,0,1,0,1,0,0,1,8 이흥련,4,원종현,1
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,해커,1
0,0,1,0,1,0,0,1,0,0,1,8 이흥련,4,임정우,2
1,0,0,0,1,0,0,1,0,1,0,8 이흥련,4,고효준,0
0,1,0,0,0,1,0,1,1,0,0,8 이흥련,4,김윤동,2
0,1,0,0,0,1,0,1,0,1,0,8 이흥련,4,홍건희,0
0,0,1,0,1,0,1,0,1,0,0,8 이흥련,4,김광수,-1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,윤희상,2
0,1,0,0,1,0,0,1,0,1,0,8 이흥련,4,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,김광현,1
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,김주한,2
1,0,0,0,0,1,0,1,1,0,0,8 이흥련,4,윤희상,2
0,0,1,0,1,0,0,1,0,1,0,8 이흥련,4,양현,2
0,0,1,0,0,1,1,0,1,0,0,8 이흥련,4,이현호,0
1,0,0,0,0,1,0,1,0,1,0,8 이흥련,4,니퍼트,1
0,1,0,1,0,0,0,1,1,0,0,8 이흥련,4,니퍼트,1
0,1,0,0,0,1,1,0,1,0,0,8 이흥련,4,니퍼트,1
0,0,1,0,1,0,1,0,1,0,0,8 이흥련,4,오현택,1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,양현종,1
0,1,0,0,0,1,0,1,0,1,0,8 이흥련,4,양현종,1
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,양현종,1
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,한현희,2
0,1,0,0,1,0,0,1,1,0,0,8 이흥련,4,한현희,2
0,0,1,1,0,0,0,1,1,0,0,8 이흥련,4,김대우,0
1,0,0,1,0,0,0,1,1,0,0,8 이흥련,4,류제국,2
0,1,0,1,0,0,1,0,1,0,0,8 이흥련,4,류제국,2
0,0,1,0,1,0,1,0,1,0,0,8 이흥련,4,류제국,2
0,0,1,0,1,0,0,1,1,0,0,8 이흥련,4,신재웅,1
1,0,0,0,1,0,0,1,0,1,0,8 이흥련,4,이상화,0
0,1,0,1,0,0,0,1,0,1,0,8 이흥련,4,이상화,0
0,1,0,0,1,0,0,1,0,1,0,8 이흥련,4,이정민,-1
