1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,1,0,1,0,0,8 정진호,0,장현식,3
0,1,0,0,0,1,1,0,1,0,0,8 정진호,0,장현식,3
0,0,1,0,1,0,0,1,1,0,0,2 정진호,0,서진용,5
1,0,0,1,0,0,1,0,1,0,0,2 정진호,0,박종훈,1
1,0,0,0,0,1,1,0,1,0,0,2 정진호,0,박종훈,1
0,1,0,0,0,1,0,1,1,0,0,2 정진호,0,박종훈,1
0,1,0,0,0,1,0,1,1,0,0,2 정진호,0,박정배,3
1,0,0,0,1,0,1,0,0,1,0,8 정진호,0,켈리,6
0,1,0,1,0,0,0,1,1,0,0,8 정진호,0,켈리,6
0,1,0,0,0,1,0,1,0,1,0,8 정진호,0,켈리,6
0,0,1,0,0,1,0,1,0,0,1,8 정진호,0,김성민,5
1,0,0,0,0,1,0,1,1,0,0,8 정진호,0,밴헤켄,-1
0,1,0,1,0,0,0,1,1,0,0,8 정진호,0,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,8 정진호,0,김상수,1
0,0,1,0,0,1,1,0,0,1,0,8 정진호,0,황덕균,-1
0,0,1,0,1,0,0,1,1,0,0,8 정진호,0,김세현,1
1,0,0,1,0,0,0,1,0,1,0,9 정진호,0,한현희,1
0,1,0,0,0,1,1,0,1,0,0,9 정진호,0,한현희,1
0,0,1,0,1,0,0,1,0,1,0,9 정진호,0,금민철,2
0,0,1,0,1,0,0,1,0,1,0,9 정진호,0,오주원,2
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,최원태,3
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,최원태,3
0,1,0,0,0,1,0,1,1,0,0,2 정진호,0,최원태,3
0,0,1,1,0,0,0,1,1,0,0,2 정진호,0,최원태,3
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,박세웅,1
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,박세웅,1
0,1,0,1,0,0,0,1,0,1,0,2 정진호,0,박세웅,1
0,0,1,0,0,1,0,1,0,1,0,2 정진호,0,박시영,5
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,레일리,2
1,0,0,0,1,0,1,0,0,1,0,2 정진호,0,레일리,2
0,1,0,0,1,0,1,0,1,0,0,2 정진호,0,레일리,2
0,0,1,1,0,0,1,0,0,0,1,2 정진호,0,박시영,5
1,0,0,1,0,0,0,1,1,0,0,6 정진호,0,김원중,3
0,1,0,0,0,1,1,0,1,0,0,6 정진호,0,김원중,3
0,0,1,0,1,0,0,1,1,0,0,6 정진호,0,윤길현,2
1,0,0,1,0,0,0,1,1,0,0,2 정진호,0,윤성환,0
1,0,0,1,0,0,0,1,1,0,0,2 정진호,0,윤성환,0
0,1,0,0,0,1,1,0,1,0,0,2 정진호,0,윤성환,0
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,최충연,5
1,0,0,0,0,1,1,0,0,1,0,2 정진호,0,최충연,5
0,1,0,1,0,0,1,0,1,0,0,2 정진호,0,권오준,1
0,0,1,0,1,0,0,1,1,0,0,7 정진호,0,김지용,5
0,0,1,0,0,1,1,0,1,0,0,7 정진호,0,허건엽,-1
0,0,1,0,1,0,0,1,1,0,0,1 정진호,0,배장호,3
0,0,1,0,0,1,0,1,1,0,0,3 정진호,0,장필준,5
1,0,0,0,1,0,0,1,0,1,0,2 정진호,0,우규민,4
1,0,0,0,0,1,0,1,0,1,0,2 정진호,0,우규민,4
0,1,0,0,1,0,0,1,0,1,0,2 정진호,0,우규민,4
0,1,0,0,0,1,1,0,0,1,0,2 정진호,0,최충연,5
0,0,1,0,0,1,0,1,0,1,0,2 정진호,0,장원삼,0
1,0,0,1,0,0,0,1,0,1,0,2 정진호,0,안성무,-1
1,0,0,0,0,1,0,1,1,0,0,2 정진호,0,안성무,-1
0,1,0,0,1,0,0,1,1,0,0,2 정진호,0,임현준,6
0,0,1,1,0,0,1,0,1,0,0,2 정진호,0,임현준,6
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,김원중,3
1,0,0,0,0,1,0,1,1,0,0,2 정진호,0,김원중,3
0,1,0,1,0,0,1,0,0,1,0,2 정진호,0,김원중,3
0,1,0,0,1,0,0,1,1,0,0,2 정진호,0,김유영,-1
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,송승준,0
1,0,0,0,1,0,0,1,0,0,1,2 정진호,0,강동호,-1
0,1,0,0,0,1,0,1,1,0,0,2 정진호,0,강동호,-1
0,0,1,0,1,0,0,1,1,0,0,2 정진호,0,장시환,3
0,0,1,0,1,0,0,1,1,0,0,2 정진호,0,손승락,2
1,0,0,0,1,0,0,1,0,1,0,2 정진호,0,박시영,5
1,0,0,0,0,1,1,0,0,1,0,2 정진호,0,박시영,5
0,1,0,1,0,0,0,1,1,0,0,2 정진호,0,장시환,3
0,0,1,0,0,1,0,1,0,1,0,2 정진호,0,배장호,3
0,0,1,0,0,1,1,0,1,0,0,2 정진호,0,손승락,2
1,0,0,1,0,0,1,0,1,0,0,2 정진호,0,임찬규,1
1,0,0,0,1,0,0,1,1,0,0,2 정진호,0,임찬규,1
0,1,0,0,0,1,1,0,1,0,0,2 정진호,0,임찬규,1
1,0,0,1,0,0,0,1,0,1,0,1 정진호,0,이재학,2
1,0,0,1,0,0,0,1,1,0,0,1 정진호,0,이재학,2
0,1,0,1,0,0,0,1,1,0,0,1 정진호,0,이재학,2
0,0,1,0,1,0,0,1,1,0,0,1 정진호,0,김진성,3
0,0,1,0,0,1,0,1,1,0,0,3 정진호,0,박경태,3
1,0,0,1,0,0,0,1,0,1,0,7 정진호,0,박시영,5
1,0,0,0,1,0,1,0,0,1,0,7 정진호,0,김유영,-1
0,1,0,1,0,0,0,1,0,0,1,7 정진호,0,김유영,-1
0,1,0,0,0,1,1,0,1,0,0,7 정진호,0,강동호,-1
0,0,1,0,1,0,0,1,1,0,0,8 정진호,0,손승락,2
0,0,1,1,0,0,0,1,1,0,0,9 정진호,0,손승락,2
