3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 최주환,0,윤규진,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7 최주환,0,안영명,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,3 최주환,0,고영표,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3 최주환,0,심재민,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2 최주환,0,이보근,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7 최주환,0,이보근,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,7 최주환,0,김정훈,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,2 최주환,0,최원태,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2 최주환,0,양훈,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2 최주환,0,구창모,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2 최주환,0,구창모,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2 최주환,0,구창모,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,2 최주환,0,강장산,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2 최주환,0,강장산,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2 최주환,0,임정호,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,8 최주환,0,원종현,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,8 최주환,0,심창민,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,2 최주환,0,권오준,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2 최주환,0,윤성환,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2 최주환,0,윤성환,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2 최주환,0,윤성환,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2 최주환,0,장필준,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1 최주환,0,서진용,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,7 최주환,0,박종훈,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,7 최주환,0,박종훈,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,7 최주환,0,박종훈,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7 최주환,0,박희수,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2 최주환,0,켈리,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2 최주환,0,켈리,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2 최주환,0,켈리,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2 최주환,0,김성민,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2 최주환,0,김주한,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6 최주환,0,밴헤켄,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,6 최주환,0,밴헤켄,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,6 최주환,0,밴헤켄,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2 최주환,0,한현희,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2 최주환,0,한현희,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2 최주환,0,한현희,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,2 최주환,0,금민철,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6 최주환,0,최원태,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,6 최주환,0,최원태,A
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,6 최주환,0,최원태,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6 최주환,0,김상수,A
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6 최주환,0,박세웅,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,6 최주환,0,박세웅,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,6 최주환,0,박세웅,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6 최주환,0,윤길현,A
