1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,юсц╒╧н,3
0,0,1,0,1,0,0,1,1,0,0,1 ╠Х╧нго,1,╧ХхШбЫ,-1
0,0,1,0,0,1,0,1,1,0,0,5 ╠Х╧нго,1,╟М╨ююГ,-1
0,0,1,1,0,0,0,1,1,0,0,1 ╠Х╧нго,1,©югЖец,3
0,0,1,0,0,1,0,1,1,0,0,1 ╠Х╧нго,1,юлгЖхё,5
0,0,1,0,1,0,1,0,1,0,0,3 ╠Х╧нго,1,©юаж©Ь,2
0,0,1,1,0,0,0,1,0,1,0,4 ╠Х╧нго,1,╧з╧н╠т,-1
1,0,0,0,1,0,0,1,0,1,0,2 ╠Х╧нго,1,бВ©ЛбЫ,0
0,1,0,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,бВ©ЛбЫ,0
0,1,0,0,1,0,1,0,1,0,0,2 ╠Х╧нго,1,бВ©ЛбЫ,0
0,0,1,1,0,0,1,0,1,0,0,2 ╠Х╧нго,1,бВ©ЛбЫ,0
0,0,1,0,0,1,0,1,1,0,0,2 ╠Х╧нго,1,╠Х╢К©Л,3
0,0,1,1,0,0,1,0,0,0,1,3 ╠Х╧нго,1,юса╓хё,-1
0,0,1,0,0,1,0,1,1,0,0,3 ╠Х╧нго,1,╧заь©╣,-1
0,0,1,0,1,0,0,1,0,1,0,2 ╠Х╧нго,1,╨юаъ╠ы,-1
0,0,1,0,1,0,1,0,1,0,0,2 ╠Х╧нго,1,╠ХаЖ©К,5
0,0,1,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,╠ХаЖ©К,5
0,1,0,0,0,1,0,1,1,0,0,5 ╠Х╧нго,1,©Л╠т╧н,4
0,0,1,0,0,1,0,1,1,0,0,5 ╠Х╧нго,1,аЬгь╪Ж,3
1,0,0,0,0,1,1,0,0,1,0,8 ╠Х╧нго,1,бВ©ЛбЫ,0
1,0,0,0,0,1,0,1,1,0,0,8 ╠Х╧нго,1,бВ©ЛбЫ,0
0,1,0,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,бВ©ЛбЫ,0
0,0,1,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╧Иа╓гЖ,1
0,0,1,0,0,1,1,0,1,0,0,2 ╠Х╧нго,1,╫иц╒╧н,-1
0,0,1,0,1,0,1,0,0,1,0,7 ╠Х╧нго,1,а╓╣©гЖ,-1
0,0,1,0,1,0,1,0,1,0,0,5 ╠Х╧нго,1,а╓╣©гЖ,-1
0,0,1,0,1,0,0,1,0,1,0,1 ╠Х╧нго,1,а╓╢Кхф,-1
0,1,0,0,1,0,0,1,1,0,0,1 ╠Х╧нго,1,юл╣©гЖ,2
0,0,1,0,0,1,0,1,0,0,1,1 ╠Х╧нго,1,╠ХаЖ©К,5
1,0,0,1,0,0,0,1,1,0,0,8 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,1,0,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,0,1,0,0,1,0,1,0,1,0,8 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,0,1,0,1,0,0,1,0,1,0,2 ╠Х╧нго,1,©юаж©Ь,2
1,0,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╟Мх©аь,2
1,0,0,0,0,1,0,1,1,0,0,2 ╠Х╧нго,1,╟Мх©аь,2
0,0,1,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╧за╓╧Х,3
1,0,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╤С╤С,-1
1,0,0,0,1,0,1,0,1,0,0,2 ╠Х╧нго,1,╤С╤С,-1
0,1,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╤С╤С,-1
1,0,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,1,0,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,0,1,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,юЭюнх╞,-1
1,0,0,0,1,0,1,0,1,0,0,7 ╠Х╧нго,1,╫╨ф╘╬Нф╝,-1
0,1,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,╫╨ф╘╬Нф╝,-1
0,1,0,1,0,0,1,0,1,0,0,7 ╠Х╧нго,1,юл╧нхё,1
1,0,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,╬ГгЖа╬,0
0,1,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,╬ГгЖа╬,0
0,1,0,0,0,1,1,0,0,1,0,7 ╠Х╧нго,1,╬ГгЖа╬,0
0,0,1,0,0,1,1,0,1,0,0,9 ╠Х╧нго,1,юЕгйаь,5
0,0,1,0,1,0,1,0,1,0,0,7 ╠Х╧нго,1,юлц╒юГ,-1
1,0,0,1,0,0,1,0,1,0,0,7 ╠Х╧нго,1,╫ц╫╨дз,-1
1,0,0,0,0,1,1,0,0,1,0,7 ╠Х╧нго,1,╫ц╫╨дз,-1
0,1,0,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,юЕ╫цх╞,3
0,0,1,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,юЕ╫цх╞,3
1,0,0,1,0,0,0,1,0,1,0,8 ╠Х╧нго,1,╦╤╬ъ,-1
0,1,0,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,╦╤╬ъ,-1
0,0,1,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,╦╤╬ъ,-1
1,0,0,0,1,0,0,1,0,1,0,2 ╠Х╧нго,1,юЕ©Ьаь,0
1,0,0,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,юЕ©Ьаь,0
0,1,0,1,0,0,0,1,0,0,1,2 ╠Х╧нго,1,юЕ©Ьаь,0
0,0,1,1,0,0,0,1,0,1,0,2 ╠Х╧нго,1,юлюГ©Л,-1
0,0,1,1,0,0,0,1,0,0,1,2 ╠Х╧нго,1,юЕ╧нюм,-1
0,0,1,0,0,1,1,0,0,0,1,2 ╠Х╧нго,1,юлгЖхё,5
1,0,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,юЕ©Ь╩О,0
1,0,0,0,0,1,0,1,0,0,1,2 ╠Х╧нго,1,юЕ©Ь╩О,0
0,1,0,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,юЕ©Ь╩О,0
0,0,1,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,юсц╒©К,-1
1,0,0,0,1,0,1,0,1,0,0,8 ╠Х╧нго,1,ю╠╪╨х╞,0
0,1,0,1,0,0,0,1,1,0,0,8 ╠Х╧нго,1,ю╠╪╨х╞,0
0,0,1,1,0,0,1,0,0,1,0,8 ╠Х╧нго,1,╫е©К©Н,-1
0,0,1,0,1,0,0,1,0,0,1,8 ╠Х╧нго,1,юсц╒©К,-1
1,0,0,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,е╛╥нюл╣Е,-1
0,1,0,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,е╛╥нюл╣Е,-1
0,1,0,0,0,1,1,0,1,0,0,7 ╠Х╧нго,1,е╛╥нюл╣Е,-1
0,0,1,1,0,0,0,1,0,1,0,7 ╠Х╧нго,1,╠г©юаь,1
1,0,0,0,0,1,1,0,1,0,0,7 ╠Х╧нго,1,╧Х©╣╪Ж,0
0,1,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,╧Х©╣╪Ж,0
0,1,0,0,0,1,1,0,0,0,1,7 ╠Х╧нго,1,╪шц╒╫д,2
0,0,1,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,╪шц╒╫д,2
0,0,1,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,╠ггУ,2
1,0,0,0,1,0,1,0,1,0,0,7 ╠Х╧нго,1,╬х©╣╦М,2
0,1,0,1,0,0,1,0,1,0,0,7 ╠Х╧нго,1,╬х©╣╦М,2
0,0,1,0,1,0,1,0,1,0,0,7 ╠Х╧нго,1,╪шц╒╫д,2
1,0,0,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,е╩╨╦ф╝,-1
1,0,0,0,0,1,0,1,0,1,0,8 ╠Х╧нго,1,╠Х╧н©Л,5
0,1,0,1,0,0,1,0,0,0,1,8 ╠Х╧нго,1,╠Х╧н©Л,5
0,1,0,0,0,1,1,0,0,0,1,8 ╠Х╧нго,1,юл╣©╟и,-1
0,1,0,0,1,0,1,0,1,0,0,8 ╠Х╧нго,1,╠Х╠БгЖ,-1
0,0,1,1,0,0,0,1,1,0,0,6 ╠Х╧нго,1,╧небхё,6
0,0,1,0,1,0,0,1,1,0,0,5 ╠Х╧нго,1,╧небхё,6
0,0,1,1,0,0,0,1,0,0,1,7 ╠Х╧нго,1,юса╓хё,-1
0,0,1,0,0,1,0,1,1,0,0,6 ╠Х╧нго,1,аЬ╬ъ╟Ж,-1
1,0,0,0,0,1,0,1,1,0,0,8 ╠Х╧нго,1,юЕ©Ьаь,0
0,1,0,1,0,0,0,1,0,1,0,8 ╠Х╧нго,1,юЕ©Ьаь,0
0,1,0,0,0,1,1,0,0,1,0,8 ╠Х╧нго,1,юЕ©Ьаь,0
0,0,1,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,юлюГ©Л,-1
1,0,0,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,╬ГгЖа╬,0
0,1,0,0,1,0,0,1,0,0,1,8 ╠Х╧нго,1,╬ГгЖа╬,0
0,0,1,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,╬ГгЖа╬,0
1,0,0,1,0,0,0,1,0,1,0,8 ╠Х╧нго,1,юЕ©Ь╩О,0
1,0,0,0,0,1,0,1,0,0,1,8 ╠Х╧нго,1,╠ХгЖ©Л,-1
0,1,0,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,╠ХгЖ©Л,-1
0,0,1,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,юсц╒©К,-1
1,0,0,0,0,1,0,1,0,0,1,8 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,1,0,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,1,0,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,а╤╩С©Л,5
0,0,1,1,0,0,0,1,1,0,0,8 ╠Х╧нго,1,╠Х╣©аь,5
1,0,0,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,ю╞╦у,-1
0,1,0,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,ю╞╦у,-1
0,1,0,0,0,1,0,1,1,0,0,8 ╠Х╧нго,1,╪шц╒╫д,2
0,0,1,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,╠ггУ,2
1,0,0,0,1,0,0,1,0,1,0,2 ╠Х╧нго,1,╧Х©╣╪Ж,0
1,0,0,0,0,1,0,1,1,0,0,2 ╠Х╧нго,1,╧Х©╣╪Ж,0
0,1,0,0,0,1,0,1,1,0,0,2 ╠Х╧нго,1,╧Х©╣╪Ж,0
0,0,1,1,0,0,1,0,1,0,0,2 ╠Х╧нго,1,╪шц╒╫д,2
1,0,0,0,1,0,0,1,0,0,1,2 ╠Х╧нго,1,ю╞ц╒╫д,-1
1,0,0,1,0,0,0,1,0,0,1,2 ╠Х╧нго,1,юл╣©╟и,-1
0,1,0,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,юл╣©╟и,-1
0,1,0,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,╪шц╒╫д,2
0,0,1,1,0,0,0,1,1,0,0,2 ╠Х╧нго,1,╪шц╒╫д,2
0,0,1,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,а╓©Л╤В,2
0,0,1,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,ю╠╠ФгЖ,2
0,0,1,0,0,1,1,0,1,0,0,9 ╠Х╧нго,1,юл╧нхё,1
0,0,1,0,1,0,1,0,0,1,0,8 ╠Х╧нго,1,цж╠щ╟╜,-1
1,0,0,0,0,1,0,1,1,0,0,8 ╠Х╧нго,1,╪у╧нгя,-1
0,1,0,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,╪у╧нгя,-1
0,0,1,0,1,0,0,1,0,1,0,8 ╠Х╧нго,1,юлюГгп,2
0,0,1,1,0,0,0,1,1,0,0,8 ╠Х╧нго,1,юл╧нхё,1
1,0,0,0,1,0,0,1,0,1,0,7 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,1,0,0,1,0,1,0,1,0,0,7 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,1,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,гг╬Н╧Й╣Е,1
0,0,1,1,0,0,1,0,1,0,0,7 ╠Х╧нго,1,╠Х╪╪гЖ,1
1,0,0,1,0,0,0,1,1,0,0,6 ╠Х╧нго,1,╪ш╫е©╣,-1
1,0,0,0,0,1,0,1,1,0,0,6 ╠Х╧нго,1,╧╝╪╨гЖ,1
0,1,0,0,1,0,0,1,1,0,0,6 ╠Х╧нго,1,го©╣╧н,5
0,1,0,0,1,0,0,1,1,0,0,6 ╠Х╧нго,1,╠Х╪╪гЖ,1
1,0,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,╧ЙгЛдк,-1
0,1,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,╧ЙгЛдк,-1
0,1,0,0,0,1,1,0,0,1,0,7 ╠Х╧нго,1,╧ЙгЛдк,-1
1,0,0,1,0,0,0,1,0,1,0,7 ╠Х╧нго,1,а╓╪╨╟О,3
0,1,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,а╓╪╨╟О,3
0,1,0,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,а╓╪╨╟О,3
0,0,1,0,0,1,0,1,0,0,1,7 ╠Х╧нго,1,цж©ЬюГ,-1
0,0,1,0,0,1,1,0,0,1,0,7 ╠Х╧нго,1,╧Х©Л©╜,6
0,0,1,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,╫ц╫╨дз,-1
1,0,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,а╓╢КгЖ,-1
0,1,0,1,0,0,0,1,0,0,1,7 ╠Х╧нго,1,а╓╢КгЖ,-1
0,1,0,1,0,0,0,1,0,1,0,7 ╠Х╧нго,1,а╓╢КгЖ,-1
0,1,0,0,0,1,0,1,1,0,0,2 ╠Х╧нго,1,╫июГ╧н,-1
0,0,1,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,а╤╧╚╠ы,5
0,0,1,1,0,0,1,0,1,0,0,8 ╠Х╧нго,1,╫и╣©╪╥,-1
0,0,1,0,1,0,1,0,0,1,0,8 ╠Х╧нго,1,гя╫бгУ,3
0,0,1,0,0,1,0,1,0,0,1,7 ╠Х╧нго,1,юлгяаЬ,-1
1,0,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╠Х╠╓гЖ,0
1,0,0,0,1,0,0,1,1,0,0,2 ╠Х╧нго,1,╠Х╠╓гЖ,0
0,1,0,0,1,0,0,1,0,0,1,2 ╠Х╧нго,1,╠Х╠╓гЖ,0
0,0,1,0,0,1,0,1,1,0,0,2 ╠Х╧нго,1,╧╝╠╓ю╨,5
1,0,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,╧за╬хф,1
0,1,0,1,0,0,1,0,1,0,0,7 ╠Х╧нго,1,╧за╬хф,1
0,1,0,1,0,0,0,1,0,1,0,7 ╠Х╧нго,1,╧за╬хф,1
0,0,1,1,0,0,0,1,0,1,0,7 ╠Х╧нго,1,а╓©Л╤В,2
1,0,0,0,0,1,0,1,0,1,0,9 ╠Х╧нго,1,╬х©╣╦М,2
0,1,0,0,1,0,1,0,1,0,0,9 ╠Х╧нго,1,юл╣©╟и,-1
0,0,1,1,0,0,0,1,0,1,0,9 ╠Х╧нго,1,╪шц╒╫д,2
0,0,1,0,1,0,0,1,0,0,1,9 ╠Х╧нго,1,╠Х╧н©Л,5
1,0,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,ю╞╦у,-1
0,1,0,0,0,1,1,0,0,1,0,7 ╠Х╧нго,1,ю╞╦у,-1
0,1,0,0,0,1,1,0,1,0,0,7 ╠Х╧нго,1,╧за╓аЬ,-1
0,0,1,0,0,1,1,0,0,0,1,7 ╠Х╧нго,1,╠ггУ,2
1,0,0,0,1,0,1,0,0,1,0,9 ╠Х╧нго,1,╪шю╨╧Э,4
0,1,0,1,0,0,0,1,1,0,0,9 ╠Х╧нго,1,╪шю╨╧Э,4
0,1,0,1,0,0,0,1,1,0,0,9 ╠Х╧нго,1,юл╣©╟и,-1
0,0,1,0,1,0,1,0,0,0,1,9 ╠Х╧нго,1,а╓╢Кхф,-1
1,0,0,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,юЕ©Ь╩О,0
0,1,0,0,1,0,1,0,1,0,0,8 ╠Х╧нго,1,юЕ©Ь╩О,0
0,1,0,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,╫иц╒╧н,-1
1,0,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,бВ©ЛбЫ,0
0,1,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,бВ©ЛбЫ,0
0,0,1,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,бВ©ЛбЫ,0
0,0,1,0,0,1,0,1,1,0,0,7 ╠Х╧нго,1,юсц╒©К,-1
1,0,0,0,0,1,1,0,1,0,0,8 ╠Х╧нго,1,╫╨ф╬╫╪,-1
0,1,0,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,╫╨ф╬╫╪,-1
0,0,1,0,1,0,0,1,1,0,0,8 ╠Х╧нго,1,╠ХаЬ©Л,-1
1,0,0,0,0,1,1,0,0,1,0,7 ╠Х╧нго,1,а╓╢КгЖ,-1
0,1,0,0,1,0,0,1,1,0,0,7 ╠Х╧нго,1,а╓╢КгЖ,-1
0,1,0,1,0,0,0,1,1,0,0,7 ╠Х╧нго,1,╠ХюГю╠,5
0,0,1,1,0,0,0,1,1,0,0,8 ╠Х╧нго,1,юЕ╫цх╞,3
0,0,1,0,1,0,1,0,1,0,0,1 ╠Х╧нго,1,юлц╒юГ,-1
0,0,1,0,0,1,0,1,1,0,0,9 ╠Х╧нго,1,а╓©Л╤В,2
0,0,1,0,0,1,1,0,0,0,1,2 ╠Х╧нго,1,цж╠щ╟╜,-1
1,0,0,0,0,1,1,0,1,0,0,9 ╠Х╧нго,1,╥╧юл©╧╫╨,-1
