1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,1,0,1,0,0,9 ฑ่มพนฮ,2,ฑ่ม๖ฟ๋,5
0,0,1,0,1,0,1,0,1,0,0,8 ฑ่มพนฮ,2,ฑ่ม๖ฟ๋,5
0,0,1,1,0,0,0,1,1,0,0,9 ฑ่มพนฮ,2,ภฑฑๆว๖,2
0,0,1,0,1,0,0,1,0,1,0,9 ฑ่มพนฮ,2,ผีฝยถ๔,2
0,0,1,0,1,0,0,1,1,0,0,9 ฑ่มพนฮ,2,ฐญตฟศฃ,-1
0,0,1,1,0,0,0,1,1,0,0,7 ฑ่มพนฮ,2,ฑ่ภ็ภฑ,5
1,0,0,1,0,0,0,1,1,0,0,8 ฑ่มพนฮ,2,มคผบฐ๏,3
0,1,0,0,0,1,0,1,1,0,0,8 ฑ่มพนฮ,2,มคผบฐ๏,3
0,1,0,0,0,1,1,0,1,0,0,8 ฑ่มพนฮ,2,น่มฆผบ,6
0,1,0,1,0,0,0,1,0,0,1,9 ฑ่มพนฮ,2,วฯฟตนฮ,5
0,0,1,0,1,0,0,1,0,1,0,9 ฑ่มพนฮ,2,ฟภมึฟ๘,2
0,0,1,1,0,0,0,1,0,0,1,9 ฑ่มพนฮ,2,วฯฟตนฮ,5
1,0,0,1,0,0,0,1,1,0,0,9 ฑ่มพนฮ,2,ภๅฟ๘มุ,0
0,1,0,0,0,1,1,0,1,0,0,9 ฑ่มพนฮ,2,ภๅฟ๘มุ,0
0,0,1,0,1,0,1,0,1,0,0,9 ฑ่มพนฮ,2,ฑ่ฝยศธ,2
0,0,1,1,0,0,0,1,1,0,0,9 ฑ่มพนฮ,2,ภüฟ๋ศฦ,-1
0,1,0,0,1,0,1,0,1,0,0,9 ฑ่มพนฮ,2,ฤฬธฎ,6
0,0,1,1,0,0,1,0,1,0,0,9 ฑ่มพนฮ,2,รคบดฟ๋,4
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มพนฮ,2,ผญม๘ฟ๋,5
0,0,1,1,0,0,0,1,0,1,0,9 ฑ่มพนฮ,2,มคย๙วๅ,3
0,0,1,0,0,1,0,1,1,0,0,1 ฑ่มพนฮ,2,ภฬตฟฐษ,-1
0,1,0,0,0,1,0,1,1,0,0,9 ฑ่มพนฮ,2,ภฏศ๑ฐü,4
0,0,1,1,0,0,0,1,1,0,0,9 ฑ่มพนฮ,2,ฑ่ฝยศธ,2
0,0,1,0,0,1,0,1,1,0,0,9 ฑ่มพนฮ,2,ฑ่ผบน่,-1
0,1,0,0,0,1,0,1,1,0,0,7 ฑ่มพนฮ,2,ภฑผบศฏ,0
0,0,1,0,0,1,1,0,1,0,0,7 ฑ่มพนฮ,2,ฑ่ด๋ฟ์,3
0,0,1,1,0,0,1,0,1,0,0,7 ฑ่มพนฮ,2,ย๗ฟ์ย๙,0
0,0,1,0,0,1,0,1,1,0,0,7 ฑ่มพนฮ,2,พศม๖ธธ,-1
0,0,1,0,0,1,1,0,0,1,0,8 ฑ่มพนฮ,2,ฑ่ป๓ผ๖,1
0,0,1,0,0,1,0,1,1,0,0,8 ฑ่มพนฮ,2,ฑ่ผผว๖,1
0,0,1,0,0,1,1,0,0,0,1,7 ฑ่มพนฮ,2,ฑ่ลรวü,5
0,0,1,0,0,1,0,1,1,0,0,7 ฑ่มพนฮ,2,ฑ่ผผว๖,1
