1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,1,0,0,0,1,3 ╠Хеб╠у,3,╢офшф╝,1
0,1,0,1,0,0,1,0,1,0,0,3 ╠Хеб╠у,3,╢офшф╝,1
0,1,0,0,0,1,0,1,0,0,1,3 ╠Хеб╠у,3,╢офшф╝,1
0,0,1,0,0,1,0,1,1,0,0,3 ╠Хеб╠у,3,╢офшф╝,1
1,0,0,0,1,0,0,1,1,0,0,4 ╠Хеб╠у,3,ю╞хЯ╟Э,2
1,0,0,0,0,1,1,0,0,0,1,4 ╠Хеб╠у,3,ю╞хЯ╟Э,2
0,1,0,0,1,0,1,0,1,0,0,4 ╠Хеб╠у,3,ю╞хЯ╟Э,2
0,0,1,1,0,0,1,0,1,0,0,4 ╠Хеб╠у,3,╠Х╦М╫е,-1
0,0,1,0,1,0,1,0,0,0,1,4 ╠Хеб╠у,3,юл©КбЫ,1
0,0,1,1,0,0,1,0,0,1,0,4 ╠Хеб╠у,3,юлгЖ╫б,2
1,0,0,0,0,1,1,0,0,0,1,4 ╠Хеб╠у,3,╟М©Ьаь,-1
1,0,0,0,0,1,0,1,1,0,0,4 ╠Хеб╠у,3,╟М©Ьаь,-1
0,1,0,0,1,0,0,1,0,1,0,4 ╠Хеб╠у,3,╟М©Ьаь,-1
0,0,1,1,0,0,1,0,1,0,0,4 ╠Хеб╠у,3,╠Х╦М╫е,-1
0,0,1,0,1,0,0,1,1,0,0,4 ╠Хеб╠у,3,юл©КбЫ,1
1,0,0,0,0,1,1,0,1,0,0,4 ╠Хеб╠у,3,цж╠щ╟╜,-1
1,0,0,0,1,0,0,1,0,0,1,4 ╠Хеб╠у,3,цж╠щ╟╜,-1
0,1,0,0,0,1,0,1,1,0,0,4 ╠Хеб╠у,3,╧ХюГх╞,2
0,0,1,0,1,0,0,1,0,1,0,4 ╠Хеб╠у,3,юлгЭ╧Э,2
1,0,0,1,0,0,0,1,0,1,0,4 ╠Хеб╠у,3,гьд©,1
1,0,0,0,1,0,1,0,1,0,0,4 ╠Хеб╠у,3,гьд©,1
0,1,0,0,1,0,0,1,0,1,0,4 ╠Хеб╠у,3,юЕгЖ╫д,2
0,0,1,1,0,0,1,0,1,0,0,4 ╠Хеб╠у,3,©Ьа╬гЖ,1
1,0,0,1,0,0,0,1,1,0,0,4 ╠Хеб╠у,3,гМем,-1
0,1,0,1,0,0,1,0,1,0,0,4 ╠Хеб╠у,3,гМем,-1
0,1,0,0,1,0,0,1,0,0,1,4 ╠Хеб╠у,3,гМем,-1
0,0,1,1,0,0,1,0,1,0,0,4 ╠Хеб╠у,3,гМем,-1
1,0,0,1,0,0,0,1,0,1,0,4 ╠Хеб╠у,3,фж╣Р,-1
1,0,0,0,0,1,1,0,0,0,1,4 ╠Хеб╠у,3,фж╣Р,-1
0,1,0,0,0,1,0,1,1,0,0,4 ╠Хеб╠у,3,фж╣Р,-1
0,0,1,0,0,1,1,0,0,1,0,4 ╠Хеб╠у,3,гя╫бгУ,0
0,0,1,0,0,1,0,1,0,1,0,4 ╠Хеб╠у,3,юсц╒©К,-1
1,0,0,0,1,0,1,0,1,0,0,4 ╠Хеб╠у,3,╬ГгЖа╬,1
0,1,0,1,0,0,1,0,1,0,0,4 ╠Хеб╠у,3,╬ГгЖа╬,1
0,0,1,1,0,0,0,1,0,1,0,4 ╠Хеб╠у,3,╬ГгЖа╬,1
0,0,1,0,0,1,0,1,1,0,0,4 ╠Хеб╠у,3,гя╫бгУ,0
1,0,0,1,0,0,0,1,1,0,0,4 ╠Хеб╠у,3,юЕ©Ь╩О,2
1,0,0,0,0,1,0,1,0,0,1,4 ╠Хеб╠у,3,юЕ©Ь╩О,2
0,1,0,0,1,0,1,0,1,0,0,4 ╠Хеб╠у,3,юЕ©Ь╩О,2
0,1,0,0,0,1,1,0,1,0,0,4 ╠Хеб╠у,3,╠Х╫бгЖ,2
0,0,1,0,0,1,1,0,1,0,0,4 ╠Хеб╠у,3,╫иц╒╧н,-1
0,0,1,0,0,1,0,1,0,1,0,4 ╠Хеб╠у,3,юл╫бгЖ,2
1,0,0,1,0,0,0,1,1,0,0,4 ╠Хеб╠у,3,фДф╝╦╞,-1
0,1,0,1,0,0,0,1,0,0,1,4 ╠Хеб╠у,3,фДф╝╦╞,-1
0,1,0,1,0,0,0,1,1,0,0,4 ╠Хеб╠у,3,фДф╝╦╞,-1
0,0,1,0,0,1,1,0,0,1,0,4 ╠Хеб╠у,3,фДф╝╦╞,-1
1,0,0,0,0,1,1,0,1,0,0,4 ╠Хеб╠у,3,©Л╠т╧н,1
0,1,0,0,1,0,0,1,1,0,0,4 ╠Хеб╠у,3,©Л╠т╧н,1
0,1,0,0,0,1,1,0,1,0,0,4 ╠Хеб╠у,3,©Л╠т╧н,1
