1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,0,1,0,9 김회성,2,한승혁,0
1,0,0,0,0,1,0,1,1,0,0,8 김회성,2,장원삼,2
0,1,0,0,1,0,0,1,0,0,1,8 김회성,2,장원삼,2
1,0,0,1,0,0,1,0,1,0,0,8 김회성,2,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,8 김회성,2,페트릭,-1
0,0,1,1,0,0,0,1,1,0,0,3 김회성,2,전유수,0
0,0,1,0,0,1,1,0,1,0,0,5 김회성,2,김성민,2
0,0,1,1,0,0,0,1,1,0,0,7 김회성,2,진해수,0
1,0,0,1,0,0,0,1,1,0,0,7 김회성,2,윤희상,2
0,1,0,1,0,0,0,1,0,0,1,7 김회성,2,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,7 김회성,2,윤희상,2
0,0,1,1,0,0,0,1,0,0,1,7 김회성,2,채병용,2
1,0,0,0,1,0,0,1,0,1,0,9 김회성,2,문승원,0
0,1,0,1,0,0,0,1,1,0,0,9 김회성,2,문승원,0
0,1,0,0,1,0,1,0,1,0,0,9 김회성,2,문광은,3
1,0,0,0,0,1,1,0,1,0,0,9 김회성,2,박종훈,2
0,1,0,0,0,1,0,1,1,0,0,9 김회성,2,박종훈,2
0,1,0,0,0,1,1,0,1,0,0,9 김회성,2,전유수,0
0,0,1,0,0,1,1,0,1,0,0,9 김회성,2,박희수,4
1,0,0,0,1,0,0,1,0,0,1,9 김회성,2,정성곤,0
1,0,0,0,0,1,0,1,0,1,0,9 김회성,2,정성곤,0
0,1,0,1,0,0,1,0,1,0,0,9 김회성,2,정성곤,0
0,1,0,0,0,1,1,0,0,0,1,9 김회성,2,배제성,0
0,0,1,0,0,1,0,1,1,0,0,9 김회성,2,배제성,0
0,0,1,0,0,1,1,0,0,1,0,3 김회성,2,신정락,0
0,0,1,0,0,1,1,0,1,0,0,8 김회성,2,김지용,2
0,0,1,0,1,0,1,0,0,1,0,2 김회성,2,이보근,2
1,0,0,0,1,0,0,1,1,0,0,8 김회성,2,우규민,1
0,1,0,1,0,0,0,1,0,1,0,8 김회성,2,우규민,1
0,1,0,0,0,1,0,1,1,0,0,8 김회성,2,우규민,1
0,0,1,0,1,0,1,0,0,0,1,8 김회성,2,장필준,1
0,1,0,0,1,0,1,0,1,0,0,7 김회성,2,이승현,2
0,1,0,0,1,0,1,0,1,0,0,9 김회성,2,이승현,2
0,0,1,0,0,1,0,1,1,0,0,1 김회성,2,정용운,3
0,0,1,0,1,0,0,1,1,0,0,3 김회성,2,정수민,3
1,0,0,0,1,0,0,1,1,0,0,8 김회성,2,장원준,2
0,1,0,0,0,1,1,0,1,0,0,8 김회성,2,장원준,2
0,1,0,0,0,1,1,0,0,0,1,8 김회성,2,장원준,2
0,1,0,1,0,0,0,1,1,0,0,9 김회성,2,유희관,2
0,0,1,0,1,0,1,0,0,0,1,2 김회성,2,박희수,4
0,0,1,0,0,1,0,1,0,1,0,8 김회성,2,박희수,4
1,0,0,0,1,0,0,1,1,0,0,9 김회성,2,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,9 김회성,2,헥터,-1
0,0,1,1,0,0,1,0,1,0,0,9 김회성,2,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,3 김회성,2,김시현,-1
0,0,1,0,1,0,0,1,1,0,0,3 김회성,2,안성무,-1
1,0,0,0,1,0,1,0,1,0,0,7 김회성,2,밴헤켄,-1
0,1,0,1,0,0,1,0,1,0,0,7 김회성,2,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,7 김회성,2,신재영,2
0,0,1,0,1,0,1,0,1,0,0,7 김회성,2,신재영,2
0,0,1,0,0,1,0,1,0,1,0,3 김회성,2,이보근,2
1,0,0,0,0,1,0,1,0,1,0,7 김회성,2,백인식,2
1,0,0,0,0,1,1,0,1,0,0,7 김회성,2,백인식,2
0,1,0,0,1,0,1,0,0,1,0,7 김회성,2,문광은,3
0,0,1,0,1,0,0,1,1,0,0,7 김회성,2,신재웅,1
1,0,0,0,0,1,0,1,1,0,0,7 김회성,2,맨쉽,1
0,1,0,0,0,1,0,1,1,0,0,7 김회성,2,맨쉽,1
0,0,1,1,0,0,0,1,1,0,0,7 김회성,2,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,7 김회성,2,임창민,1
0,0,1,0,0,1,1,0,0,1,0,4 김회성,2,최성영,0
1,0,0,0,1,0,1,0,1,0,0,6 김회성,2,피어밴드,1
1,0,0,0,0,1,1,0,1,0,0,6 김회성,2,피어밴드,1
0,1,0,0,1,0,0,1,0,1,0,6 김회성,2,피어밴드,1
0,0,1,0,0,1,0,1,1,0,0,6 김회성,2,심재민,-1
1,0,0,0,0,1,1,0,1,0,0,6 김회성,2,류희운,3
0,1,0,1,0,0,0,1,0,1,0,6 김회성,2,류희운,3
0,1,0,0,1,0,0,1,1,0,0,6 김회성,2,이종혁,2
0,0,1,0,1,0,1,0,0,0,1,6 김회성,2,이종혁,2
0,0,1,0,0,1,0,1,1,0,0,6 김회성,2,이상화,0
0,0,1,0,0,1,0,1,1,0,0,6 김회성,2,김재윤,1
1,0,0,0,1,0,0,1,1,0,0,5 김회성,2,차우찬,2
0,1,0,1,0,0,0,1,1,0,0,5 김회성,2,차우찬,2
0,0,1,1,0,0,0,1,1,0,0,5 김회성,2,차우찬,2
0,0,1,0,1,0,0,1,0,0,1,5 김회성,2,신정락,0
1,0,0,1,0,0,1,0,0,1,0,6 김회성,2,김대현,3
0,1,0,0,1,0,0,1,1,0,0,6 김회성,2,김대현,3
0,1,0,0,1,0,0,1,1,0,0,6 김회성,2,김대현,3
0,0,1,0,0,1,0,1,0,0,1,6 김회성,2,손주영,-1
