1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,3 박준혁,-1,배장호,2
0,1,0,1,0,0,0,1,1,0,0,8 박준혁,-1,임기영,0
0,0,1,0,0,1,0,1,1,0,0,8 박준혁,-1,헥터,-1
1,0,0,1,0,0,0,1,0,1,0,7 박준혁,-1,최원태,1
0,1,0,1,0,0,0,1,1,0,0,7 박준혁,-1,최원태,1
0,0,1,1,0,0,1,0,1,0,0,7 박준혁,-1,최원태,1
0,0,1,1,0,0,1,0,1,0,0,7 박준혁,-1,김정인,-1
0,1,0,0,0,1,0,1,1,0,0,1 박준혁,-1,백인식,2
0,1,0,0,0,1,0,1,1,0,0,1 박준혁,-1,정영일,0
0,0,1,0,0,1,1,0,1,0,0,6 박준혁,-1,최성영,0
0,0,1,1,0,0,0,1,1,0,0,1 박준혁,-1,임찬규,0
0,1,0,0,0,1,1,0,0,1,0,9 박준혁,-1,우규민,1
0,0,1,1,0,0,0,1,0,1,0,3 박준혁,-1,이용찬,1
0,0,1,0,0,1,1,0,0,0,1,3 박준혁,-1,홍상삼,2
1,0,0,1,0,0,0,1,1,0,0,7 박준혁,-1,보우덴,-1
0,1,0,1,0,0,1,0,1,0,0,7 박준혁,-1,보우덴,-1
0,0,1,0,1,0,0,1,1,0,0,7 박준혁,-1,이현승,2
0,0,1,0,1,0,1,0,0,1,0,7 박준혁,-1,진야곱,-1
0,1,0,0,1,0,1,0,1,0,0,6 박준혁,-1,박준표,0
0,0,1,0,0,1,0,1,1,0,0,9 박준혁,-1,임창용,-1
0,0,1,0,0,1,0,1,1,0,0,9 박준혁,-1,박근홍,0
