1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,1,0,0,0,1,0,1,0,2 백창수,-1,조상우,-1
0,1,0,0,0,1,0,1,1,0,0,2 백창수,-1,하영민,2
0,0,1,0,0,1,0,1,1,0,0,2 백창수,-1,황덕균,-1
0,0,1,0,0,1,0,1,1,0,0,1 백창수,-1,오윤성,-1
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,구창모,-1
1,0,0,0,1,0,1,0,1,0,0,2 백창수,-1,구창모,-1
0,1,0,0,1,0,0,1,1,0,0,2 백창수,-1,구창모,-1
0,0,1,0,0,1,0,1,0,1,0,2 백창수,-1,김진성,0
0,0,1,1,0,0,0,1,1,0,0,2 백창수,-1,심재민,-1
0,0,1,1,0,0,1,0,0,1,0,2 백창수,-1,김재윤,-1
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,김태훈,-1
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,김태훈,-1
1,0,0,0,1,0,1,0,0,1,0,2 백창수,-1,허건엽,-1
0,1,0,1,0,0,0,1,0,1,0,2 백창수,-1,문광은,-1
0,1,0,0,0,1,0,1,0,0,1,2 백창수,-1,서진용,-1
0,0,1,0,1,0,0,1,0,1,0,2 백창수,-1,김대유,-1
0,0,1,1,0,0,0,1,1,0,0,8 백창수,-1,이용찬,-1
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,함덕주,0
1,0,0,0,0,1,0,1,1,0,0,2 백창수,-1,함덕주,0
0,1,0,0,1,0,0,1,1,0,0,2 백창수,-1,함덕주,0
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,팻딘,-1
1,0,0,1,0,0,0,1,1,0,0,2 백창수,-1,팻딘,-1
0,1,0,1,0,0,0,1,1,0,0,2 백창수,-1,팻딘,-1
0,0,1,0,1,0,1,0,0,1,0,3 백창수,-1,박경태,-1
0,0,1,0,0,1,0,1,0,0,1,5 백창수,-1,김동호,-1
0,0,1,0,1,0,0,1,1,0,0,2 백창수,-1,장필준,-1
0,0,1,0,1,0,0,1,0,1,0,2 백창수,-1,김성민,-1
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,금민철,1
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,금민철,1
0,1,0,1,0,0,0,1,1,0,0,2 백창수,-1,금민철,1
0,0,1,0,0,1,0,1,1,0,0,7 백창수,-1,차재용,-1
1,0,0,0,1,0,0,1,0,0,1,2 백창수,-1,정용운,-1
1,0,0,0,1,0,1,0,1,0,0,2 백창수,-1,정용운,-1
0,1,0,0,1,0,0,1,0,1,0,2 백창수,-1,정용운,-1
0,0,1,0,1,0,0,1,0,1,0,2 백창수,-1,한승혁,3
0,0,1,0,0,1,1,0,0,1,0,2 백창수,-1,박진태,-1
1,0,0,0,1,0,0,1,0,1,0,2 백창수,-1,임기준,-1
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,임기준,-1
0,1,0,0,1,0,1,0,0,0,1,2 백창수,-1,김윤동,-1
0,0,1,0,0,1,0,1,0,1,0,2 백창수,-1,김윤동,-1
1,0,0,1,0,0,0,1,0,1,0,1 백창수,-1,양현종,1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,양현종,1
0,1,0,1,0,0,0,1,1,0,0,1 백창수,-1,양현종,1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,구창모,-1
1,0,0,1,0,0,1,0,0,1,0,1 백창수,-1,구창모,-1
0,1,0,1,0,0,0,1,0,0,1,1 백창수,-1,이민호,0
0,1,0,0,0,1,0,1,0,1,0,1 백창수,-1,최금강,0
1,0,0,1,0,0,0,1,0,1,0,1 백창수,-1,윤규진,3
1,0,0,0,0,1,1,0,1,0,0,1 백창수,-1,윤규진,3
0,1,0,1,0,0,0,1,0,1,0,1 백창수,-1,윤규진,3
0,0,1,1,0,0,0,1,1,0,0,1 백창수,-1,강승현,-1
1,0,0,1,0,0,0,1,0,0,1,1 백창수,-1,김범수,-1
1,0,0,0,0,1,1,0,1,0,0,1 백창수,-1,김범수,-1
0,1,0,0,0,1,0,1,1,0,0,1 백창수,-1,김진영,-1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,다이아몬드,-1
1,0,0,1,0,0,1,0,1,0,0,1 백창수,-1,다이아몬드,-1
0,1,0,1,0,0,0,1,1,0,0,1 백창수,-1,다이아몬드,-1
0,0,1,1,0,0,0,1,1,0,0,1 백창수,-1,다이아몬드,-1
1,0,0,1,0,0,0,1,0,1,0,1 백창수,-1,문승원,-1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,문승원,-1
0,1,0,0,1,0,0,1,1,0,0,1 백창수,-1,문승원,-1
0,1,0,0,0,1,1,0,0,0,1,1 백창수,-1,박정배,0
1,0,0,1,0,0,0,1,0,1,0,1 백창수,-1,윤희상,0
1,0,0,0,0,1,1,0,1,0,0,1 백창수,-1,윤희상,0
0,1,0,0,1,0,1,0,0,0,1,1 백창수,-1,윤희상,0
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,피어밴드,-1
1,0,0,0,0,1,1,0,1,0,0,1 백창수,-1,피어밴드,-1
0,1,0,0,1,0,0,1,1,0,0,1 백창수,-1,피어밴드,-1
0,0,1,0,0,1,1,0,0,0,1,1 백창수,-1,피어밴드,-1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,정성곤,-1
1,0,0,0,0,1,1,0,0,1,0,1 백창수,-1,정성곤,-1
1,0,0,0,0,1,1,0,0,1,0,1 백창수,-1,정성곤,-1
0,1,0,0,0,1,1,0,0,1,0,1 백창수,-1,주권,-1
0,0,1,0,1,0,0,1,0,1,0,1 백창수,-1,이상화,4
1,0,0,1,0,0,0,1,0,0,1,1 백창수,-1,레나도,-1
1,0,0,1,0,0,0,1,0,1,0,1 백창수,-1,레나도,-1
0,1,0,0,1,0,1,0,1,0,0,1 백창수,-1,레나도,-1
0,0,1,0,0,1,0,1,1,0,0,1 백창수,-1,최충연,-1
1,0,0,1,0,0,0,1,0,0,1,1 백창수,-1,김대우,-1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,밴헤켄,-1
1,0,0,0,0,1,0,1,1,0,0,1 백창수,-1,밴헤켄,-1
0,1,0,0,0,1,0,1,1,0,0,1 백창수,-1,밴헤켄,-1
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,최원태,-1
1,0,0,0,1,0,1,0,0,1,0,2 백창수,-1,최원태,-1
0,1,0,1,0,0,0,1,1,0,0,2 백창수,-1,최원태,-1
0,0,1,0,1,0,1,0,1,0,0,2 백창수,-1,오주원,0
0,0,1,0,0,1,1,0,0,0,1,5 백창수,-1,조정훈,-1
1,0,0,1,0,0,1,0,0,1,0,2 백창수,-1,김원중,-1
1,0,0,1,0,0,0,1,1,0,0,2 백창수,-1,김원중,-1
0,1,0,0,0,1,0,1,1,0,0,2 백창수,-1,김원중,-1
1,0,0,0,1,0,1,0,1,0,0,6 백창수,-1,보우덴,-1
1,0,0,0,0,1,0,1,0,0,1,6 백창수,-1,보우덴,-1
0,1,0,1,0,0,0,1,1,0,0,6 백창수,-1,보우덴,-1
0,0,1,0,0,1,1,0,1,0,0,6 백창수,-1,김승회,0
1,0,0,0,1,0,0,1,1,0,0,2 백창수,-1,함덕주,0
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,함덕주,0
0,1,0,1,0,0,1,0,0,0,1,2 백창수,-1,함덕주,0
0,0,1,1,0,0,1,0,1,0,0,2 백창수,-1,김강률,0
0,0,1,0,0,1,0,1,1,0,0,2 백창수,-1,이현호,-1
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,다이아몬드,-1
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,다이아몬드,-1
0,1,0,1,0,0,0,1,1,0,0,2 백창수,-1,다이아몬드,-1
0,0,1,0,0,1,0,1,0,1,0,9 백창수,-1,김강률,0
0,0,1,1,0,0,0,1,1,0,0,9 백창수,-1,김강률,0
0,0,1,0,0,1,1,0,0,1,0,6 백창수,-1,정우람,-1
0,1,0,0,1,0,0,1,0,0,1,6 백창수,-1,최원태,-1
0,1,0,0,1,0,0,1,1,0,0,9 백창수,-1,윤영삼,-1
1,0,0,1,0,0,0,1,1,0,0,1 백창수,-1,구창모,-1
1,0,0,0,1,0,0,1,1,0,0,1 백창수,-1,구창모,-1
0,0,1,0,1,0,0,1,1,0,0,9 백창수,-1,김광수,-1
0,0,1,0,1,0,0,1,1,0,0,1 백창수,-1,김상수,-1
0,0,1,0,0,1,0,1,1,0,0,7 백창수,-1,엄상백,-1
0,0,1,0,0,1,1,0,0,0,1,9 백창수,-1,이종혁,-1
0,0,1,1,0,0,0,1,1,0,0,4 백창수,-1,엄상백,-1
0,0,1,0,1,0,1,0,1,0,0,9 백창수,-1,심창민,0
0,0,1,0,0,1,1,0,1,0,0,7 백창수,-1,양현종,1
0,0,1,0,0,1,0,1,0,1,0,8 백창수,-1,김강률,0
0,0,1,0,1,0,0,1,1,0,0,1 백창수,-1,김시현,-1
0,0,1,1,0,0,0,1,1,0,0,7 백창수,-1,장필준,-1
1,0,0,0,1,0,0,1,0,1,0,2 백창수,-1,레일리,-1
1,0,0,1,0,0,0,1,1,0,0,2 백창수,-1,레일리,-1
0,1,0,0,0,1,1,0,1,0,0,2 백창수,-1,레일리,-1
0,0,1,0,1,0,1,0,1,0,0,9 백창수,-1,한승혁,3
0,0,1,0,1,0,0,1,0,0,1,9 백창수,-1,한기주,-1
1,0,0,1,0,0,0,1,0,0,1,9 백창수,-1,양현종,1
0,1,0,0,1,0,1,0,0,1,0,9 백창수,-1,양현종,1
0,0,1,1,0,0,0,1,0,1,0,9 백창수,-1,양현종,1
0,0,1,0,1,0,0,1,1,0,0,9 백창수,-1,홍건희,-1
0,0,1,0,0,1,0,1,1,0,0,8 백창수,-1,곽정철,-1
1,0,0,1,0,0,1,0,1,0,0,2 백창수,-1,김광현,-1
1,0,0,0,1,0,1,0,1,0,0,2 백창수,-1,김주한,-1
0,1,0,0,1,0,0,1,1,0,0,2 백창수,-1,김주한,-1
0,1,0,0,0,1,0,1,0,1,0,8 백창수,-1,라라,-1
1,0,0,1,0,0,0,1,1,0,0,7 백창수,-1,레일리,-1
0,1,0,1,0,0,0,1,0,1,0,7 백창수,-1,레일리,-1
0,1,0,0,0,1,0,1,0,1,0,7 백창수,-1,레일리,-1
