1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,1,0,1,1,0,0,9 양성우,4,심동섭,-1
0,1,0,0,1,0,0,1,1,0,0,7 양성우,4,양현종,1
0,0,1,0,0,1,1,0,0,1,0,7 양성우,4,양현종,1
0,0,1,1,0,0,0,1,1,0,0,7 양성우,4,임창용,-1
0,1,0,1,0,0,1,0,1,0,0,6 양성우,4,김대우,0
0,0,1,0,1,0,0,1,1,0,0,6 양성우,4,김승현,2
0,0,1,0,1,0,0,1,1,0,0,6 양성우,4,심창민,-1
0,0,1,0,1,0,0,1,1,0,0,7 양성우,4,박근홍,0
1,0,0,0,0,1,1,0,1,0,0,8 양성우,4,우규민,1
0,1,0,0,1,0,0,1,1,0,0,8 양성우,4,우규민,1
0,0,1,0,0,1,0,1,1,0,0,8 양성우,4,백정현,0
0,1,0,1,0,0,0,1,0,1,0,8 양성우,4,윤희상,2
0,0,1,0,0,1,1,0,1,0,0,8 양성우,4,윤희상,2
0,0,1,0,0,1,1,0,0,0,1,6 양성우,4,전유수,0
1,0,0,1,0,0,1,0,0,1,0,7 양성우,4,박종훈,2
0,1,0,0,0,1,0,1,1,0,0,7 양성우,4,박종훈,2
0,0,1,1,0,0,0,1,1,0,0,7 양성우,4,박희수,4
1,0,0,0,0,1,1,0,1,0,0,8 양성우,4,소사,-1
0,1,0,0,0,1,0,1,1,0,0,8 양성우,4,소사,-1
0,0,1,1,0,0,1,0,1,0,0,8 양성우,4,소사,-1
1,0,0,0,1,0,0,1,0,1,0,8 양성우,4,김대현,3
0,1,0,1,0,0,1,0,1,0,0,8 양성우,4,김대현,3
0,0,1,1,0,0,0,1,1,0,0,8 양성우,4,고우석,2
0,0,1,0,0,1,0,1,0,1,0,9 양성우,4,신정락,0
0,0,1,0,1,0,0,1,1,0,0,6 양성우,4,조무근,1
0,0,1,0,1,0,1,0,1,0,0,8 양성우,4,김재윤,1
1,0,0,0,1,0,0,1,1,0,0,7 양성우,4,박종훈,2
0,1,0,1,0,0,0,1,1,0,0,7 양성우,4,박종훈,2
0,1,0,0,1,0,0,1,1,0,0,7 양성우,4,전유수,0
1,0,0,0,1,0,1,0,0,1,0,7 양성우,4,정성곤,0
1,0,0,0,1,0,1,0,0,0,1,7 양성우,4,정성곤,0
0,1,0,1,0,0,0,1,0,1,0,7 양성우,4,정성곤,0
0,1,0,0,1,0,0,1,1,0,0,7 양성우,4,배제성,0
0,0,1,1,0,0,0,1,0,0,1,7 양성우,4,배제성,0
1,0,0,0,0,1,0,1,0,1,0,7 양성우,4,로치,-1
0,1,0,0,0,1,0,1,0,1,0,7 양성우,4,로치,-1
0,0,1,1,0,0,0,1,0,0,1,7 양성우,4,로치,-1
0,0,1,1,0,0,0,1,1,0,0,7 양성우,4,심재민,-1
1,0,0,1,0,0,0,1,1,0,0,7 양성우,4,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,7 양성우,4,고영표,-1
0,0,1,0,1,0,0,1,1,0,0,7 양성우,4,심재민,-1
1,0,0,1,0,0,1,0,0,1,0,2 양성우,4,송승준,2
1,0,0,0,1,0,1,0,1,0,0,2 양성우,4,송승준,2
0,1,0,0,1,0,0,1,1,0,0,2 양성우,4,송승준,2
0,0,1,1,0,0,0,1,1,0,0,2 양성우,4,배장호,2
1,0,0,0,0,1,0,1,0,1,0,6 양성우,4,박세웅,2
0,1,0,0,1,0,0,1,0,0,1,6 양성우,4,박세웅,2
0,0,1,1,0,0,0,1,0,0,1,6 양성우,4,윤길현,2
0,0,1,0,1,0,1,0,1,0,0,6 양성우,4,손승락,1
1,0,0,1,0,0,0,1,0,1,0,6 양성우,4,김대현,3
0,1,0,0,1,0,1,0,1,0,0,6 양성우,4,허프,-1
0,1,0,0,1,0,0,1,1,0,0,6 양성우,4,허프,-1
0,0,1,1,0,0,0,1,1,0,0,6 양성우,4,최동환,0
1,0,0,0,0,1,1,0,1,0,0,6 양성우,4,류제국,2
1,0,0,0,1,0,0,1,1,0,0,6 양성우,4,류제국,2
0,1,0,0,0,1,0,1,0,0,1,6 양성우,4,진해수,0
0,0,1,1,0,0,0,1,1,0,0,6 양성우,4,김지용,2
0,0,1,0,1,0,0,1,0,0,1,6 양성우,4,윤지웅,2
1,0,0,1,0,0,0,1,1,0,0,6 양성우,4,임찬규,0
0,1,0,0,0,1,1,0,1,0,0,6 양성우,4,임찬규,0
0,0,1,1,0,0,1,0,1,0,0,6 양성우,4,진해수,0
0,0,1,0,1,0,0,1,0,1,0,6 양성우,4,김지용,2
1,0,0,0,0,1,0,1,1,0,0,6 양성우,4,최원태,1
0,1,0,0,1,0,1,0,1,0,0,6 양성우,4,최원태,1
0,0,1,0,1,0,0,1,1,0,0,6 양성우,4,최원태,1
1,0,0,0,1,0,0,1,1,0,0,6 양성우,4,신재영,2
1,0,0,0,1,0,0,1,1,0,0,6 양성우,4,신재영,2
0,1,0,1,0,0,0,1,1,0,0,6 양성우,4,신재영,2
0,0,1,1,0,0,0,1,1,0,0,6 양성우,4,금민철,2
0,0,1,0,1,0,0,1,1,0,0,6 양성우,4,하영민,0
1,0,0,0,1,0,1,0,1,0,0,7 양성우,4,브리검,1
0,1,0,1,0,0,0,1,1,0,0,7 양성우,4,브리검,1
0,1,0,0,1,0,0,1,1,0,0,7 양성우,4,오주원,2
0,0,1,0,0,1,0,1,0,1,0,7 양성우,4,김상수,0
1,0,0,0,1,0,0,1,1,0,0,9 양성우,4,우규민,1
0,1,0,1,0,0,1,0,1,0,0,9 양성우,4,우규민,1
0,0,1,1,0,0,0,1,0,0,1,9 양성우,4,장필준,1
0,0,1,0,1,0,0,1,1,0,0,9 양성우,4,장필준,1
1,0,0,0,1,0,0,1,0,1,0,6 양성우,4,최지광,0
1,0,0,0,0,1,1,0,1,0,0,6 양성우,4,최지광,0
0,1,0,0,0,1,0,1,1,0,0,6 양성우,4,김대우,0
0,1,0,0,1,0,0,1,0,0,1,6 양성우,4,이승현,2
0,0,1,0,1,0,0,1,0,1,0,6 양성우,4,김승현,2
0,0,1,0,1,0,1,0,1,0,0,6 양성우,4,심창민,-1
1,0,0,1,0,0,1,0,0,1,0,9 양성우,4,팻딘,-1
0,1,0,0,0,1,0,1,0,0,1,9 양성우,4,팻딘,-1
0,0,1,1,0,0,0,1,0,1,0,9 양성우,4,박지훈,3
0,0,1,1,0,0,0,1,1,0,0,9 양성우,4,홍건희,0
1,0,0,1,0,0,0,1,1,0,0,9 양성우,4,임기영,0
0,1,0,0,1,0,0,1,0,1,0,9 양성우,4,임기영,0
0,0,1,1,0,0,0,1,0,1,0,9 양성우,4,임기영,0
0,0,1,0,0,1,1,0,0,1,0,9 양성우,4,홍건희,0
1,0,0,0,1,0,0,1,0,1,0,9 양성우,4,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,9 양성우,4,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,9 양성우,4,헥터,-1
0,0,1,0,0,1,0,1,0,0,1,9 양성우,4,임창용,-1
1,0,0,0,1,0,1,0,1,0,0,9 양성우,4,이재학,2
0,1,0,1,0,0,1,0,1,0,0,9 양성우,4,이재학,2
0,1,0,1,0,0,0,1,1,0,0,9 양성우,4,이재학,2
0,0,1,0,1,0,0,1,1,0,0,9 양성우,4,김진성,2
1,0,0,0,0,1,1,0,1,0,0,7 양성우,4,구창모,2
0,1,0,0,0,1,0,1,0,0,1,7 양성우,4,구창모,2
0,1,0,1,0,0,1,0,1,0,0,7 양성우,4,김진성,2
