1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,8 오선진,-1,심재민,-1
0,0,1,1,0,0,0,1,1,0,0,9 오선진,-1,박희수,2
0,0,1,0,1,0,0,1,1,0,0,7 오선진,-1,박희수,2
0,0,1,0,0,1,0,1,1,0,0,9 오선진,-1,김윤동,-1
1,0,0,0,0,1,0,1,1,0,0,9 오선진,-1,레나도,-1
0,1,0,1,0,0,0,1,1,0,0,9 오선진,-1,레나도,-1
0,0,1,0,1,0,0,1,0,1,0,3 오선진,-1,이상화,4
1,0,0,1,0,0,0,1,1,0,0,8 오선진,-1,최원태,-1
0,1,0,1,0,0,0,1,1,0,0,8 오선진,-1,최원태,-1
0,1,0,0,0,1,1,0,1,0,0,8 오선진,-1,최원태,-1
0,0,1,0,0,1,0,1,1,0,0,8 오선진,-1,윤영삼,-1
0,0,1,1,0,0,0,1,0,0,1,9 오선진,-1,김동호,-1
0,1,0,1,0,0,0,1,1,0,0,8 오선진,-1,피어밴드,-1
0,0,1,0,0,1,0,1,1,0,0,8 오선진,-1,강장산,-1
0,0,1,0,0,1,1,0,0,0,1,9 오선진,-1,고영표,-1
0,0,1,1,0,0,0,1,1,0,0,9 오선진,-1,김재윤,-1
0,0,1,0,0,1,1,0,1,0,0,9 오선진,-1,이상화,4
1,0,0,1,0,0,1,0,1,0,0,9 오선진,-1,해커,3
0,1,0,0,1,0,1,0,1,0,0,9 오선진,-1,해커,3
0,0,1,0,1,0,0,1,1,0,0,9 오선진,-1,해커,3
1,0,0,0,0,1,0,1,0,1,0,9 오선진,-1,구창모,-1
0,1,0,1,0,0,1,0,1,0,0,9 오선진,-1,구창모,-1
0,1,0,0,0,1,0,1,1,0,0,9 오선진,-1,이민호,0
0,0,1,0,1,0,1,0,0,1,0,9 오선진,-1,임정호,-1
1,0,0,0,1,0,0,1,1,0,0,2 오선진,-1,헥터,-1
1,0,0,0,0,1,1,0,0,1,0,2 오선진,-1,헥터,-1
0,1,0,0,0,1,0,1,0,1,0,2 오선진,-1,헥터,-1
0,1,0,0,0,1,1,0,0,1,0,2 오선진,-1,심동섭,4
0,0,1,0,1,0,0,1,1,0,0,2 오선진,-1,홍건희,-1
1,0,0,1,0,0,1,0,1,0,0,2 오선진,-1,팻딘,-1
1,0,0,0,0,1,0,1,0,1,0,2 오선진,-1,팻딘,-1
0,1,0,1,0,0,0,1,0,1,0,2 오선진,-1,팻딘,-1
0,0,1,0,0,1,0,1,0,1,0,2 오선진,-1,김윤동,-1
1,0,0,1,0,0,1,0,1,0,0,9 오선진,-1,니퍼트,1
0,1,0,0,0,1,0,1,0,0,1,9 오선진,-1,니퍼트,1
0,0,1,0,1,0,1,0,1,0,0,9 오선진,-1,니퍼트,1
0,0,1,0,1,0,1,0,1,0,0,9 오선진,-1,이현호,-1
0,0,1,0,1,0,1,0,0,0,1,2 오선진,-1,안성무,-1
0,0,1,0,0,1,0,1,1,0,0,3 오선진,-1,신재영,-1
