1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,5 이동훈,-1,이용찬,1
0,0,1,1,0,0,0,1,1,0,0,5 이동훈,-1,이현승,2
0,0,1,0,1,0,1,0,1,0,0,5 이동훈,-1,이용찬,1
0,0,1,0,1,0,1,0,1,0,0,5 이동훈,-1,김성배,-1
0,1,0,0,1,0,0,1,1,0,0,6 이동훈,-1,배재환,6
0,0,1,1,0,0,0,1,1,0,0,6 이동훈,-1,윤수호,6
0,1,0,0,0,1,0,1,1,0,0,6 이동훈,-1,문승원,3
0,0,1,1,0,0,0,1,1,0,0,6 이동훈,-1,임준혁,-1
0,0,1,0,0,1,0,1,1,0,0,6 이동훈,-1,박정배,3
0,0,1,0,0,1,0,1,0,1,0,5 이동훈,-1,배제성,6
1,0,0,0,0,1,0,1,1,0,0,9 이동훈,-1,최지광,6
0,1,0,0,1,0,1,0,1,0,0,9 이동훈,-1,최지광,6
0,1,0,0,0,1,0,1,1,0,0,9 이동훈,-1,김대우,3
0,0,1,1,0,0,0,1,1,0,0,9 이동훈,-1,이승현,5
0,0,1,0,0,1,0,1,1,0,0,9 이동훈,-1,심창민,-1
0,1,0,0,1,0,0,1,1,0,0,8 이동훈,-1,김승현,6
0,0,1,0,0,1,1,0,1,0,0,6 이동훈,-1,이형범,6
0,0,1,1,0,0,1,0,1,0,0,9 이동훈,-1,김강률,3
1,0,0,1,0,0,1,0,0,1,0,8 이동훈,-1,켈리,6
0,1,0,0,1,0,1,0,1,0,0,8 이동훈,-1,켈리,6
0,0,1,1,0,0,0,1,1,0,0,8 이동훈,-1,켈리,6
0,0,1,0,1,0,1,0,1,0,0,7 이동훈,-1,최충연,5
0,0,1,0,0,1,0,1,1,0,0,6 이동훈,-1,김현우,-1
1,0,0,0,1,0,0,1,0,1,0,9 이동훈,-1,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,9 이동훈,-1,헥터,-1
0,1,0,1,0,0,1,0,1,0,0,9 이동훈,-1,심동섭,-1
1,0,0,1,0,0,0,1,0,1,0,9 이동훈,-1,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,9 이동훈,-1,팻딘,-1
0,0,1,1,0,0,0,1,1,0,0,9 이동훈,-1,팻딘,-1
0,0,1,0,0,1,1,0,1,0,0,7 이동훈,-1,김명신,-1
0,0,1,0,1,0,1,0,0,1,0,7 이동훈,-1,전용훈,-1
0,0,1,0,0,1,0,1,1,0,0,1 이동훈,-1,김정인,-1
0,0,1,0,1,0,0,1,0,1,0,1 이동훈,-1,채병용,4
1,0,0,1,0,0,0,1,1,0,0,1 이동훈,-1,맨쉽,6
1,0,0,0,1,0,1,0,1,0,0,1 이동훈,-1,맨쉽,6
0,1,0,0,1,0,1,0,1,0,0,1 이동훈,-1,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,1 이동훈,-1,이민호,1
1,0,0,0,1,0,0,1,1,0,0,2 이동훈,-1,해커,2
1,0,0,1,0,0,1,0,1,0,0,2 이동훈,-1,해커,2
0,1,0,1,0,0,1,0,1,0,0,2 이동훈,-1,해커,2
0,1,0,0,0,1,1,0,1,0,0,2 이동훈,-1,원종현,3
0,0,1,0,1,0,1,0,0,0,1,2 이동훈,-1,최금강,-1
0,0,1,0,1,0,0,1,0,1,0,2 이동훈,-1,최성영,6
1,0,0,0,1,0,0,1,0,1,0,2 이동훈,-1,박세웅,1
1,0,0,0,0,1,0,1,1,0,0,2 이동훈,-1,박세웅,1
0,1,0,0,1,0,0,1,1,0,0,2 이동훈,-1,박세웅,1
0,0,1,0,1,0,1,0,1,0,0,2 이동훈,-1,장시환,3
1,0,0,1,0,0,1,0,1,0,0,2 이동훈,-1,김원중,3
1,0,0,0,0,1,0,1,0,0,1,2 이동훈,-1,김원중,3
0,1,0,0,0,1,0,1,1,0,0,2 이동훈,-1,김원중,3
1,0,0,1,0,0,1,0,1,0,0,2 이동훈,-1,류희운,5
1,0,0,0,0,1,1,0,1,0,0,2 이동훈,-1,류희운,5
0,1,0,0,0,1,1,0,0,0,1,2 이동훈,-1,류희운,5
0,1,0,0,1,0,1,0,1,0,0,2 이동훈,-1,이종혁,6
0,0,1,0,0,1,0,1,0,1,0,2 이동훈,-1,홍성용,-1
0,0,1,1,0,0,1,0,1,0,0,2 이동훈,-1,김재윤,5
1,0,0,0,1,0,0,1,0,1,0,2 이동훈,-1,팻딘,-1
1,0,0,0,1,0,1,0,1,0,0,2 이동훈,-1,팻딘,-1
0,1,0,0,1,0,0,1,0,1,0,2 이동훈,-1,팻딘,-1
0,0,1,1,0,0,1,0,1,0,0,2 이동훈,-1,임창용,-1
0,0,1,0,0,1,0,1,1,0,0,2 이동훈,-1,김윤동,5
1,0,0,0,1,0,0,1,1,0,0,2 이동훈,-1,백인식,5
1,0,0,0,1,0,0,1,1,0,0,2 이동훈,-1,백인식,5
0,1,0,0,0,1,1,0,1,0,0,2 이동훈,-1,백인식,5
0,0,1,0,1,0,0,1,1,0,0,2 이동훈,-1,김주한,5
1,0,0,1,0,0,0,1,0,1,0,1 이동훈,-1,박종훈,1
1,0,0,0,1,0,1,0,1,0,0,1 이동훈,-1,박종훈,1
0,1,0,0,0,1,1,0,1,0,0,1 이동훈,-1,박종훈,1
0,0,1,0,0,1,0,1,1,0,0,1 이동훈,-1,문광은,5
0,0,1,1,0,0,0,1,1,0,0,6 이동훈,-1,최성훈,5
0,0,1,0,0,1,0,1,1,0,0,6 이동훈,-1,이동현,2
0,0,1,1,0,0,1,0,1,0,0,1 이동훈,-1,홍성용,-1
0,1,0,0,1,0,0,1,1,0,0,2 이동훈,-1,정성곤,3
0,0,1,0,1,0,0,1,1,0,0,2 이동훈,-1,엄상백,3
1,0,0,0,1,0,0,1,1,0,0,2 이동훈,-1,린드블럼,1
1,0,0,0,1,0,1,0,1,0,0,2 이동훈,-1,린드블럼,1
0,1,0,0,0,1,0,1,0,1,0,2 이동훈,-1,린드블럼,1
0,0,1,0,1,0,0,1,1,0,0,2 이동훈,-1,장시환,3
0,0,1,1,0,0,0,1,1,0,0,6 이동훈,-1,배장호,3
0,0,1,0,0,1,0,1,1,0,0,6 이동훈,-1,남재현,-1
1,0,0,0,1,0,0,1,1,0,0,2 이동훈,-1,구창모,3
1,0,0,1,0,0,0,1,0,1,0,2 이동훈,-1,구창모,3
0,1,0,0,0,1,0,1,1,0,0,2 이동훈,-1,구창모,3
0,0,1,0,0,1,0,1,1,0,0,2 이동훈,-1,이민호,1
1,0,0,1,0,0,1,0,0,1,0,9 이동훈,-1,윤성환,0
0,1,0,0,0,1,0,1,1,0,0,9 이동훈,-1,윤성환,0
0,1,0,0,0,1,0,1,1,0,0,9 이동훈,-1,윤성환,0
0,0,1,1,0,0,1,0,1,0,0,9 이동훈,-1,김시현,-1
1,0,0,1,0,0,0,1,1,0,0,1 이동훈,-1,한현희,1
1,0,0,1,0,0,0,1,1,0,0,1 이동훈,-1,한현희,1
0,1,0,1,0,0,0,1,1,0,0,1 이동훈,-1,한현희,1
0,1,0,0,0,1,0,1,0,1,0,1 이동훈,-1,윤영삼,6
0,0,1,1,0,0,1,0,1,0,0,1 이동훈,-1,금민철,2
1,0,0,1,0,0,0,1,1,0,0,9 이동훈,-1,밴헤켄,-1
0,1,0,0,1,0,0,1,0,1,0,9 이동훈,-1,밴헤켄,-1
0,1,0,0,1,0,0,1,0,1,0,9 이동훈,-1,밴헤켄,-1
0,0,1,1,0,0,1,0,1,0,0,9 이동훈,-1,윤영삼,6
1,0,0,0,0,1,0,1,1,0,0,9 이동훈,-1,차우찬,0
0,1,0,1,0,0,0,1,1,0,0,9 이동훈,-1,차우찬,0
0,0,1,1,0,0,1,0,1,0,0,9 이동훈,-1,이동현,2
0,0,1,0,0,1,0,1,1,0,0,9 이동훈,-1,신정락,3
1,0,0,0,1,0,0,1,0,1,0,9 이동훈,-1,소사,-1
0,1,0,1,0,0,0,1,1,0,0,9 이동훈,-1,소사,-1
0,0,1,0,0,1,1,0,0,1,0,9 이동훈,-1,소사,-1
1,0,0,0,1,0,1,0,1,0,0,9 이동훈,-1,김대현,5
0,1,0,0,1,0,0,1,0,1,0,9 이동훈,-1,김대현,5
0,0,1,0,1,0,0,1,1,0,0,9 이동훈,-1,임정우,3
0,0,1,0,1,0,0,1,1,0,0,9 이동훈,-1,배민관,-1
1,0,0,0,1,0,0,1,1,0,0,9 이동훈,-1,린드블럼,1
0,1,0,0,1,0,0,1,1,0,0,9 이동훈,-1,린드블럼,1
1,0,0,0,1,0,0,1,1,0,0,2 이동훈,-1,황수범,-1
1,0,0,0,1,0,1,0,0,1,0,2 이동훈,-1,황수범,-1
0,1,0,0,0,1,0,1,0,1,0,2 이동훈,-1,장원삼,0
0,1,0,0,0,1,1,0,1,0,0,2 이동훈,-1,장원삼,0
0,0,1,0,1,0,0,1,1,0,0,2 이동훈,-1,심창민,-1
0,0,1,0,1,0,1,0,1,0,0,2 이동훈,-1,장필준,5
1,0,0,0,1,0,0,1,0,1,0,2 이동훈,-1,팻딘,-1
1,0,0,0,0,1,1,0,1,0,0,2 이동훈,-1,팻딘,-1
0,1,0,1,0,0,0,1,0,1,0,2 이동훈,-1,팻딘,-1
0,0,1,1,0,0,1,0,1,0,0,2 이동훈,-1,팻딘,-1
0,0,1,0,0,1,1,0,1,0,0,2 이동훈,-1,이민우,6
1,0,0,1,0,0,0,1,1,0,0,1 이동훈,-1,박세웅,1
1,0,0,0,0,1,0,1,1,0,0,1 이동훈,-1,박세웅,1
0,1,0,1,0,0,0,1,1,0,0,1 이동훈,-1,박세웅,1
0,1,0,0,1,0,1,0,1,0,0,1 이동훈,-1,송승준,0
0,0,1,0,1,0,0,1,1,0,0,1 이동훈,-1,조정훈,-1
1,0,0,1,0,0,1,0,1,0,0,9 이동훈,-1,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,9 이동훈,-1,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,9 이동훈,-1,헥터,-1
1,0,0,1,0,0,0,1,0,1,0,9 이동훈,-1,팻딘,-1
0,1,0,0,0,1,0,1,1,0,0,9 이동훈,-1,팻딘,-1
0,0,1,0,0,1,1,0,1,0,0,9 이동훈,-1,김윤동,5
0,0,1,0,0,1,0,1,1,0,0,9 이동훈,-1,임창용,-1
1,0,0,0,1,0,1,0,1,0,0,9 이동훈,-1,켈리,6
0,1,0,0,0,1,0,1,0,1,0,9 이동훈,-1,켈리,6
0,0,1,1,0,0,1,0,0,0,1,9 이동훈,-1,박종훈,1
0,0,1,0,1,0,0,1,0,0,1,9 이동훈,-1,박정배,3
1,0,0,0,1,0,0,1,0,0,1,9 이동훈,-1,보우덴,-1
0,1,0,1,0,0,0,1,1,0,0,9 이동훈,-1,보우덴,-1
1,0,0,1,0,0,0,1,1,0,0,9 이동훈,-1,장현식,3
0,1,0,0,1,0,0,1,1,0,0,9 이동훈,-1,장현식,3
0,1,0,0,0,1,0,1,0,1,0,9 이동훈,-1,김진성,3
0,0,1,1,0,0,0,1,1,0,0,9 이동훈,-1,원종현,3
0,0,1,0,1,0,1,0,1,0,0,9 이동훈,-1,정수민,5
0,0,1,0,1,0,0,1,1,0,0,9 이동훈,-1,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,8 이동훈,-1,임정우,3
0,0,1,1,0,0,0,1,1,0,0,2 이동훈,-1,안상빈,-1
