1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,1,0,1,0,0,1,0,7 이성열,5,김대우,-1
0,0,1,0,0,1,0,1,0,1,0,7 이성열,5,김승현,-1
0,0,1,0,0,1,0,1,1,0,0,7 이성열,5,심창민,0
1,0,0,0,0,1,0,1,1,0,0,6 이성열,5,페트릭,-1
0,1,0,0,1,0,0,1,1,0,0,6 이성열,5,페트릭,-1
0,1,0,0,0,1,1,0,1,0,0,6 이성열,5,페트릭,-1
0,0,1,1,0,0,0,1,1,0,0,6 이성열,5,박근홍,2
1,0,0,0,1,0,0,1,0,1,0,6 이성열,5,우규민,0
0,1,0,1,0,0,0,1,0,1,0,6 이성열,5,우규민,0
0,0,1,1,0,0,0,1,0,0,1,6 이성열,5,백정현,5
1,0,0,1,0,0,0,1,0,1,0,7 이성열,5,윤희상,0
0,1,0,0,0,1,1,0,1,0,0,7 이성열,5,윤희상,0
0,0,1,0,0,1,0,1,0,0,1,7 이성열,5,윤희상,0
0,0,1,0,0,1,0,1,1,0,0,7 이성열,5,채병용,2
1,0,0,0,0,1,0,1,0,1,0,7 이성열,5,문승원,-1
0,1,0,0,1,0,0,1,0,1,0,7 이성열,5,문승원,-1
0,1,0,1,0,0,0,1,1,0,0,7 이성열,5,문승원,-1
0,0,1,0,1,0,1,0,1,0,0,7 이성열,5,임준혁,4
0,0,1,0,0,1,0,1,1,0,0,7 이성열,5,전유수,2
1,0,0,0,0,1,0,1,1,0,0,5 이성열,5,박종훈,-1
0,1,0,1,0,0,0,1,1,0,0,5 이성열,5,박종훈,-1
0,1,0,0,1,0,1,0,1,0,0,5 이성열,5,박정배,0
1,0,0,0,0,1,1,0,0,1,0,7 이성열,5,소사,1
0,1,0,0,1,0,0,1,1,0,0,7 이성열,5,소사,1
0,0,1,1,0,0,0,1,1,0,0,7 이성열,5,소사,1
0,0,1,0,1,0,0,1,1,0,0,7 이성열,5,최성훈,-1
1,0,0,0,1,0,0,1,1,0,0,5 이성열,5,김대현,-1
0,1,0,0,0,1,0,1,0,1,0,5 이성열,5,김대현,-1
0,1,0,0,1,0,1,0,0,0,1,5 이성열,5,최성훈,-1
0,0,1,0,0,1,0,1,0,1,0,5 이성열,5,최동환,2
1,0,0,0,0,1,0,1,1,0,0,7 이성열,5,류제국,-1
0,1,0,1,0,0,0,1,1,0,0,7 이성열,5,류제국,-1
0,1,0,0,1,0,0,1,1,0,0,7 이성열,5,윤지웅,4
1,0,0,1,0,0,1,0,1,0,0,5 이성열,5,고영표,-1
