1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,9 장운호,4,이준형,0
0,1,0,0,0,1,0,1,0,1,0,9 장운호,4,이준형,0
0,1,0,1,0,0,1,0,1,0,0,9 장운호,4,진해수,0
0,0,1,0,1,0,0,1,1,0,0,9 장운호,4,신승현,-1
0,0,1,1,0,0,1,0,0,0,1,9 장운호,4,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,9 장운호,4,김재윤,1
0,1,0,0,0,1,1,0,0,1,0,9 장운호,4,주권,0
0,0,1,0,1,0,0,1,0,1,0,9 장운호,4,주권,0
0,0,1,1,0,0,0,1,1,0,0,9 장운호,4,김재윤,1
1,0,0,0,0,1,0,1,0,1,0,9 장운호,4,피어밴드,1
0,1,0,0,0,1,0,1,1,0,0,9 장운호,4,피어밴드,1
0,1,0,0,1,0,1,0,1,0,0,9 장운호,4,피어밴드,1
0,0,1,0,0,1,1,0,0,1,0,9 장운호,4,오주원,2
1,0,0,0,1,0,1,0,1,0,0,9 장운호,4,박종윤,-1
0,1,0,0,1,0,0,1,1,0,0,9 장운호,4,오주원,2
0,1,0,0,0,1,0,1,1,0,0,9 장운호,4,이보근,2
0,0,1,0,1,0,0,1,1,0,0,9 장운호,4,김상수,0
1,0,0,1,0,0,0,1,1,0,0,9 장운호,4,최원태,1
0,1,0,0,0,1,0,1,1,0,0,9 장운호,4,김상수,0
0,1,0,0,0,1,0,1,1,0,0,9 장운호,4,오주원,2
1,0,0,1,0,0,0,1,1,0,0,8 장운호,4,이민호,2
0,1,0,1,0,0,0,1,0,0,1,8 장운호,4,이민호,2
0,1,0,0,0,1,0,1,1,0,0,8 장운호,4,원종현,1
0,0,1,0,0,1,0,1,0,1,0,8 장운호,4,김진성,2
0,0,1,1,0,0,0,1,1,0,0,7 장운호,4,이명우,-1
0,0,1,1,0,0,0,1,1,0,0,7 장운호,4,윤길현,2
0,0,1,0,0,1,1,0,0,1,0,6 장운호,4,박한길,-1
0,0,1,0,1,0,0,1,1,0,0,6 장운호,4,이명우,-1
1,0,0,0,1,0,0,1,1,0,0,9 장운호,4,피어밴드,1
1,0,0,0,0,1,1,0,0,0,1,7 장운호,4,박주현,-1
1,0,0,1,0,0,0,1,1,0,0,9 장운호,4,유희관,2
0,1,0,0,1,0,1,0,1,0,0,9 장운호,4,유희관,2
0,0,1,1,0,0,0,1,1,0,0,5 장운호,4,권오준,1
0,0,1,0,0,1,1,0,1,0,0,5 장운호,4,심창민,-1
0,1,0,1,0,0,0,1,0,1,0,9 장운호,4,우규민,1
0,0,1,1,0,0,0,1,1,0,0,9 장운호,4,이준형,0
0,0,1,1,0,0,0,1,0,1,0,9 장운호,4,최동환,0
1,0,0,0,0,1,1,0,1,0,0,8 장운호,4,허프,-1
0,1,0,1,0,0,0,1,1,0,0,8 장운호,4,허프,-1
0,1,0,0,0,1,1,0,1,0,0,9 장운호,4,고영표,-1
0,0,1,1,0,0,0,1,0,1,0,9 장운호,4,해커,1
0,1,0,0,1,0,0,1,1,0,0,6 장운호,4,임정호,-1
0,0,1,0,0,1,1,0,1,0,0,6 장운호,4,장현식,2
0,0,1,0,1,0,0,1,1,0,0,6 장운호,4,박민호,2
0,0,1,0,1,0,0,1,1,0,0,6 장운호,4,라라,-1
1,0,0,0,1,0,1,0,1,0,0,9 장운호,4,유희관,2
0,1,0,1,0,0,0,1,1,0,0,9 장운호,4,유희관,2
0,1,0,1,0,0,1,0,1,0,0,9 장운호,4,유희관,2
1,0,0,0,0,1,0,1,0,1,0,8 장운호,4,김광현,1
1,0,0,0,1,0,1,0,1,0,0,8 장운호,4,김광현,1
1,0,0,1,0,0,0,1,1,0,0,8 장운호,4,켈리,4
0,0,1,0,0,1,1,0,1,0,0,2 장운호,4,김대우,0
0,0,1,1,0,0,0,1,1,0,0,2 장운호,4,김대우,0
0,0,1,0,0,1,0,1,0,0,1,2 장운호,4,심창민,-1
0,1,0,0,1,0,0,1,1,0,0,2 장운호,4,배장호,2
0,0,1,0,1,0,1,0,1,0,0,7 장운호,4,전인환,-1
0,0,1,0,1,0,0,1,1,0,0,3 장운호,4,원종현,1
1,0,0,1,0,0,1,0,1,0,0,2 장운호,4,류제국,2
0,1,0,0,0,1,1,0,0,1,0,2 장운호,4,류제국,2
0,1,0,0,0,1,1,0,0,1,0,2 장운호,4,우규민,1
0,0,1,0,0,1,0,1,1,0,0,2 장운호,4,임찬규,0
0,0,1,0,1,0,0,1,1,0,0,2 장운호,4,최성훈,2
1,0,0,0,1,0,0,1,0,0,1,2 장운호,4,윤희상,2
1,0,0,0,0,1,1,0,1,0,0,2 장운호,4,윤희상,2
0,1,0,0,0,1,0,1,1,0,0,2 장운호,4,윤희상,2
0,0,1,0,0,1,0,1,1,0,0,2 장운호,4,김광현,1
0,0,1,0,0,1,0,1,0,1,0,9 장운호,4,홍상삼,2
1,0,0,0,1,0,0,1,1,0,0,8 장운호,4,보우덴,-1
0,0,1,0,1,0,0,1,1,0,0,7 장운호,4,배재환,2
1,0,0,1,0,0,0,1,1,0,0,8 장운호,4,신재영,2
0,1,0,1,0,0,0,1,0,1,0,8 장운호,4,신재영,2
0,0,1,0,1,0,0,1,1,0,0,8 장운호,4,오주원,2
1,0,0,0,1,0,0,1,0,1,0,8 장운호,4,안규영,-1
1,0,0,0,0,1,0,1,1,0,0,8 장운호,4,고봉재,-1
0,1,0,0,1,0,0,1,0,1,0,8 장운호,4,윤명준,2
0,1,0,1,0,0,0,1,1,0,0,8 장운호,4,김성배,-1
0,0,1,0,1,0,0,1,1,0,0,8 장운호,4,이용호,-1
1,0,0,1,0,0,0,1,1,0,0,8 장운호,4,로위,-1
0,1,0,1,0,0,0,1,0,0,1,8 장운호,4,로위,-1
0,1,0,0,1,0,0,1,1,0,0,8 장운호,4,심재민,-1
0,0,1,0,0,1,1,0,0,1,0,8 장운호,4,피어밴드,1
0,0,1,0,1,0,0,1,1,0,0,8 장운호,4,김재윤,1
1,0,0,1,0,0,0,1,1,0,0,8 장운호,4,박준표,0
0,1,0,0,1,0,0,1,1,0,0,8 장운호,4,박준표,0
0,0,1,1,0,0,0,1,1,0,0,8 장운호,4,홍건희,0
1,0,0,0,1,0,0,1,1,0,0,2 장운호,4,피어밴드,1
0,1,0,0,1,0,0,1,0,1,0,2 장운호,4,피어밴드,1
0,1,0,0,0,1,0,1,1,0,0,2 장운호,4,피어밴드,1
0,0,1,0,1,0,0,1,1,0,0,2 장운호,4,조상우,4
1,0,0,0,1,0,0,1,0,1,0,2 장운호,4,김광현,1
1,0,0,1,0,0,0,1,1,0,0,2 장운호,4,김광현,1
0,1,0,0,0,1,0,1,0,0,1,2 장운호,4,김광현,1
0,1,0,1,0,0,1,0,1,0,0,2 장운호,4,채병용,2
0,0,1,0,1,0,1,0,0,1,0,2 장운호,4,고효준,0
1,0,0,1,0,0,1,0,1,0,0,2 장운호,4,윤희상,2
1,0,0,0,0,1,0,1,1,0,0,2 장운호,4,윤희상,2
0,1,0,0,0,1,1,0,1,0,0,2 장운호,4,윤희상,2
0,0,1,0,1,0,0,1,1,0,0,2 장운호,4,문광은,3
0,0,1,0,1,0,1,0,1,0,0,2 장운호,4,윤길현,2
1,0,0,1,0,0,1,0,1,0,0,2 장운호,4,켈리,4
0,1,0,1,0,0,0,1,1,0,0,2 장운호,4,켈리,4
0,1,0,0,0,1,0,1,0,0,1,2 장운호,4,켈리,4
0,0,1,0,0,1,0,1,0,1,0,2 장운호,4,켈리,4
1,0,0,0,1,0,0,1,1,0,0,2 장운호,4,임준혁,-1
0,1,0,1,0,0,0,1,1,0,0,2 장운호,4,임준혁,-1
0,1,0,1,0,0,0,1,1,0,0,2 장운호,4,최영필,-1
0,0,1,0,0,1,1,0,1,0,0,2 장운호,4,김광수,-1
0,0,1,0,1,0,0,1,1,0,0,3 장운호,4,홍건희,0
0,0,1,0,0,1,0,1,1,0,0,3 장운호,4,박준표,0
0,0,1,0,0,1,1,0,0,0,1,3 장운호,4,민태호,-1
0,1,0,1,0,0,0,1,1,0,0,6 장운호,4,스튜어트,-1
0,0,1,1,0,0,0,1,1,0,0,6 장운호,4,최금강,-1
0,0,1,1,0,0,0,1,1,0,0,9 장운호,4,오현택,1
1,0,0,1,0,0,1,0,1,0,0,2 장운호,4,유희관,2
1,0,0,0,0,1,0,1,1,0,0,2 장운호,4,유희관,2
0,1,0,0,0,1,0,1,1,0,0,2 장운호,4,유희관,2
0,1,0,0,0,1,0,1,1,0,0,2 장운호,4,유희관,2
0,0,1,1,0,0,0,1,0,0,1,2 장운호,4,이동현,1
