1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,8 정근우,1,니퍼트,1
1,0,0,0,0,1,0,1,1,0,0,9 정근우,1,유희관,1
0,1,0,0,1,0,1,0,1,0,0,9 정근우,1,유희관,1
0,0,1,0,1,0,0,1,0,0,1,4 정근우,1,김성배,-1
0,0,1,0,1,0,1,0,1,0,0,8 정근우,1,윤수호,-1
0,1,0,1,0,0,0,1,1,0,0,9 정근우,1,해커,3
0,0,1,1,0,0,0,1,1,0,0,9 정근우,1,장현식,-1
0,0,1,0,1,0,0,1,1,0,0,9 정근우,1,임창민,4
1,0,0,0,0,1,0,1,1,0,0,8 정근우,1,헥터,-1
0,1,0,0,1,0,0,1,1,0,0,8 정근우,1,헥터,-1
0,0,1,0,1,0,1,0,1,0,0,8 정근우,1,헥터,-1
0,0,1,1,0,0,0,1,0,1,0,8 정근우,1,헥터,-1
1,0,0,0,0,1,0,1,0,1,0,8 정근우,1,팻딘,-1
0,1,0,0,0,1,0,1,1,0,0,8 정근우,1,팻딘,-1
0,1,0,0,0,1,1,0,0,0,1,8 정근우,1,박지훈,-1
0,0,1,0,0,1,0,1,1,0,0,8 정근우,1,한승혁,3
1,0,0,0,1,0,1,0,0,1,0,3 정근우,1,양현종,1
0,1,0,1,0,0,0,1,0,1,0,3 정근우,1,양현종,1
0,1,0,0,0,1,1,0,1,0,0,3 정근우,1,양현종,1
0,0,1,0,1,0,0,1,1,0,0,3 정근우,1,한승혁,3
1,0,0,0,0,1,0,1,1,0,0,3 정근우,1,장원삼,0
1,0,0,0,1,0,0,1,1,0,0,3 정근우,1,장원삼,0
0,1,0,0,1,0,0,1,0,1,0,3 정근우,1,장원삼,0
0,1,0,0,0,1,0,1,0,1,0,3 정근우,1,김승현,-1
0,0,1,0,0,1,1,0,0,1,0,3 정근우,1,심창민,0
0,0,1,0,0,1,0,1,0,1,0,3 정근우,1,심창민,0
1,0,0,0,0,1,0,1,1,0,0,3 정근우,1,페트릭,-1
0,1,0,1,0,0,0,1,0,1,0,3 정근우,1,페트릭,-1
0,1,0,1,0,0,1,0,1,0,0,3 정근우,1,페트릭,-1
0,0,1,0,0,1,0,1,0,1,0,3 정근우,1,페트릭,-1
1,0,0,0,1,0,1,0,1,0,0,3 정근우,1,우규민,0
0,1,0,1,0,0,0,1,1,0,0,3 정근우,1,우규민,0
0,1,0,0,0,1,0,1,0,1,0,3 정근우,1,우규민,0
0,0,1,1,0,0,0,1,1,0,0,3 정근우,1,심창민,0
