1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,7 지성준,0,윤명준,5
0,0,1,1,0,0,0,1,1,0,0,6 지성준,0,민태호,6
0,1,0,1,0,0,1,0,1,0,0,8 지성준,0,임정우,3
0,0,1,0,1,0,0,1,1,0,0,8 지성준,0,이동현,2
0,0,1,0,1,0,0,1,0,1,0,8 지성준,0,정찬헌,3
0,0,1,0,1,0,0,1,0,1,0,6 지성준,0,오현택,3
0,1,0,0,0,1,0,1,1,0,0,7 지성준,0,최영필,-1
0,0,1,1,0,0,1,0,0,1,0,7 지성준,0,한기주,3
0,0,1,0,1,0,1,0,1,0,0,7 지성준,0,한승혁,3
0,0,1,1,0,0,0,1,1,0,0,5 지성준,0,박정배,3
0,1,0,0,0,1,0,1,1,0,0,9 지성준,0,켈리,6
0,0,1,1,0,0,0,1,1,0,0,9 지성준,0,켈리,6
