1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,5 최재훈,-1,안영명,3
0,0,1,1,0,0,0,1,0,1,0,8 최재훈,-1,밴헤켄,-1
0,0,1,0,0,1,0,1,0,1,0,8 최재훈,-1,금민철,1
1,0,0,0,1,0,1,0,0,0,1,8 최재훈,-1,오설리반,-1
1,0,0,0,0,1,0,1,0,1,0,8 최재훈,-1,한현희,-1
0,1,0,0,0,1,1,0,1,0,0,8 최재훈,-1,한현희,-1
1,0,0,0,1,0,0,1,1,0,0,8 최재훈,-1,최원태,-1
0,0,1,1,0,0,1,0,1,0,0,3 최재훈,-1,박지훈,-1
1,0,0,1,0,0,0,1,1,0,0,9 최재훈,-1,소사,1
0,1,0,1,0,0,0,1,1,0,0,9 최재훈,-1,소사,1
0,0,1,0,1,0,1,0,1,0,0,9 최재훈,-1,소사,1
1,0,0,0,1,0,1,0,1,0,0,9 최재훈,-1,김대현,-1
0,1,0,0,0,1,0,1,1,0,0,9 최재훈,-1,김대현,-1
0,0,1,0,1,0,0,1,0,0,1,9 최재훈,-1,고우석,-1
1,0,0,0,1,0,0,1,0,0,1,9 최재훈,-1,류제국,-1
0,1,0,0,0,1,0,1,1,0,0,9 최재훈,-1,류제국,-1
0,1,0,0,0,1,1,0,1,0,0,9 최재훈,-1,김지용,-1
1,0,0,1,0,0,0,1,1,0,0,9 최재훈,-1,피어밴드,-1
0,1,0,1,0,0,0,1,0,1,0,9 최재훈,-1,피어밴드,-1
0,0,1,0,0,1,1,0,1,0,0,9 최재훈,-1,심재민,-1
0,0,1,0,1,0,0,1,1,0,0,9 최재훈,-1,조무근,-1
1,0,0,1,0,0,0,1,1,0,0,9 최재훈,-1,정성곤,-1
0,1,0,1,0,0,0,1,0,1,0,9 최재훈,-1,정성곤,-1
0,1,0,0,1,0,0,1,0,1,0,9 최재훈,-1,이상화,4
0,0,1,0,0,1,0,1,0,1,0,9 최재훈,-1,심재민,-1
1,0,0,1,0,0,0,1,0,0,1,8 최재훈,-1,고영표,-1
0,1,0,0,1,0,0,1,0,1,0,8 최재훈,-1,고영표,-1
