1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,5 최진행,2,니퍼트,1
0,1,0,0,0,1,1,0,0,0,1,5 최진행,2,니퍼트,1
0,0,1,1,0,0,0,1,1,0,0,5 최진행,2,니퍼트,1
0,0,1,0,1,0,0,1,1,0,0,5 최진행,2,김성배,-1
1,0,0,0,0,1,0,1,1,0,0,5 최진행,2,유희관,1
1,0,0,0,0,1,0,1,1,0,0,5 최진행,2,유희관,1
0,1,0,0,0,1,1,0,1,0,0,5 최진행,2,유희관,1
1,0,0,0,0,1,0,1,1,0,0,5 최진행,2,고원준,-1
0,1,0,1,0,0,0,1,0,0,1,5 최진행,2,고원준,-1
0,1,0,0,1,0,0,1,1,0,0,5 최진행,2,김명신,-1
0,0,1,0,1,0,1,0,0,0,1,5 최진행,2,김명신,-1
1,0,0,0,0,1,0,1,0,1,0,7 최진행,2,최금강,0
1,0,0,0,1,0,0,1,0,0,1,7 최진행,2,최금강,0
0,1,0,0,0,1,0,1,1,0,0,7 최진행,2,배재환,-1
0,0,1,0,1,0,0,1,0,1,0,7 최진행,2,윤수호,-1
1,0,0,0,0,1,0,1,1,0,0,3 최진행,2,해커,3
1,0,0,1,0,0,1,0,1,0,0,3 최진행,2,해커,3
0,1,0,1,0,0,0,1,1,0,0,3 최진행,2,장현식,-1
0,0,1,1,0,0,0,1,0,0,1,3 최진행,2,원종현,-1
1,0,0,0,0,1,1,0,0,1,0,7 최진행,2,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,7 최진행,2,헥터,-1
0,0,1,1,0,0,1,0,1,0,0,7 최진행,2,헥터,-1
0,0,1,0,0,1,0,1,1,0,0,7 최진행,2,헥터,-1
1,0,0,0,0,1,1,0,0,1,0,7 최진행,2,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,7 최진행,2,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,7 최진행,2,팻딘,-1
0,0,1,0,1,0,0,1,1,0,0,7 최진행,2,한승혁,3
1,0,0,0,1,0,0,1,1,0,0,7 최진행,2,양현종,1
1,0,0,0,1,0,1,0,0,1,0,6 최진행,2,장원삼,0
1,0,0,0,0,1,0,1,1,0,0,6 최진행,2,장원삼,0
1,0,0,1,0,0,0,1,0,1,0,7 최진행,2,페트릭,-1
0,1,0,0,0,1,1,0,1,0,0,7 최진행,2,페트릭,-1
0,0,1,1,0,0,0,1,0,1,0,7 최진행,2,페트릭,-1
0,0,1,1,0,0,0,1,1,0,0,9 최진행,2,백정현,5
1,0,0,1,0,0,0,1,1,0,0,4 최진행,2,윤희상,0
0,1,0,1,0,0,0,1,1,0,0,4 최진행,2,윤희상,0
0,0,1,1,0,0,0,1,0,1,0,4 최진행,2,윤희상,0
0,0,1,0,0,1,1,0,1,0,0,4 최진행,2,채병용,2
1,0,0,0,1,0,0,1,1,0,0,6 최진행,2,문승원,-1
0,1,0,1,0,0,0,1,1,0,0,6 최진행,2,문승원,-1
0,1,0,0,0,1,0,1,1,0,0,6 최진행,2,문승원,-1
0,0,1,0,1,0,0,1,0,0,1,8 최진행,2,박희수,2
0,0,1,0,0,1,0,1,1,0,0,8 최진행,2,서진용,-1
1,0,0,0,1,0,0,1,1,0,0,5 최진행,2,소사,1
0,1,0,1,0,0,1,0,0,0,1,5 최진행,2,소사,1
0,1,0,0,1,0,1,0,1,0,0,5 최진행,2,소사,1
0,0,1,1,0,0,1,0,1,0,0,5 최진행,2,정찬헌,3
1,0,0,0,0,1,0,1,1,0,0,6 최진행,2,김대현,-1
0,1,0,0,0,1,1,0,1,0,0,6 최진행,2,김대현,-1
0,1,0,0,1,0,1,0,1,0,0,6 최진행,2,고우석,-1
1,0,0,1,0,0,0,1,1,0,0,8 최진행,2,류제국,-1
1,0,0,0,1,0,0,1,0,1,0,6 최진행,2,피어밴드,-1
0,1,0,1,0,0,0,1,1,0,0,6 최진행,2,피어밴드,-1
0,0,1,1,0,0,0,1,0,1,0,6 최진행,2,심재민,-1
1,0,0,0,1,0,0,1,1,0,0,6 최진행,2,정성곤,-1
0,1,0,0,1,0,0,1,1,0,0,6 최진행,2,정성곤,-1
0,1,0,0,0,1,0,1,0,1,0,6 최진행,2,정성곤,-1
0,0,1,0,1,0,1,0,0,1,0,6 최진행,2,엄상백,-1
0,0,1,1,0,0,0,1,1,0,0,6 최진행,2,김재윤,-1
1,0,0,0,0,1,0,1,1,0,0,4 최진행,2,고영표,-1
