3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6 ±è¹Î½Ä,-1,½ÉÀç¹Î,-1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,¼ÛÀº¹ü,3
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,¼ÛÀº¹ü,3
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,9 ±è¹Î½Ä,-1,¹ÚÁ¤Áø,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9 ±è¹Î½Ä,-1,ÀÌÅÂ¾ç,-1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,ÀÌÅÂ¾ç,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,9 ±è¹Î½Ä,-1,¹ÚÁ¤Áø,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5 ±è¹Î½Ä,-1,È«»ó»ï,-1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,9 ±è¹Î½Ä,-1,ÇÔ´öÁÖ,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,9 ±è¹Î½Ä,-1,ÇÔ´öÁÖ,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,´ÏÆÛÆ®,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,9 ±è¹Î½Ä,-1,´ÏÆÛÆ®,1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,´ÏÆÛÆ®,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,9 ±è¹Î½Ä,-1,ÇÑÇöÈñ,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,9 ±è¹Î½Ä,-1,ÇÑÇöÈñ,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,9 ±è¹Î½Ä,-1,ÇÑÇöÈñ,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,7 ±è¹Î½Ä,-1,ÃÖ¿øÅÂ,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,7 ±è¹Î½Ä,-1,ÃÖ¿øÅÂ,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7 ±è¹Î½Ä,-1,ÃÖ¿øÅÂ,-1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,7 ±è¹Î½Ä,-1,½ÅÀç¿µ,-1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,7 ±è¹Î½Ä,-1,½ÅÀç¿µ,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,7 ±è¹Î½Ä,-1,½ÅÀç¿µ,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7 ±è¹Î½Ä,-1,ÀÌº¸±Ù,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,8 ±è¹Î½Ä,-1,°í¿µÇ¥,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8 ±è¹Î½Ä,-1,°í¿µÇ¥,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,8 ±è¹Î½Ä,-1,½ÉÀç¹Î,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,8 ±è¹Î½Ä,-1,ÀÌ»óÈ­,4
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,9 ±è¹Î½Ä,-1,·ÎÄ¡,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,9 ±è¹Î½Ä,-1,·ÎÄ¡,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,·ÎÄ¡,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,9 ±è¹Î½Ä,-1,½ÉÀç¹Î,-1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,9 ±è¹Î½Ä,-1,Á¤´ëÇö,-1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,Á¤´ëÇö,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,9 ±è¹Î½Ä,-1,ÁÖ±Ç,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9 ±è¹Î½Ä,-1,¹èÁ¦¼º,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,8 ±è¹Î½Ä,-1,ÀÓÂù±Ô,-1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 ±è¹Î½Ä,-1,ÀÓÂù±Ô,-1
