1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,9 ±è¼±ºó,2,ÆäÆ®¸¯,-1
0,1,0,0,0,1,0,1,1,0,0,9 ±è¼±ºó,2,ÆäÆ®¸¯,-1
0,0,1,0,1,0,0,1,1,0,0,9 ±è¼±ºó,2,±è´ë¿ì,0
0,0,1,0,0,1,0,1,0,0,1,9 ±è¼±ºó,2,ÀåÁöÈÆ,-1
1,0,0,0,1,0,0,1,1,0,0,9 ±è¼±ºó,2,¿ì±Ô¹Î,1
0,1,0,0,1,0,0,1,1,0,0,9 ±è¼±ºó,2,¿ì±Ô¹Î,1
0,0,1,0,1,0,0,1,0,1,0,9 ±è¼±ºó,2,¿ì±Ô¹Î,1
0,0,1,0,0,1,0,1,0,0,1,9 ±è¼±ºó,2,ÀÌ½ÂÇö,2
0,0,1,0,1,0,0,1,0,1,0,9 ±è¼±ºó,2,½ÉÃ¢¹Î,-1
1,0,0,1,0,0,0,1,1,0,0,9 ±è¼±ºó,2,À±¼ºÈ¯,1
0,1,0,0,0,1,0,1,1,0,0,9 ±è¼±ºó,2,À±¼ºÈ¯,1
0,1,0,0,0,1,0,1,1,0,0,9 ±è¼±ºó,2,À±¼ºÈ¯,1
1,0,0,0,1,0,0,1,0,0,1,7 ±è¼±ºó,2,¹ÚÁ¾ÈÆ,2
0,1,0,1,0,0,0,1,1,0,0,7 ±è¼±ºó,2,¹ÚÁ¾ÈÆ,2
0,1,0,0,0,1,1,0,0,1,0,7 ±è¼±ºó,2,Ã¤º´¿ë,2
0,0,1,0,0,1,0,1,1,0,0,7 ±è¼±ºó,2,ÀüÀ¯¼ö,0
1,0,0,0,0,1,0,1,0,1,0,7 ±è¼±ºó,2,ÄÌ¸®,4
0,1,0,1,0,0,1,0,1,0,0,7 ±è¼±ºó,2,ÄÌ¸®,4
0,1,0,0,0,1,0,1,0,1,0,7 ±è¼±ºó,2,ÄÌ¸®,4
0,0,1,0,1,0,0,1,0,1,0,7 ±è¼±ºó,2,¼­Áø¿ë,2
1,0,0,0,1,0,0,1,1,0,0,2 ±è¼±ºó,2,ºñ¾ß´©¿¡¹Ù,-1
0,1,0,1,0,0,0,1,0,1,0,2 ±è¼±ºó,2,ºñ¾ß´©¿¡¹Ù,-1
