1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,7 김주형,6,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,7 김주형,6,페트릭,-1
0,0,1,1,0,0,1,0,1,0,0,7 김주형,6,페트릭,-1
0,0,1,0,1,0,1,0,1,0,0,7 김주형,6,김승현,-1
1,0,0,0,0,1,0,1,1,0,0,7 김주형,6,우규민,0
0,1,0,0,0,1,0,1,0,1,0,7 김주형,6,우규민,0
0,0,1,1,0,0,1,0,1,0,0,7 김주형,6,우규민,0
0,0,1,1,0,0,1,0,1,0,0,7 김주형,6,이승현,-1
0,0,1,1,0,0,1,0,1,0,0,7 김주형,6,심창민,0
1,0,0,0,1,0,0,1,1,0,0,7 김주형,6,윤성환,5
0,1,0,0,1,0,1,0,0,1,0,7 김주형,6,윤성환,5
0,1,0,0,1,0,1,0,1,0,0,7 김주형,6,윤성환,5
0,0,1,0,1,0,0,1,0,1,0,7 김주형,6,김승현,-1
1,0,0,0,1,0,1,0,1,0,0,8 김주형,6,박종훈,-1
0,1,0,0,1,0,0,1,1,0,0,8 김주형,6,박종훈,-1
0,1,0,0,0,1,1,0,0,1,0,8 김주형,6,채병용,2
1,0,0,0,0,1,1,0,1,0,0,8 김주형,6,켈리,-1
0,1,0,0,0,1,0,1,0,1,0,8 김주형,6,켈리,-1
0,1,0,0,0,1,1,0,1,0,0,8 김주형,6,켈리,-1
0,0,1,0,1,0,1,0,1,0,0,8 김주형,6,서진용,-1
1,0,0,1,0,0,1,0,1,0,0,8 김주형,6,비야누에바,-1
0,1,0,1,0,0,0,1,0,1,0,8 김주형,6,비야누에바,-1
0,0,1,0,1,0,0,1,1,0,0,8 김주형,6,심수창,4
1,0,0,0,1,0,1,0,1,0,0,8 김주형,6,송은범,3
0,1,0,0,1,0,0,1,1,0,0,8 김주형,6,송은범,3
0,0,1,1,0,0,1,0,0,0,1,8 김주형,6,송창식,4
1,0,0,1,0,0,0,1,1,0,0,8 김주형,6,이태양,-1
0,1,0,0,0,1,1,0,1,0,0,8 김주형,6,이태양,-1
0,0,1,0,1,0,0,1,0,1,0,8 김주형,6,이태양,-1
1,0,0,0,0,1,1,0,1,0,0,7 김주형,6,장원준,3
0,1,0,0,1,0,0,1,0,0,1,7 김주형,6,장원준,3
0,1,0,0,1,0,0,1,1,0,0,7 김주형,6,김승회,0
0,0,1,0,1,0,0,1,1,0,0,7 김주형,6,김성배,-1
1,0,0,1,0,0,0,1,1,0,0,8 김주형,6,함덕주,0
0,1,0,0,0,1,0,1,0,0,1,8 김주형,6,함덕주,0
0,1,0,0,1,0,0,1,0,0,1,8 김주형,6,김승회,0
0,0,1,0,1,0,0,1,1,0,0,8 김주형,6,홍상삼,-1
0,0,1,0,0,1,0,1,1,0,0,8 김주형,6,이용찬,-1
1,0,0,0,0,1,0,1,1,0,0,8 김주형,6,니퍼트,1
0,1,0,0,0,1,1,0,0,0,1,8 김주형,6,니퍼트,1
0,1,0,0,0,1,1,0,1,0,0,8 김주형,6,니퍼트,1
0,0,1,0,0,1,0,1,1,0,0,8 김주형,6,김강률,0
1,0,0,0,1,0,0,1,1,0,0,8 김주형,6,한현희,-1
0,1,0,1,0,0,1,0,1,0,0,8 김주형,6,한현희,-1
0,0,1,0,0,1,0,1,0,0,1,8 김주형,6,한현희,-1
1,0,0,0,0,1,0,1,1,0,0,8 김주형,6,최원태,-1
0,1,0,1,0,0,0,1,1,0,0,8 김주형,6,최원태,-1
0,1,0,0,0,1,0,1,1,0,0,8 김주형,6,최원태,-1
0,0,1,0,0,1,0,1,1,0,0,8 김주형,6,금민철,1
1,0,0,0,1,0,1,0,1,0,0,8 김주형,6,신재영,-1
0,1,0,0,1,0,0,1,1,0,0,8 김주형,6,신재영,-1
0,1,0,0,1,0,1,0,1,0,0,7 김주형,6,심재민,-1
0,0,1,1,0,0,0,1,1,0,0,7 김주형,6,이상화,4
1,0,0,1,0,0,1,0,1,0,0,8 김주형,6,로치,-1
0,1,0,1,0,0,1,0,1,0,0,8 김주형,6,로치,-1
1,0,0,1,0,0,0,1,0,0,1,8 김주형,6,정대현,-1
1,0,0,0,0,1,0,1,1,0,0,8 김주형,6,정대현,-1
