1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,9 문선재,0,밴헤켄,-1
0,1,0,1,0,0,0,1,1,0,0,9 문선재,0,밴헤켄,-1
0,0,1,0,0,1,0,1,1,0,0,1 문선재,0,박근홍,3
1,0,0,0,0,1,0,1,0,0,1,9 문선재,0,애디튼,-1
0,1,0,0,0,1,0,1,1,0,0,9 문선재,0,애디튼,-1
0,0,1,0,0,1,0,1,1,0,0,9 문선재,0,배장호,3
1,0,0,1,0,0,0,1,1,0,0,7 문선재,0,구창모,3
1,0,0,0,1,0,1,0,0,0,1,7 문선재,0,장현식,3
0,1,0,1,0,0,0,1,1,0,0,7 문선재,0,장현식,3
0,1,0,0,1,0,0,1,0,0,1,7 문선재,0,이형범,6
0,0,1,0,1,0,0,1,1,0,0,7 문선재,0,윤수호,6
1,0,0,0,1,0,0,1,1,0,0,9 문선재,0,이민호,1
0,1,0,0,1,0,0,1,1,0,0,9 문선재,0,이민호,1
0,0,1,0,1,0,0,1,1,0,0,9 문선재,0,김진성,3
1,0,0,0,1,0,0,1,1,0,0,7 문선재,0,장원준,0
0,1,0,1,0,0,0,1,0,0,1,7 문선재,0,장원준,0
1,0,0,1,0,0,0,1,0,1,0,7 문선재,0,함덕주,3
0,1,0,1,0,0,0,1,1,0,0,7 문선재,0,함덕주,3
0,1,0,0,0,1,0,1,1,0,0,7 문선재,0,박치국,6
0,0,1,0,0,1,0,1,1,0,0,7 문선재,0,박치국,6
1,0,0,1,0,0,0,1,1,0,0,1 문선재,0,팻딘,-1
1,0,0,0,0,1,0,1,1,0,0,1 문선재,0,팻딘,-1
0,1,0,0,0,1,0,1,1,0,0,1 문선재,0,팻딘,-1
0,0,1,0,1,0,0,1,0,1,0,1 문선재,0,김윤동,5
0,0,1,0,0,1,1,0,1,0,0,1 문선재,0,김세현,1
1,0,0,1,0,0,0,1,1,0,0,1 문선재,0,심동섭,-1
1,0,0,0,0,1,0,1,0,1,0,1 문선재,0,심동섭,-1
