1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,7 박준태,7,이동현,2
0,0,1,0,0,1,1,0,0,0,1,4 박준태,7,이준형,6
0,0,1,1,0,0,0,1,0,1,0,4 박준태,7,이성민,-1
0,0,1,1,0,0,0,1,1,0,0,7 박준태,7,이성민,-1
1,0,0,0,0,1,1,0,0,0,1,8 박준태,7,박세웅,1
0,1,0,1,0,0,0,1,1,0,0,8 박준태,7,이정민,-1
0,1,0,0,0,1,0,1,1,0,0,8 박준태,7,홍성민,5
0,0,1,0,0,1,1,0,1,0,0,8 박준태,7,이인복,-1
0,0,1,1,0,0,0,1,1,0,0,1 박준태,7,윤성환,0
0,0,1,0,1,0,0,1,0,0,1,2 박준태,7,심창민,-1
0,0,1,0,0,1,0,1,0,1,0,7 박준태,7,이동걸,-1
0,0,1,0,0,1,0,1,1,0,0,7 박준태,7,정대훈,-1
1,0,0,0,1,0,0,1,0,0,1,7 박준태,7,배영수,0
0,1,0,0,0,1,0,1,1,0,0,7 박준태,7,배영수,0
0,1,0,0,0,1,0,1,1,0,0,7 박준태,7,박정진,-1
1,0,0,0,0,1,0,1,0,1,0,9 박준태,7,이태양,1
0,1,0,0,0,1,0,1,1,0,0,9 박준태,7,이태양,1
0,1,0,0,1,0,1,0,0,0,1,9 박준태,7,민태호,6
0,1,0,0,0,1,1,0,1,0,0,9 박준태,7,민태호,6
0,0,1,0,0,1,1,0,1,0,0,9 박준태,7,민태호,6
0,0,1,0,0,1,1,0,1,0,0,1 박준태,7,김수완,-1
0,0,1,0,0,1,0,1,0,0,1,5 박준태,7,오현택,3
0,0,1,1,0,0,0,1,1,0,0,1 박준태,7,이현호,5
0,0,1,0,0,1,1,0,1,0,0,6 박준태,7,이성민,-1
1,0,0,0,1,0,0,1,0,1,0,7 박준태,7,한현희,1
0,1,0,1,0,0,0,1,0,0,1,7 박준태,7,한현희,1
