1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,2 박찬호,2,진해수,3
0,0,1,0,0,1,1,0,1,0,0,4 박찬호,2,백정현,1
0,1,0,0,0,1,1,0,1,0,0,9 박찬호,2,박진형,5
0,0,1,0,0,1,0,1,1,0,0,9 박찬호,2,김성배,-1
0,0,1,1,0,0,0,1,1,0,0,7 박찬호,2,정우람,2
1,0,0,0,1,0,1,0,0,1,0,9 박찬호,2,차우찬,0
0,1,0,0,1,0,1,0,1,0,0,9 박찬호,2,차우찬,0
0,0,1,0,1,0,1,0,1,0,0,8 박찬호,2,진야곱,-1
0,1,0,0,1,0,1,0,1,0,0,8 박찬호,2,김성배,-1
0,0,1,0,0,1,0,1,1,0,0,8 박찬호,2,홍성민,5
0,0,1,0,0,1,0,1,1,0,0,6 박찬호,2,박시영,5
0,1,0,0,1,0,1,0,1,0,0,9 박찬호,2,원종현,3
0,0,1,0,0,1,0,1,0,0,1,9 박찬호,2,김선규,-1
0,0,1,0,1,0,0,1,0,0,1,9 박찬호,2,민태호,6
0,0,1,0,0,1,0,1,1,0,0,9 박찬호,2,전유수,3
0,0,1,0,1,0,0,1,0,1,0,6 박찬호,2,홍성민,5
0,0,1,0,1,0,1,0,0,1,0,5 박찬호,2,이상화,5
0,0,1,0,1,0,0,1,0,1,0,8 박찬호,2,홍성용,-1
0,0,1,0,0,1,1,0,0,1,0,9 박찬호,2,정우람,2
0,0,1,1,0,0,1,0,1,0,0,3 박찬호,2,정대훈,-1
1,0,0,1,0,0,1,0,1,0,0,9 박찬호,2,플란데,-1
0,1,0,1,0,0,1,0,0,1,0,9 박찬호,2,플란데,-1
0,0,1,0,1,0,1,0,1,0,0,9 박찬호,2,플란데,-1
0,0,1,0,1,0,1,0,1,0,0,5 박찬호,2,고봉재,-1
0,0,1,0,0,1,0,1,1,0,0,5 박찬호,2,이현호,5
0,0,1,0,0,1,1,0,1,0,0,1 박찬호,2,양훈,-1
0,0,1,0,0,1,1,0,1,0,0,8 박찬호,2,정우람,2
1,0,0,1,0,0,1,0,1,0,0,9 박찬호,2,주권,3
0,1,0,0,1,0,0,1,1,0,0,9 박찬호,2,고영표,-1
0,1,0,0,1,0,1,0,1,0,0,9 박찬호,2,엄상백,3
0,0,1,0,1,0,1,0,1,0,0,9 박찬호,2,배우열,6
1,0,0,1,0,0,1,0,1,0,0,9 박찬호,2,라라,-1
0,1,0,1,0,0,1,0,1,0,0,9 박찬호,2,라라,-1
0,0,1,0,0,1,0,1,1,0,0,9 박찬호,2,밴헤켄,-1
1,0,0,1,0,0,0,1,1,0,0,9 박찬호,2,우규민,4
0,1,0,0,0,1,0,1,0,1,0,9 박찬호,2,우규민,4
1,0,0,0,0,1,0,1,0,0,1,9 박찬호,2,이태양,1
0,1,0,0,0,1,1,0,1,0,0,9 박찬호,2,이태양,1
0,1,0,0,0,1,1,0,1,0,0,9 박찬호,2,이태양,1
0,0,1,0,0,1,0,1,1,0,0,9 박찬호,2,윤규진,2
0,1,0,0,0,1,1,0,1,0,0,2 박찬호,2,장민재,3
0,0,1,0,1,0,0,1,1,0,0,2 박찬호,2,박정진,-1
0,0,1,1,0,0,0,1,1,0,0,2 박찬호,2,심수창,2
1,0,0,0,1,0,0,1,1,0,0,9 박찬호,2,밴헤켄,-1
0,1,0,1,0,0,0,1,1,0,0,9 박찬호,2,밴헤켄,-1
0,0,1,1,0,0,0,1,1,0,0,8 박찬호,2,김상수,1
1,0,0,0,1,0,1,0,1,0,0,8 박찬호,2,옥스프링,-1
0,1,0,0,1,0,0,1,1,0,0,8 박찬호,2,옥스프링,-1
0,0,1,1,0,0,1,0,1,0,0,8 박찬호,2,옥스프링,-1
1,0,0,0,1,0,0,1,1,0,0,8 박찬호,2,장원준,0
0,1,0,1,0,0,0,1,1,0,0,8 박찬호,2,장원준,0
0,0,1,0,1,0,0,1,1,0,0,9 박찬호,2,김성배,-1
1,0,0,0,0,1,0,1,1,0,0,8 박찬호,2,윤성환,0
0,1,0,0,1,0,1,0,1,0,0,8 박찬호,2,윤성환,0
0,0,1,1,0,0,0,1,0,1,0,8 박찬호,2,윤성환,0
0,0,1,0,0,1,1,0,1,0,0,8 박찬호,2,윤성환,0
1,0,0,0,1,0,0,1,1,0,0,8 박찬호,2,유희관,4
0,1,0,1,0,0,0,1,1,0,0,8 박찬호,2,유희관,4
0,1,0,0,0,1,1,0,1,0,0,8 박찬호,2,유희관,4
0,0,1,0,0,1,0,1,1,0,0,8 박찬호,2,이현승,2
0,0,1,0,0,1,0,1,0,1,0,6 박찬호,2,권혁,2
0,0,1,0,1,0,1,0,1,0,0,2 박찬호,2,이창재,-1
0,1,0,0,1,0,0,1,0,1,0,9 박찬호,2,박근홍,3
0,0,1,0,1,0,1,0,1,0,0,9 박찬호,2,김현우,-1
0,0,1,0,1,0,1,0,1,0,0,9 박찬호,2,임현준,6
1,0,0,0,0,1,0,1,1,0,0,8 박찬호,2,차우찬,0
1,0,0,1,0,0,0,1,1,0,0,8 박찬호,2,차우찬,0
0,1,0,0,0,1,0,1,1,0,0,8 박찬호,2,차우찬,0
0,0,1,1,0,0,0,1,1,0,0,8 박찬호,2,김기태,-1
