1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,2 서동욱,2,페트릭,-1
1,0,0,0,0,1,1,0,1,0,0,2 서동욱,2,페트릭,-1
0,1,0,0,1,0,0,1,1,0,0,2 서동욱,2,페트릭,-1
0,0,1,0,1,0,0,1,0,0,1,2 서동욱,2,백정현,5
0,0,1,1,0,0,0,1,1,0,0,2 서동욱,2,박근홍,2
1,0,0,0,1,0,0,1,1,0,0,6 서동욱,2,우규민,0
0,1,0,0,1,0,0,1,1,0,0,6 서동욱,2,우규민,0
0,0,1,1,0,0,1,0,0,1,0,6 서동욱,2,우규민,0
0,0,1,1,0,0,0,1,0,1,0,6 서동욱,2,이승현,-1
0,0,1,1,0,0,0,1,0,1,0,6 서동욱,2,심창민,0
1,0,0,0,1,0,1,0,0,0,1,6 서동욱,2,윤성환,5
0,1,0,1,0,0,1,0,1,0,0,6 서동욱,2,윤성환,5
0,1,0,0,1,0,1,0,0,1,0,6 서동욱,2,윤성환,5
0,0,1,1,0,0,0,1,1,0,0,6 서동욱,2,김승현,-1
1,0,0,1,0,0,0,1,1,0,0,6 서동욱,2,박종훈,-1
0,1,0,0,0,1,0,1,1,0,0,6 서동욱,2,박종훈,-1
0,1,0,0,1,0,1,0,1,0,0,6 서동욱,2,채병용,2
0,0,1,0,1,0,0,1,1,0,0,6 서동욱,2,전유수,2
1,0,0,0,1,0,0,1,1,0,0,6 서동욱,2,켈리,-1
0,1,0,1,0,0,1,0,0,0,1,6 서동욱,2,켈리,-1
0,1,0,0,1,0,0,1,1,0,0,6 서동욱,2,켈리,-1
0,0,1,1,0,0,0,1,1,0,0,6 서동욱,2,서진용,-1
1,0,0,0,0,1,0,1,1,0,0,6 서동욱,2,비야누에바,-1
0,1,0,1,0,0,0,1,0,1,0,6 서동욱,2,비야누에바,-1
0,1,0,0,0,1,1,0,1,0,0,6 서동욱,2,심수창,4
1,0,0,1,0,0,0,1,1,0,0,6 서동욱,2,송은범,3
0,1,0,0,0,1,0,1,1,0,0,6 서동욱,2,송은범,3
0,0,1,0,0,1,0,1,1,0,0,6 서동욱,2,송창식,4
0,0,1,0,0,1,0,1,1,0,0,6 서동욱,2,정우람,-1
0,0,1,1,0,0,0,1,1,0,0,3 서동욱,2,홍상삼,-1
0,0,1,0,1,0,0,1,1,0,0,7 서동욱,2,장민익,-1
