1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,0,1,0,7 안치홍,4,비야누에바,-1
0,1,0,1,0,0,1,0,0,1,0,7 안치홍,4,비야누에바,-1
0,0,1,1,0,0,0,1,1,0,0,7 안치홍,4,심수창,2
1,0,0,0,1,0,0,1,0,1,0,7 안치홍,4,송은범,4
0,1,0,1,0,0,0,1,1,0,0,7 안치홍,4,송은범,4
0,0,1,1,0,0,0,1,0,1,0,7 안치홍,4,송창식,2
1,0,0,1,0,0,1,0,1,0,0,6 안치홍,4,이태양,1
0,1,0,0,0,1,0,1,0,1,0,6 안치홍,4,이태양,1
0,1,0,0,1,0,1,0,1,0,0,6 안치홍,4,이태양,1
1,0,0,0,1,0,1,0,1,0,0,6 안치홍,4,장원준,0
0,1,0,1,0,0,0,1,1,0,0,6 안치홍,4,장원준,0
1,0,0,0,1,0,0,1,1,0,0,6 안치홍,4,함덕주,3
0,1,0,1,0,0,0,1,1,0,0,6 안치홍,4,함덕주,3
0,1,0,1,0,0,1,0,0,1,0,6 안치홍,4,김승회,2
0,0,1,1,0,0,1,0,1,0,0,6 안치홍,4,홍상삼,3
0,0,1,1,0,0,0,1,1,0,0,6 안치홍,4,장민익,-1
1,0,0,0,0,1,0,1,0,1,0,3 안치홍,4,니퍼트,4
0,1,0,1,0,0,0,1,0,0,1,3 안치홍,4,니퍼트,4
0,1,0,0,1,0,0,1,1,0,0,3 안치홍,4,니퍼트,4
0,0,1,0,0,1,1,0,1,0,0,3 안치홍,4,니퍼트,4
0,0,1,0,0,1,1,0,0,1,0,3 안치홍,4,이현승,2
1,0,0,0,0,1,0,1,1,0,0,6 안치홍,4,한현희,1
0,1,0,0,0,1,0,1,1,0,0,6 안치홍,4,한현희,1
0,0,1,1,0,0,0,1,1,0,0,6 안치홍,4,한현희,1
1,0,0,0,1,0,1,0,1,0,0,6 안치홍,4,최원태,3
1,0,0,1,0,0,1,0,1,0,0,6 안치홍,4,최원태,3
0,1,0,1,0,0,0,1,1,0,0,6 안치홍,4,최원태,3
0,0,1,0,1,0,1,0,0,1,0,6 안치홍,4,금민철,2
1,0,0,0,0,1,1,0,1,0,0,5 안치홍,4,신재영,3
0,1,0,0,1,0,0,1,1,0,0,5 안치홍,4,신재영,3
0,1,0,0,1,0,0,1,0,1,0,5 안치홍,4,신재영,3
0,0,1,0,0,1,1,0,0,1,0,5 안치홍,4,김상수,1
1,0,0,0,0,1,0,1,1,0,0,6 안치홍,4,고영표,-1
0,1,0,0,0,1,0,1,1,0,0,6 안치홍,4,고영표,-1
0,1,0,1,0,0,1,0,1,0,0,6 안치홍,4,고영표,-1
0,0,1,0,0,1,0,1,1,0,0,6 안치홍,4,엄상백,3
1,0,0,0,0,1,0,1,1,0,0,6 안치홍,4,로치,-1
1,0,0,0,0,1,1,0,1,0,0,6 안치홍,4,로치,-1
0,1,0,0,0,1,1,0,1,0,0,6 안치홍,4,로치,-1
0,0,1,0,1,0,0,1,0,0,1,6 안치홍,4,조무근,5
1,0,0,1,0,0,0,1,0,1,0,6 안치홍,4,정대현,-1
1,0,0,0,1,0,1,0,1,0,0,6 안치홍,4,정대현,-1
0,1,0,0,0,1,1,0,1,0,0,6 안치홍,4,정대현,-1
0,0,1,0,0,1,0,1,0,1,0,6 안치홍,4,주권,3
1,0,0,0,1,0,1,0,0,0,1,3 안치홍,4,임찬규,1
1,0,0,0,1,0,0,1,1,0,0,3 안치홍,4,임찬규,1
0,1,0,0,1,0,0,1,0,1,0,3 안치홍,4,윤지웅,5
0,0,1,0,1,0,1,0,1,0,0,3 안치홍,4,김지용,5
1,0,0,1,0,0,1,0,0,0,1,6 안치홍,4,차우찬,0
0,1,0,0,1,0,0,1,1,0,0,6 안치홍,4,차우찬,0
0,1,0,0,1,0,0,1,1,0,0,6 안치홍,4,차우찬,0
0,0,1,1,0,0,1,0,1,0,0,6 안치홍,4,신승현,-1
1,0,0,0,0,1,0,1,0,1,0,3 안치홍,4,소사,-1
1,0,0,0,0,1,0,1,1,0,0,3 안치홍,4,소사,-1
0,1,0,0,1,0,1,0,1,0,0,3 안치홍,4,소사,-1
0,0,1,0,1,0,0,1,0,1,0,3 안치홍,4,윤지웅,5
1,0,0,1,0,0,0,1,1,0,0,6 안치홍,4,최지광,6
1,0,0,0,0,1,0,1,1,0,0,6 안치홍,4,최지광,6
0,1,0,1,0,0,0,1,1,0,0,6 안치홍,4,김승현,6
0,0,1,0,1,0,1,0,0,1,0,6 안치홍,4,김시현,-1
0,0,1,0,0,1,0,1,1,0,0,6 안치홍,4,김현우,-1
1,0,0,0,1,0,1,0,1,0,0,6 안치홍,4,윤성환,0
0,1,0,0,1,0,0,1,0,1,0,6 안치홍,4,윤성환,0
0,1,0,0,0,1,1,0,0,0,1,6 안치홍,4,윤성환,0
0,0,1,1,0,0,0,1,0,1,0,6 안치홍,4,김현우,-1
1,0,0,1,0,0,1,0,0,1,0,7 안치홍,4,최충연,5
1,0,0,0,0,1,1,0,1,0,0,7 안치홍,4,최충연,5
0,1,0,0,0,1,0,1,0,1,0,7 안치홍,4,최충연,5
0,1,0,1,0,0,0,1,0,1,0,7 안치홍,4,권오준,1
0,0,1,0,0,1,0,1,1,0,0,7 안치홍,4,김현우,-1
1,0,0,0,0,1,1,0,0,1,0,7 안치홍,4,장현식,3
1,0,0,0,1,0,1,0,1,0,0,7 안치홍,4,이민호,1
0,1,0,0,1,0,0,1,0,1,0,7 안치홍,4,윤수호,6
0,0,1,0,1,0,0,1,1,0,0,7 안치홍,4,이형범,6
1,0,0,0,0,1,0,1,1,0,0,7 안치홍,4,해커,2
0,1,0,0,1,0,1,0,1,0,0,7 안치홍,4,해커,2
0,0,1,1,0,0,1,0,0,1,0,7 안치홍,4,해커,2
0,0,1,0,1,0,0,1,1,0,0,7 안치홍,4,원종현,3
0,0,1,1,0,0,0,1,1,0,0,7 안치홍,4,임창민,3
1,0,0,0,1,0,0,1,0,1,0,2 안치홍,4,맨쉽,6
1,0,0,0,1,0,1,0,1,0,0,2 안치홍,4,맨쉽,6
0,1,0,0,1,0,0,1,1,0,0,2 안치홍,4,맨쉽,6
1,0,0,0,1,0,0,1,1,0,0,2 안치홍,4,한현희,1
1,0,0,0,1,0,1,0,1,0,0,2 안치홍,4,한현희,1
0,1,0,0,1,0,1,0,0,0,1,2 안치홍,4,한현희,1
0,1,0,1,0,0,0,1,1,0,0,2 안치홍,4,박정준,-1
1,0,0,0,1,0,0,1,1,0,0,5 안치홍,4,신재영,3
0,1,0,0,0,1,1,0,1,0,0,5 안치홍,4,신재영,3
0,0,1,1,0,0,0,1,1,0,0,5 안치홍,4,신재영,3
1,0,0,1,0,0,0,1,1,0,0,1 안치홍,4,레일리,2
1,0,0,0,1,0,1,0,0,1,0,1 안치홍,4,레일리,2
0,1,0,1,0,0,0,1,1,0,0,1 안치홍,4,레일리,2
0,0,1,0,1,0,0,1,0,1,0,1 안치홍,4,박시영,5
1,0,0,0,1,0,1,0,0,0,1,3 안치홍,4,김원중,3
1,0,0,0,0,1,0,1,1,0,0,3 안치홍,4,김원중,3
0,1,0,1,0,0,0,1,1,0,0,3 안치홍,4,배장호,3
0,1,0,1,0,0,1,0,1,0,0,3 안치홍,4,김유영,-1
0,0,1,0,1,0,1,0,1,0,0,3 안치홍,4,김유영,-1
1,0,0,0,0,1,0,1,1,0,0,3 안치홍,4,박진형,5
0,1,0,1,0,0,0,1,1,0,0,3 안치홍,4,박진형,5
0,1,0,0,0,1,0,1,1,0,0,3 안치홍,4,박진형,5
0,0,1,1,0,0,0,1,1,0,0,3 안치홍,4,장시환,3
1,0,0,1,0,0,0,1,0,0,1,7 안치홍,4,정대현,-1
1,0,0,1,0,0,1,0,0,1,0,7 안치홍,4,정대현,-1
0,1,0,0,1,0,0,1,1,0,0,7 안치홍,4,정대현,-1
0,1,0,0,0,1,0,1,1,0,0,7 안치홍,4,배제성,6
1,0,0,0,0,1,1,0,1,0,0,7 안치홍,4,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,7 안치홍,4,피어밴드,1
0,0,1,1,0,0,0,1,1,0,0,7 안치홍,4,피어밴드,1
1,0,0,0,0,1,1,0,1,0,0,7 안치홍,4,주권,3
0,1,0,1,0,0,0,1,1,0,0,7 안치홍,4,주권,3
0,0,1,0,0,1,0,1,1,0,0,7 안치홍,4,엄상백,3
1,0,0,0,1,0,0,1,0,1,0,7 안치홍,4,켈리,6
0,1,0,0,1,0,1,0,1,0,0,7 안치홍,4,켈리,6
0,1,0,0,0,1,1,0,1,0,0,7 안치홍,4,켈리,6
1,0,0,0,0,1,0,1,1,0,0,3 안치홍,4,윤희상,2
0,1,0,0,1,0,1,0,1,0,0,3 안치홍,4,윤희상,2
0,0,1,1,0,0,0,1,0,1,0,3 안치홍,4,윤희상,2
0,0,1,0,1,0,0,1,0,1,0,3 안치홍,4,서진용,5
0,0,1,0,1,0,0,1,0,1,0,3 안치홍,4,채병용,4
1,0,0,0,0,1,0,1,0,0,1,6 안치홍,4,김태훈,5
0,1,0,0,0,1,0,1,0,0,1,6 안치홍,4,김태훈,5
0,1,0,1,0,0,0,1,1,0,0,6 안치홍,4,문광은,5
0,0,1,0,0,1,1,0,1,0,0,6 안치홍,4,김주한,5
1,0,0,0,0,1,0,1,1,0,0,6 안치홍,4,차우찬,0
0,1,0,1,0,0,0,1,0,1,0,6 안치홍,4,차우찬,0
0,1,0,0,1,0,0,1,1,0,0,6 안치홍,4,차우찬,0
0,0,1,0,0,1,1,0,1,0,0,6 안치홍,4,김지용,5
0,0,1,1,0,0,0,1,0,1,0,6 안치홍,4,신정락,3
1,0,0,0,1,0,1,0,0,1,0,6 안치홍,4,소사,-1
0,1,0,1,0,0,0,1,1,0,0,6 안치홍,4,소사,-1
0,1,0,0,1,0,1,0,1,0,0,6 안치홍,4,소사,-1
0,0,1,0,1,0,0,1,0,1,0,6 안치홍,4,윤지웅,5
1,0,0,1,0,0,0,1,1,0,0,6 안치홍,4,김대현,5
1,0,0,0,0,1,1,0,0,1,0,6 안치홍,4,김대현,5
0,1,0,0,1,0,0,1,1,0,0,6 안치홍,4,김대현,5
0,1,0,0,0,1,0,1,1,0,0,6 안치홍,4,유재유,-1
1,0,0,0,1,0,1,0,0,1,0,6 안치홍,4,박치국,6
0,1,0,0,0,1,0,1,0,1,0,6 안치홍,4,박치국,6
0,1,0,1,0,0,0,1,0,1,0,6 안치홍,4,김강률,3
0,0,1,1,0,0,1,0,0,0,1,6 안치홍,4,김성배,-1
1,0,0,0,0,1,0,1,1,0,0,3 안치홍,4,유희관,4
0,1,0,1,0,0,0,1,1,0,0,3 안치홍,4,유희관,4
0,1,0,0,1,0,0,1,0,1,0,3 안치홍,4,유희관,4
0,0,1,0,0,1,0,1,1,0,0,3 안치홍,4,유희관,4
1,0,0,0,0,1,1,0,1,0,0,5 안치홍,4,니퍼트,4
0,1,0,0,1,0,0,1,1,0,0,5 안치홍,4,니퍼트,4
0,1,0,0,0,1,0,1,0,1,0,5 안치홍,4,니퍼트,4
0,0,1,1,0,0,0,1,0,0,1,5 안치홍,4,김승회,2
0,0,1,0,0,1,0,1,0,1,0,5 안치홍,4,이용찬,1
1,0,0,0,0,1,0,1,1,0,0,5 안치홍,4,배영수,0
1,0,0,0,1,0,1,0,1,0,0,5 안치홍,4,배영수,0
0,1,0,0,0,1,0,1,0,0,1,5 안치홍,4,김범수,5
0,1,0,1,0,0,0,1,0,0,1,5 안치홍,4,김범수,5
0,0,1,0,0,1,0,1,0,1,0,5 안치홍,4,이동걸,-1
1,0,0,0,0,1,0,1,0,1,0,5 안치홍,4,이태양,1
1,0,0,0,1,0,1,0,1,0,0,5 안치홍,4,이태양,1
0,1,0,0,1,0,0,1,0,1,0,5 안치홍,4,장민재,3
0,1,0,0,1,0,1,0,1,0,0,5 안치홍,4,장민재,3
0,0,1,0,1,0,1,0,0,1,0,5 안치홍,4,정재원,5
1,0,0,0,1,0,1,0,1,0,0,5 안치홍,4,오간도,-1
1,0,0,0,1,0,1,0,0,0,1,5 안치홍,4,오간도,-1
0,1,0,0,1,0,1,0,1,0,0,5 안치홍,4,오간도,-1
0,0,1,1,0,0,1,0,0,1,0,5 안치홍,4,권혁,2
0,0,1,0,0,1,0,1,0,0,1,5 안치홍,4,박정진,-1
1,0,0,0,1,0,0,1,1,0,0,5 안치홍,4,애디튼,-1
0,1,0,1,0,0,0,1,0,0,1,5 안치홍,4,애디튼,-1
0,0,1,0,1,0,0,1,1,0,0,5 안치홍,4,애디튼,-1
1,0,0,0,1,0,0,1,0,0,1,5 안치홍,4,박진형,5
1,0,0,1,0,0,0,1,1,0,0,5 안치홍,4,박진형,5
1,0,0,0,0,1,1,0,1,0,0,5 안치홍,4,박진형,5
0,1,0,0,0,1,0,1,0,0,1,5 안치홍,4,강동호,-1
0,1,0,0,1,0,0,1,1,0,0,5 안치홍,4,강동호,-1
1,0,0,0,1,0,0,1,1,0,0,5 안치홍,4,송승준,0
0,1,0,0,1,0,1,0,0,1,0,5 안치홍,4,송승준,0
0,1,0,1,0,0,0,1,1,0,0,5 안치홍,4,배장호,3
0,0,1,0,1,0,0,1,1,0,0,5 안치홍,4,장시환,3
0,0,1,1,0,0,1,0,0,1,0,5 안치홍,4,장시환,3
0,0,1,1,0,0,1,0,0,1,0,5 안치홍,4,윤길현,2
1,0,0,0,1,0,0,1,1,0,0,5 안치홍,4,최금강,-1
1,0,0,0,0,1,0,1,1,0,0,5 안치홍,4,최금강,-1
0,1,0,0,0,1,1,0,1,0,0,5 안치홍,4,이민호,1
0,0,1,0,1,0,0,1,1,0,0,5 안치홍,4,김진성,3
0,0,1,1,0,0,0,1,1,0,0,5 안치홍,4,원종현,3
1,0,0,1,0,0,0,1,0,1,0,5 안치홍,4,정수민,5
