1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,6 유민상,2,맨쉽,1
0,1,0,0,1,0,0,1,0,1,0,6 유민상,2,맨쉽,1
0,1,0,0,1,0,1,0,1,0,0,6 유민상,2,맨쉽,1
0,0,1,0,1,0,0,1,1,0,0,6 유민상,2,김진성,2
0,0,1,1,0,0,0,1,1,0,0,6 유민상,2,윤수호,0
0,0,1,0,1,0,0,1,0,1,0,7 유민상,2,구창모,2
1,0,0,0,1,0,0,1,1,0,0,2 유민상,2,차우찬,2
1,0,0,0,0,1,0,1,0,1,0,2 유민상,2,차우찬,2
0,1,0,1,0,0,0,1,1,0,0,2 유민상,2,차우찬,2
0,0,1,0,0,1,0,1,1,0,0,2 유민상,2,차우찬,2
1,0,0,0,1,0,0,1,1,0,0,2 유민상,2,소사,-1
1,0,0,1,0,0,1,0,1,0,0,2 유민상,2,소사,-1
0,1,0,1,0,0,0,1,1,0,0,2 유민상,2,신승현,-1
1,0,0,0,1,0,0,1,1,0,0,2 유민상,2,김대현,3
0,1,0,0,1,0,0,1,1,0,0,2 유민상,2,김대현,3
1,0,0,0,1,0,0,1,0,1,0,2 유민상,2,한현희,2
1,0,0,0,1,0,0,1,1,0,0,2 유민상,2,한현희,2
0,1,0,0,1,0,0,1,1,0,0,2 유민상,2,한현희,2
0,0,1,1,0,0,0,1,1,0,0,2 유민상,2,한현희,2
1,0,0,0,0,1,0,1,0,0,1,6 유민상,2,최원태,1
1,0,0,0,1,0,1,0,1,0,0,6 유민상,2,최원태,1
0,1,0,0,1,0,0,1,0,0,1,6 유민상,2,김홍빈,-1
0,0,1,0,1,0,1,0,1,0,0,9 유민상,2,김시현,-1
0,0,1,0,0,1,0,1,1,0,0,7 유민상,2,심창민,-1
0,0,1,0,1,0,0,1,0,0,1,4 유민상,2,이승현,2
1,0,0,0,1,0,1,0,1,0,0,8 유민상,2,니퍼트,1
0,1,0,1,0,0,1,0,0,1,0,8 유민상,2,니퍼트,1
0,1,0,1,0,0,0,1,1,0,0,8 유민상,2,니퍼트,1
0,0,1,0,1,0,1,0,1,0,0,8 유민상,2,김강률,2
0,0,1,1,0,0,0,1,0,1,0,5 유민상,2,김찬호,-1
0,0,1,0,1,0,0,1,1,0,0,6 유민상,2,김주한,2
0,0,1,0,1,0,0,1,1,0,0,6 유민상,2,문광은,3
0,0,1,0,0,1,0,1,1,0,0,7 유민상,2,노경은,-1
1,0,0,1,0,0,0,1,1,0,0,5 유민상,2,송은범,2
0,1,0,0,1,0,1,0,1,0,0,5 유민상,2,송은범,2
0,0,1,0,1,0,0,1,0,1,0,5 유민상,2,송은범,2
0,0,1,0,1,0,0,1,0,1,0,5 유민상,2,장민재,0
0,0,1,0,1,0,1,0,0,0,1,4 유민상,2,장민재,0
1,0,0,0,1,0,0,1,1,0,0,2 유민상,2,이태양,0
1,0,0,0,1,0,0,1,0,1,0,2 유민상,2,심수창,0
0,1,0,0,1,0,1,0,1,0,0,2 유민상,2,심수창,0
0,1,0,0,0,1,0,1,1,0,0,2 유민상,2,김용주,3
1,0,0,0,0,1,0,1,1,0,0,6 유민상,2,보우덴,-1
0,1,0,0,1,0,0,1,1,0,0,6 유민상,2,보우덴,-1
0,0,1,0,1,0,1,0,0,1,0,3 유민상,2,진야곱,-1
0,0,1,1,0,0,0,1,0,1,0,9 유민상,2,김상수,0
0,1,0,0,1,0,1,0,0,1,0,8 유민상,2,김정훈,-1
1,0,0,0,0,1,0,1,0,1,0,5 유민상,2,린드블럼,1
0,1,0,1,0,0,0,1,0,0,1,5 유민상,2,린드블럼,1
0,1,0,1,0,0,1,0,1,0,0,5 유민상,2,린드블럼,1
0,0,1,1,0,0,0,1,0,0,1,5 유민상,2,강영식,-1
0,0,1,0,0,1,0,1,1,0,0,5 유민상,2,손승락,1
0,0,1,0,1,0,0,1,1,0,0,6 유민상,2,손승락,1
1,0,0,0,1,0,0,1,1,0,0,5 유민상,2,박세웅,2
0,1,0,1,0,0,1,0,1,0,0,5 유민상,2,박세웅,2
0,1,0,0,1,0,0,1,1,0,0,5 유민상,2,박세웅,2
0,0,1,0,1,0,0,1,0,1,0,5 유민상,2,이정민,-1
1,0,0,0,1,0,0,1,1,0,0,2 유민상,2,소사,-1
1,0,0,0,0,1,1,0,1,0,0,2 유민상,2,소사,-1
0,1,0,1,0,0,0,1,1,0,0,2 유민상,2,소사,-1
0,0,1,0,1,0,1,0,1,0,0,2 유민상,2,윤지웅,2
0,0,1,1,0,0,0,1,0,1,0,2 유민상,2,진해수,0
1,0,0,0,0,1,0,1,0,1,0,5 유민상,2,우규민,1
1,0,0,0,0,1,0,1,1,0,0,5 유민상,2,우규민,1
0,1,0,1,0,0,0,1,1,0,0,5 유민상,2,우규민,1
0,0,1,0,0,1,0,1,0,0,1,5 유민상,2,최동환,0
1,0,0,1,0,0,1,0,0,0,1,2 유민상,2,이준형,0
1,0,0,1,0,0,1,0,1,0,0,2 유민상,2,정현욱,-1
1,0,0,1,0,0,1,0,1,0,0,2 유민상,2,정현욱,-1
0,1,0,0,0,1,1,0,0,0,1,2 유민상,2,진해수,0
0,0,1,1,0,0,1,0,1,0,0,2 유민상,2,이승현,2
0,0,1,0,0,1,1,0,1,0,0,5 유민상,2,윤명준,2
1,0,0,0,0,1,0,1,1,0,0,7 유민상,2,유희관,2
0,1,0,0,1,0,0,1,1,0,0,7 유민상,2,유희관,2
0,1,0,1,0,0,0,1,1,0,0,7 유민상,2,유희관,2
1,0,0,1,0,0,0,1,1,0,0,6 유민상,2,니퍼트,1
0,1,0,1,0,0,0,1,0,1,0,6 유민상,2,니퍼트,1
0,1,0,0,1,0,0,1,1,0,0,6 유민상,2,니퍼트,1
0,0,1,1,0,0,0,1,0,0,1,6 유민상,2,정재훈,-1
1,0,0,0,1,0,1,0,1,0,0,3 유민상,2,신재영,2
0,1,0,1,0,0,0,1,0,1,0,3 유민상,2,신재영,2
0,1,0,0,0,1,1,0,0,1,0,3 유민상,2,신재영,2
0,0,1,0,1,0,1,0,1,0,0,3 유민상,2,김상수,0
0,0,1,0,0,1,1,0,1,0,0,3 유민상,2,김세현,2
0,0,1,1,0,0,0,1,0,1,0,3 유민상,2,김택형,3
0,0,1,0,1,0,0,1,1,0,0,7 유민상,2,김상수,0
1,0,0,0,1,0,0,1,0,0,1,2 유민상,2,코엘로,-1
0,1,0,1,0,0,0,1,1,0,0,2 유민상,2,코엘로,-1
0,1,0,0,0,1,0,1,0,0,1,2 유민상,2,코엘로,-1
0,0,1,1,0,0,0,1,1,0,0,2 유민상,2,김상수,0
1,0,0,0,1,0,0,1,0,1,0,7 유민상,2,장민재,0
1,0,0,0,1,0,1,0,0,0,1,7 유민상,2,박정진,-1
0,1,0,0,1,0,0,1,1,0,0,7 유민상,2,송창식,0
1,0,0,1,0,0,1,0,1,0,0,7 유민상,2,송은범,2
1,0,0,0,0,1,0,1,0,0,1,7 유민상,2,송은범,2
0,1,0,0,1,0,1,0,1,0,0,7 유민상,2,심수창,0
1,0,0,0,0,1,0,1,1,0,0,8 유민상,2,이태양,0
0,0,1,1,0,0,0,1,0,1,0,9 유민상,2,임창민,1
1,0,0,1,0,0,1,0,0,0,1,2 유민상,2,정수민,3
1,0,0,1,0,0,0,1,1,0,0,2 유민상,2,장현식,2
0,1,0,0,0,1,0,1,1,0,0,2 유민상,2,장현식,2
0,0,1,1,0,0,0,1,1,0,0,9 유민상,2,고원준,-1
0,0,1,1,0,0,0,1,1,0,0,8 유민상,2,심창민,-1
0,0,1,1,0,0,0,1,1,0,0,8 유민상,2,임대한,-1
0,0,1,1,0,0,0,1,1,0,0,9 유민상,2,안지만,-1
0,0,1,0,0,1,0,1,1,0,0,2 유민상,2,전유수,0
0,0,1,1,0,0,0,1,0,1,0,7 유민상,2,김태훈,2
0,0,1,1,0,0,1,0,1,0,0,9 유민상,2,최영필,-1
0,1,0,0,0,1,0,1,1,0,0,8 유민상,2,이보근,2
0,0,1,0,0,1,0,1,0,1,0,6 유민상,2,이보근,2
0,0,1,1,0,0,0,1,1,0,0,6 유민상,2,김세현,2
1,0,0,0,0,1,0,1,0,1,0,7 유민상,2,맥그레거,-1
0,1,0,0,1,0,0,1,0,1,0,7 유민상,2,맥그레거,-1
0,1,0,0,0,1,0,1,0,1,0,7 유민상,2,맥그레거,-1
0,0,1,0,1,0,0,1,0,1,0,7 유민상,2,오주원,2
1,0,0,1,0,0,0,1,1,0,0,7 유민상,2,카스티요,-1
1,0,0,0,0,1,0,1,0,0,1,7 유민상,2,카스티요,-1
0,1,0,0,0,1,1,0,1,0,0,7 유민상,2,송창식,0
0,1,0,0,0,1,1,0,1,0,0,7 유민상,2,박정진,-1
0,0,1,1,0,0,0,1,1,0,0,7 유민상,2,심수창,0
1,0,0,0,1,0,0,1,1,0,0,6 유민상,2,송은범,2
0,1,0,1,0,0,0,1,1,0,0,6 유민상,2,송창식,0
0,0,1,0,0,1,0,1,1,0,0,6 유민상,2,송창식,0
0,0,1,1,0,0,0,1,1,0,0,6 유민상,2,장필준,1
0,0,1,1,0,0,0,1,1,0,0,4 유민상,2,임대한,-1
1,0,0,1,0,0,0,1,1,0,0,6 유민상,2,윤성환,1
0,1,0,0,1,0,0,1,0,1,0,6 유민상,2,윤성환,1
0,1,0,1,0,0,1,0,1,0,0,6 유민상,2,윤성환,1
1,0,0,0,1,0,0,1,1,0,0,7 유민상,2,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,7 유민상,2,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,7 유민상,2,최영필,-1
0,0,1,0,1,0,1,0,0,1,0,7 유민상,2,한기주,1
1,0,0,1,0,0,0,1,0,1,0,7 유민상,2,지크,-1
