1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,9 유재신,7,최지광,6
0,1,0,0,0,1,0,1,1,0,0,9 유재신,7,최지광,6
0,1,0,0,0,1,0,1,1,0,0,9 유재신,7,김승현,6
0,0,1,0,1,0,0,1,1,0,0,9 유재신,7,장필준,5
0,0,1,0,1,0,0,1,0,1,0,6 유재신,7,김성배,-1
1,0,0,0,1,0,1,0,0,1,0,9 유재신,7,함덕주,3
1,0,0,0,0,1,1,0,1,0,0,9 유재신,7,이영하,5
0,0,1,0,0,1,0,1,0,1,0,6 유재신,7,김대유,-1
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,임창용,-1
0,0,1,0,0,1,0,1,1,0,0,6 유재신,7,한승혁,3
0,0,1,1,0,0,0,1,1,0,0,1 유재신,7,최성영,6
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,최성영,6
0,0,1,1,0,0,1,0,1,0,0,5 유재신,7,강승현,-1
0,0,1,0,0,1,1,0,1,0,0,6 유재신,7,권오준,1
0,0,1,0,0,1,1,0,1,0,0,6 유재신,7,김대우,3
0,0,1,0,0,1,0,1,0,0,1,7 유재신,7,임준혁,-1
0,0,1,0,0,1,0,1,0,1,0,7 유재신,7,정영일,6
0,0,1,0,0,1,1,0,1,0,0,1 유재신,7,윤수호,6
0,0,1,1,0,0,1,0,1,0,0,9 유재신,7,박상원,6
0,0,1,0,0,1,1,0,1,0,0,4 유재신,7,조무근,5
1,0,0,0,0,1,0,1,0,1,0,9 유재신,7,레일리,2
0,1,0,0,0,1,0,1,1,0,0,9 유재신,7,레일리,2
0,1,0,0,0,1,0,1,1,0,0,2 유재신,7,김성배,-1
0,0,1,1,0,0,1,0,1,0,0,2 유재신,7,김강률,3
0,0,1,0,1,0,0,1,1,0,0,2 유재신,7,정재훈,-1
1,0,0,0,1,0,0,1,1,0,0,2 유재신,7,장원준,0
0,1,0,1,0,0,0,1,1,0,0,2 유재신,7,장원준,0
0,1,0,1,0,0,0,1,1,0,0,2 유재신,7,장원준,0
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,박민호,6
0,0,1,0,0,1,0,1,1,0,0,3 유재신,7,임정우,3
0,0,1,0,1,0,0,1,1,0,0,9 유재신,7,최금강,-1
1,0,0,1,0,0,0,1,1,0,0,9 유재신,7,세든,-1
0,1,0,0,0,1,0,1,0,0,1,9 유재신,7,세든,-1
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,세든,-1
1,0,0,0,0,1,0,1,1,0,0,9 유재신,7,김광현,0
0,1,0,0,0,1,0,1,0,0,1,9 유재신,7,김광현,0
0,0,1,1,0,0,0,1,0,1,0,9 유재신,7,채병용,4
1,0,0,0,0,1,0,1,1,0,0,9 유재신,7,켈리,6
0,1,0,0,1,0,1,0,0,1,0,9 유재신,7,켈리,6
0,1,0,0,0,1,1,0,0,0,1,9 유재신,7,정영일,6
0,0,1,0,0,1,1,0,1,0,0,9 유재신,7,전유수,3
0,0,1,0,1,0,0,1,1,0,0,9 유재신,7,임대한,-1
1,0,0,0,1,0,0,1,1,0,0,8 유재신,7,장원삼,0
0,1,0,1,0,0,0,1,1,0,0,8 유재신,7,장원삼,0
0,0,1,0,1,0,0,1,1,0,0,4 유재신,7,정용운,6
0,0,1,0,0,1,0,1,0,0,1,4 유재신,7,박준표,5
1,0,0,0,0,1,1,0,1,0,0,9 유재신,7,양현종,0
0,1,0,0,1,0,0,1,1,0,0,9 유재신,7,양현종,0
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,양현종,0
0,0,1,1,0,0,0,1,1,0,0,3 유재신,7,홍건희,3
0,0,1,0,0,1,0,1,1,0,0,6 유재신,7,박시영,5
0,0,1,0,1,0,0,1,1,0,0,1 유재신,7,홍영현,-1
0,0,1,0,0,1,0,1,1,0,0,9 유재신,7,주권,3
1,0,0,1,0,0,0,1,0,0,1,9 유재신,7,정대현,-1
0,1,0,0,0,1,0,1,1,0,0,9 유재신,7,정대현,-1
0,0,1,0,0,1,0,1,1,0,0,9 유재신,7,정대현,-1
0,0,1,0,0,1,1,0,1,0,0,9 유재신,7,조무근,5
0,0,1,1,0,0,1,0,1,0,0,2 유재신,7,박준표,5
0,0,1,0,0,1,0,1,0,0,1,2 유재신,7,한기주,3
0,0,1,1,0,0,0,1,1,0,0,6 유재신,7,김광수,-1
0,0,1,0,0,1,0,1,0,1,0,3 유재신,7,최성영,6
0,0,1,0,1,0,0,1,0,1,0,4 유재신,7,심재민,-1
0,0,1,0,1,0,0,1,0,1,0,7 유재신,7,최원재,-1
0,0,1,0,0,1,1,0,0,1,0,3 유재신,7,홍성민,5
0,0,1,0,1,0,0,1,0,0,1,2 유재신,7,이동걸,-1
0,0,1,0,0,1,0,1,1,0,0,2 유재신,7,이재우,-1
0,0,1,1,0,0,0,1,1,0,0,7 유재신,7,정대훈,-1
0,0,1,0,1,0,1,0,0,1,0,7 유재신,7,권오준,1
0,0,1,1,0,0,1,0,1,0,0,7 유재신,7,윤성환,0
0,0,1,1,0,0,1,0,0,1,0,8 유재신,7,이동현,2
0,0,1,0,0,1,0,1,0,1,0,8 유재신,7,임정우,3
1,0,0,1,0,0,0,1,1,0,0,9 유재신,7,류제국,1
0,1,0,1,0,0,0,1,0,1,0,9 유재신,7,류제국,1
0,0,1,1,0,0,0,1,1,0,0,1 유재신,7,장민재,3
0,0,1,1,0,0,0,1,1,0,0,8 유재신,7,이준영,-1
0,0,1,0,1,0,1,0,0,1,0,8 유재신,7,최영필,-1
0,0,1,0,0,1,1,0,0,0,1,4 유재신,7,임창용,-1
0,0,1,1,0,0,0,1,0,1,0,4 유재신,7,한기주,3
0,0,1,1,0,0,0,1,1,0,0,5 유재신,7,김재윤,5
0,0,1,0,1,0,1,0,0,1,0,4 유재신,7,채선관,-1
0,0,1,0,1,0,1,0,1,0,0,7 유재신,7,김지용,5
0,0,1,0,0,1,1,0,1,0,0,5 유재신,7,박희수,3
0,0,1,1,0,0,0,1,0,0,1,5 유재신,7,조승수,-1
0,0,1,0,0,1,1,0,1,0,0,7 유재신,7,임창용,-1
0,1,0,0,1,0,0,1,1,0,0,8 유재신,7,고효준,2
0,0,1,0,0,1,1,0,1,0,0,8 유재신,7,고효준,2
1,0,0,0,1,0,1,0,1,0,0,2 유재신,7,린드블럼,1
0,0,1,0,1,0,1,0,1,0,0,5 유재신,7,김진성,3
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,김윤동,5
0,0,1,1,0,0,1,0,1,0,0,5 유재신,7,심재민,-1
0,0,1,1,0,0,0,1,0,1,0,3 유재신,7,김성재,-1
0,0,1,0,0,1,1,0,0,0,1,9 유재신,7,임창민,3
1,0,0,0,1,0,0,1,1,0,0,9 유재신,7,레일리,2
0,1,0,0,0,1,0,1,0,1,0,9 유재신,7,레일리,2
0,0,1,1,0,0,0,1,1,0,0,9 유재신,7,송창식,2
0,1,0,1,0,0,0,1,1,0,0,6 유재신,7,최동환,5
0,0,1,0,1,0,0,1,1,0,0,4 유재신,7,권오준,1
0,0,1,0,1,0,0,1,0,1,0,4 유재신,7,박성호,-1
1,0,0,1,0,0,1,0,1,0,0,2 유재신,7,정성곤,3
1,0,0,1,0,0,0,1,0,1,0,2 유재신,7,정성곤,3
1,0,0,0,0,1,1,0,0,1,0,2 유재신,7,고영표,-1
0,1,0,0,0,1,1,0,1,0,0,2 유재신,7,고영표,-1
0,0,1,0,0,1,0,1,1,0,0,2 유재신,7,김사율,-1
1,0,0,1,0,0,1,0,0,0,1,2 유재신,7,김민수,-1
1,0,0,0,0,1,0,1,1,0,0,2 유재신,7,김민수,-1
0,0,1,0,0,1,1,0,0,1,0,3 유재신,7,정재훈,-1
1,0,0,1,0,0,0,1,1,0,0,1 유재신,7,유먼,-1
1,0,0,0,0,1,1,0,1,0,0,1 유재신,7,유먼,-1
0,1,0,1,0,0,0,1,1,0,0,1 유재신,7,유먼,-1
0,0,1,0,0,1,0,1,1,0,0,2 유재신,7,강영식,-1
0,0,1,0,1,0,1,0,1,0,0,6 유재신,7,윤석민,4
0,0,1,0,0,1,0,1,0,1,0,6 유재신,7,김광수,-1
0,0,1,0,0,1,1,0,0,1,0,2 유재신,7,임정우,3
1,0,0,1,0,0,1,0,1,0,0,2 유재신,7,세든,-1
1,0,0,0,0,1,0,1,1,0,0,2 유재신,7,세든,-1
0,1,0,0,0,1,0,1,1,0,0,2 유재신,7,세든,-1
0,0,1,1,0,0,0,1,0,0,1,2 유재신,7,문광은,5
0,0,1,1,0,0,1,0,0,1,0,2 유재신,7,이재영,-1
0,0,1,0,0,1,0,1,1,0,0,5 유재신,7,이현호,5
0,0,1,0,0,1,0,1,1,0,0,3 유재신,7,조현근,-1
0,0,1,1,0,0,1,0,1,0,0,4 유재신,7,심재민,-1
0,0,1,0,0,1,1,0,1,0,0,3 유재신,7,최원재,-1
0,0,1,0,0,1,0,1,1,0,0,6 유재신,7,임정우,3
0,0,1,1,0,0,0,1,0,0,1,3 유재신,7,고효준,2
0,0,1,0,0,1,1,0,1,0,0,4 유재신,7,채병용,4
0,0,1,0,1,0,1,0,1,0,0,4 유재신,7,고효준,2
0,0,1,0,0,1,1,0,1,0,0,2 유재신,7,고창성,-1
0,0,1,1,0,0,1,0,1,0,0,3 유재신,7,유창식,-1
