3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6 이범호,9,페트릭,-1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,6 이범호,9,페트릭,-1
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6 이범호,9,페트릭,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,3 이범호,9,심창민,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6 이범호,9,소사,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6 이범호,9,소사,1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 이범호,9,정찬헌,3
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 이범호,9,김지용,-1
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,5 이범호,9,최지광,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,5 이범호,9,최지광,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,5 이범호,9,김승현,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5 이범호,9,김시현,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5 이범호,9,윤성환,5
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5 이범호,9,윤성환,5
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,5 이범호,9,윤성환,5
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,5 이범호,9,박근홍,2
0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,6 이범호,9,최충연,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6 이범호,9,최충연,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,6 이범호,9,최충연,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,6 이범호,9,권오준,2
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,6 이범호,9,장현식,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6 이범호,9,이민호,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,6 이범호,9,윤수호,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 이범호,9,이형범,-1
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6 이범호,9,해커,3
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6 이범호,9,해커,3
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,6 이범호,9,해커,3
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 이범호,9,원종현,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,6 이범호,9,임창민,4
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,6 이범호,9,맨쉽,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6 이범호,9,맨쉽,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6 이범호,9,김진성,0
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,6 이범호,9,한현희,-1
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,6 이범호,9,한현희,-1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,6 이범호,9,한현희,-1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6 이범호,9,박정준,-1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,6 이범호,9,김홍빈,-1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6 이범호,9,최원태,-1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6 이범호,9,최원태,-1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 이범호,9,최원태,-1
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 이범호,9,이보근,-1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6 이범호,9,오주원,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,6 이범호,9,레일리,-1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,6 이범호,9,레일리,-1
