1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,1,0,1,0,0,8 이창진,-1,이태양,-1
0,1,0,0,0,1,0,1,1,0,0,8 이창진,-1,이재학,5
0,0,1,1,0,0,1,0,1,0,0,8 이창진,-1,임정호,-1
0,0,1,0,0,1,0,1,1,0,0,8 이창진,-1,임창민,4
0,0,1,1,0,0,0,1,1,0,0,5 이창진,-1,박정진,-1
0,1,0,0,0,1,1,0,1,0,0,9 이창진,-1,박정진,-1
0,0,1,0,0,1,0,1,0,0,1,8 이창진,-1,봉중근,-1
0,0,1,0,0,1,0,1,0,1,0,5 이창진,-1,최영필,-1
0,0,1,0,0,1,1,0,1,0,0,7 이창진,-1,김성배,-1
1,0,0,0,0,1,1,0,1,0,0,6 이창진,-1,장원준,3
0,1,0,0,1,0,0,1,1,0,0,6 이창진,-1,장원준,3
0,1,0,0,0,1,0,1,1,0,0,6 이창진,-1,장원준,3
0,0,1,0,0,1,0,1,1,0,0,8 이창진,-1,양현종,1
0,0,1,0,1,0,1,0,0,1,0,6 이창진,-1,김건한,-1
0,0,1,0,1,0,1,0,1,0,0,8 이창진,-1,임기준,-1
1,0,0,1,0,0,0,1,0,1,0,9 이창진,-1,김광현,-1
1,0,0,0,0,1,1,0,1,0,0,9 이창진,-1,김광현,-1
0,1,0,0,1,0,1,0,1,0,0,9 이창진,-1,김광현,-1
0,0,1,1,0,0,0,1,1,0,0,9 이창진,-1,신재웅,0
0,0,1,0,0,1,1,0,1,0,0,9 이창진,-1,정우람,-1
0,0,1,0,0,1,1,0,0,1,0,6 이창진,-1,김세현,0
0,0,1,0,1,0,0,1,1,0,0,4 이창진,-1,송신영,-1
