1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,1,0,1,0,0,3 최원준,0,권오준,1
0,1,0,1,0,0,1,0,1,0,0,5 최원준,0,윤성환,0
0,0,1,0,0,1,1,0,1,0,0,5 최원준,0,김승현,6
1,0,0,0,1,0,1,0,1,0,0,8 최원준,0,니퍼트,4
0,1,0,0,1,0,0,1,1,0,0,8 최원준,0,니퍼트,4
0,0,1,0,0,1,0,1,1,0,0,8 최원준,0,정재원,5
1,0,0,0,1,0,0,1,0,1,0,2 최원준,0,오간도,-1
1,0,0,0,0,1,0,1,1,0,0,2 최원준,0,오간도,-1
0,1,0,1,0,0,1,0,0,1,0,2 최원준,0,오간도,-1
0,1,0,0,1,0,0,1,1,0,0,2 최원준,0,권혁,2
0,0,1,1,0,0,0,1,0,1,0,7 최원준,0,애디튼,-1
1,0,0,0,1,0,0,1,1,0,0,8 최원준,0,박진형,5
1,0,0,0,0,1,1,0,0,1,0,8 최원준,0,박진형,5
0,1,0,1,0,0,0,1,0,1,0,8 최원준,0,강동호,-1
0,1,0,1,0,0,1,0,0,1,0,8 최원준,0,강동호,-1
0,0,1,0,1,0,0,1,0,0,1,8 최원준,0,강동호,-1
1,0,0,1,0,0,0,1,0,1,0,8 최원준,0,송승준,0
0,1,0,0,0,1,1,0,1,0,0,8 최원준,0,송승준,0
0,1,0,0,1,0,0,1,1,0,0,8 최원준,0,박시영,5
0,0,1,0,0,1,1,0,1,0,0,8 최원준,0,장시환,3
0,0,1,0,1,0,1,0,1,0,0,8 최원준,0,손승락,2
0,0,1,0,1,0,1,0,0,1,0,8 최원준,0,윤길현,2
1,0,0,1,0,0,1,0,1,0,0,7 최원준,0,최금강,-1
0,1,0,1,0,0,1,0,1,0,0,7 최원준,0,임정호,-1
0,1,0,0,1,0,0,1,1,0,0,7 최원준,0,이민호,1
0,0,1,0,0,1,1,0,0,1,0,7 최원준,0,김진성,3
0,0,1,0,1,0,1,0,1,0,0,7 최원준,0,원종현,3
1,0,0,1,0,0,1,0,1,0,0,7 최원준,0,정수민,5
0,1,0,1,0,0,1,0,1,0,0,7 최원준,0,정수민,5
0,1,0,0,0,1,1,0,1,0,0,7 최원준,0,이형범,6
0,0,1,0,0,1,0,1,1,0,0,7 최원준,0,이형범,6
0,0,1,0,0,1,1,0,1,0,0,7 최원준,0,윤수호,6
1,0,0,1,0,0,0,1,0,1,0,7 최원준,0,이재학,2
1,0,0,0,0,1,1,0,1,0,0,7 최원준,0,이민호,1
0,1,0,0,1,0,0,1,0,1,0,7 최원준,0,임정호,-1
0,0,1,1,0,0,0,1,1,0,0,7 최원준,0,원종현,3
1,0,0,0,0,1,1,0,1,0,0,8 최원준,0,최지광,6
0,1,0,0,0,1,0,1,0,0,1,8 최원준,0,최지광,6
0,1,0,0,1,0,0,1,0,0,1,8 최원준,0,김승현,6
1,0,0,1,0,0,0,1,1,0,0,8 최원준,0,윤성환,0
0,1,0,1,0,0,1,0,1,0,0,8 최원준,0,윤성환,0
0,1,0,1,0,0,1,0,1,0,0,8 최원준,0,이승현,5
0,1,0,0,0,1,1,0,1,0,0,8 최원준,0,김동호,-1
1,0,0,0,0,1,1,0,0,1,0,8 최원준,0,윤규진,2
0,1,0,1,0,0,0,1,1,0,0,8 최원준,0,윤규진,2
0,1,0,0,1,0,1,0,1,0,0,8 최원준,0,윤규진,2
1,0,0,0,0,1,1,0,1,0,0,7 최원준,0,신재영,3
0,1,0,1,0,0,0,1,1,0,0,7 최원준,0,신재영,3
0,1,0,0,1,0,1,0,1,0,0,7 최원준,0,신재영,3
0,0,1,0,0,1,0,1,0,1,0,7 최원준,0,윤길현,2
0,0,1,0,0,1,0,1,1,0,0,3 최원준,0,강동호,-1
0,0,1,1,0,0,0,1,1,0,0,2 최원준,0,이동현,2
0,0,1,1,0,0,0,1,0,1,0,2 최원준,0,전용훈,-1
1,0,0,0,0,1,1,0,0,1,0,7 최원준,0,김대우,3
1,0,0,0,1,0,0,1,1,0,0,7 최원준,0,백정현,1
0,1,0,0,1,0,1,0,0,1,0,7 최원준,0,김동호,-1
0,0,1,1,0,0,1,0,0,0,1,7 최원준,0,김동호,-1
0,0,1,0,1,0,0,1,1,0,0,7 최원준,0,서진용,5
0,1,0,1,0,0,1,0,0,1,0,9 최원준,0,채병용,4
0,1,0,1,0,0,0,1,1,0,0,9 최원준,0,박정배,3
0,0,1,1,0,0,0,1,1,0,0,9 최원준,0,김주한,5
1,0,0,0,1,0,1,0,1,0,0,9 최원준,0,문승원,3
0,1,0,0,0,1,0,1,0,1,0,9 최원준,0,문승원,3
0,0,1,0,0,1,0,1,0,1,0,9 최원준,0,서진용,5
0,0,1,1,0,0,0,1,0,1,0,9 최원준,0,문광은,5
1,0,0,0,1,0,1,0,1,0,0,9 최원준,0,로치,-1
1,0,0,0,1,0,0,1,0,1,0,9 최원준,0,로치,-1
