1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,4 최형우,3,페트릭,-1
0,1,0,0,1,0,0,1,1,0,0,4 최형우,3,페트릭,-1
0,1,0,0,0,1,1,0,0,1,0,4 최형우,3,페트릭,-1
0,0,1,0,1,0,0,1,0,0,1,4 최형우,3,김승현,2
0,0,1,0,1,0,0,1,1,0,0,4 최형우,3,박근홍,0
1,0,0,0,0,1,1,0,1,0,0,4 최형우,3,우규민,1
0,1,0,0,1,0,1,0,0,1,0,4 최형우,3,우규민,1
0,1,0,0,0,1,0,1,1,0,0,4 최형우,3,우규민,1
0,0,1,1,0,0,0,1,0,0,1,4 최형우,3,이승현,2
1,0,0,1,0,0,0,1,1,0,0,4 최형우,3,윤성환,1
0,1,0,1,0,0,0,1,0,1,0,4 최형우,3,윤성환,1
1,0,0,0,0,1,1,0,0,1,0,4 최형우,3,박종훈,2
0,1,0,1,0,0,0,1,1,0,0,4 최형우,3,박종훈,2
0,1,0,0,1,0,1,0,0,1,0,4 최형우,3,박종훈,2
0,0,1,0,0,1,0,1,1,0,0,4 최형우,3,문광은,3
1,0,0,0,0,1,1,0,1,0,0,4 최형우,3,켈리,4
0,1,0,1,0,0,1,0,0,0,1,4 최형우,3,켈리,4
0,1,0,0,0,1,1,0,1,0,0,4 최형우,3,켈리,4
0,0,1,1,0,0,0,1,0,1,0,4 최형우,3,서진용,2
1,0,0,1,0,0,0,1,1,0,0,4 최형우,3,비야누에바,-1
0,1,0,0,1,0,1,0,1,0,0,4 최형우,3,비야누에바,-1
0,1,0,0,1,0,0,1,1,0,0,4 최형우,3,심수창,0
0,0,1,0,0,1,1,0,1,0,0,4 최형우,3,송창식,0
1,0,0,1,0,0,0,1,0,0,1,4 최형우,3,송은범,2
0,1,0,1,0,0,0,1,1,0,0,4 최형우,3,송은범,2
0,0,1,1,0,0,0,1,0,0,1,4 최형우,3,송은범,2
0,0,1,1,0,0,0,1,1,0,0,4 최형우,3,정우람,4
1,0,0,0,0,1,1,0,1,0,0,4 최형우,3,이태양,0
0,1,0,1,0,0,0,1,1,0,0,4 최형우,3,이태양,0
0,1,0,1,0,0,0,1,1,0,0,4 최형우,3,이태양,0
0,0,1,1,0,0,1,0,1,0,0,4 최형우,3,장민재,0
1,0,0,1,0,0,0,1,0,1,0,4 최형우,3,장원준,2
1,0,0,0,0,1,0,1,0,1,0,4 최형우,3,장원준,2
0,1,0,0,1,0,0,1,1,0,0,4 최형우,3,장원준,2
1,0,0,0,0,1,1,0,1,0,0,4 최형우,3,함덕주,1
1,0,0,0,0,1,0,1,0,1,0,4 최형우,3,함덕주,1
0,1,0,0,0,1,1,0,1,0,0,4 최형우,3,함덕주,1
0,0,1,1,0,0,1,0,0,1,0,4 최형우,3,홍상삼,2
0,0,1,0,1,0,0,1,1,0,0,4 최형우,3,장민익,3
1,0,0,0,0,1,1,0,0,0,1,4 최형우,3,니퍼트,1
0,1,0,1,0,0,1,0,0,1,0,4 최형우,3,니퍼트,1
0,1,0,0,0,1,0,1,1,0,0,4 최형우,3,니퍼트,1
0,0,1,1,0,0,0,1,0,0,1,4 최형우,3,장민익,3
0,0,1,0,0,1,1,0,1,0,0,4 최형우,3,이현승,2
1,0,0,1,0,0,0,1,1,0,0,4 최형우,3,한현희,2
0,1,0,1,0,0,1,0,1,0,0,4 최형우,3,한현희,2
0,1,0,0,0,1,0,1,0,1,0,4 최형우,3,한현희,2
0,0,1,0,0,1,1,0,0,1,0,4 최형우,3,오설리반,-1
1,0,0,0,1,0,1,0,0,1,0,4 최형우,3,최원태,1
1,0,0,0,0,1,1,0,1,0,0,4 최형우,3,최원태,1
0,1,0,0,1,0,0,1,1,0,0,4 최형우,3,최원태,1
0,0,1,1,0,0,0,1,1,0,0,4 최형우,3,금민철,2
1,0,0,0,0,1,0,1,0,1,0,4 최형우,3,신재영,2
0,1,0,1,0,0,0,1,1,0,0,4 최형우,3,신재영,2
0,1,0,0,1,0,0,1,0,1,0,4 최형우,3,신재영,2
0,0,1,0,0,1,0,1,1,0,0,4 최형우,3,김상수,0
1,0,0,1,0,0,0,1,1,0,0,4 최형우,3,고영표,-1
0,1,0,0,1,0,1,0,0,1,0,4 최형우,3,고영표,-1
0,1,0,1,0,0,0,1,0,1,0,4 최형우,3,고영표,-1
0,0,1,1,0,0,0,1,1,0,0,4 최형우,3,엄상백,0
1,0,0,0,0,1,1,0,0,1,0,4 최형우,3,로치,-1
1,0,0,1,0,0,1,0,1,0,0,4 최형우,3,로치,-1
