1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,1,0,0,1,0,8 한승택,-1,심창민,0
0,0,1,1,0,0,0,1,1,0,0,2 한승택,-1,장지훈,-1
1,0,0,0,0,1,1,0,1,0,0,9 한승택,-1,박종훈,-1
0,1,0,0,0,1,0,1,0,0,1,9 한승택,-1,박종훈,-1
0,1,0,0,0,1,1,0,1,0,0,9 한승택,-1,채병용,2
1,0,0,1,0,0,0,1,1,0,0,9 한승택,-1,켈리,-1
0,1,0,0,0,1,1,0,1,0,0,9 한승택,-1,켈리,-1
0,0,1,1,0,0,0,1,0,0,1,9 한승택,-1,박희수,2
0,0,1,0,0,1,1,0,0,1,0,9 한승택,-1,서진용,-1
1,0,0,0,1,0,1,0,1,0,0,9 한승택,-1,비야누에바,-1
0,1,0,1,0,0,1,0,1,0,0,9 한승택,-1,비야누에바,-1
0,0,1,0,0,1,0,1,1,0,0,9 한승택,-1,심수창,4
1,0,0,0,1,0,0,1,0,1,0,9 한승택,-1,장원준,3
0,1,0,0,1,0,0,1,0,1,0,9 한승택,-1,장원준,3
0,0,1,1,0,0,0,1,1,0,0,9 한승택,-1,김승회,0
0,0,1,0,0,1,1,0,1,0,0,9 한승택,-1,홍상삼,-1
0,0,1,0,0,1,0,1,1,0,0,8 한승택,-1,원종현,-1
1,0,0,1,0,0,0,1,0,1,0,8 한승택,-1,레일리,-1
0,1,0,0,1,0,1,0,1,0,0,8 한승택,-1,레일리,-1
0,1,0,0,0,1,1,0,1,0,0,8 한승택,-1,레일리,-1
1,0,0,0,1,0,0,1,1,0,0,9 한승택,-1,피어밴드,-1
0,0,1,0,0,1,0,1,1,0,0,1 한승택,-1,채병용,2
1,0,0,1,0,0,0,1,1,0,0,8 한승택,-1,유희관,1
0,0,1,1,0,0,1,0,1,0,0,8 한승택,-1,애디튼,-1
0,0,1,0,0,1,0,1,1,0,0,8 한승택,-1,원종현,-1
0,0,1,0,0,1,0,1,0,0,1,3 한승택,-1,오윤성,-1
1,0,0,0,1,0,0,1,1,0,0,8 한승택,-1,밴헤켄,-1
0,1,0,1,0,0,1,0,1,0,0,8 한승택,-1,밴헤켄,-1
0,1,0,0,0,1,0,1,1,0,0,8 한승택,-1,하영민,2
0,0,1,0,0,1,1,0,1,0,0,8 한승택,-1,윤길현,2
1,0,0,0,0,1,0,1,1,0,0,8 한승택,-1,김원중,-1
0,1,0,0,0,1,0,1,1,0,0,8 한승택,-1,김원중,-1
0,1,0,0,1,0,1,0,0,1,0,8 한승택,-1,김원중,-1
0,0,1,0,1,0,0,1,1,0,0,8 한승택,-1,강동호,-1
1,0,0,0,0,1,0,1,1,0,0,8 한승택,-1,소사,1
0,1,0,0,0,1,0,1,1,0,0,8 한승택,-1,소사,1
0,0,1,0,0,1,0,1,1,0,0,1 한승택,-1,전용훈,-1
1,0,0,0,1,0,1,0,0,1,0,8 한승택,-1,함덕주,0
0,1,0,1,0,0,0,1,1,0,0,8 한승택,-1,함덕주,0
1,0,0,1,0,0,1,0,1,0,0,8 한승택,-1,구창모,-1
0,0,1,0,0,1,0,1,1,0,0,8 한승택,-1,김동호,-1
0,0,1,1,0,0,0,1,1,0,0,8 한승택,-1,김동호,-1
1,0,0,0,0,1,0,1,1,0,0,8 한승택,-1,허프,-1
0,0,1,1,0,0,0,1,0,0,1,9 한승택,-1,서진용,-1
1,0,0,0,1,0,0,1,1,0,0,9 한승택,-1,다이아몬드,-1
0,1,0,0,0,1,1,0,0,1,0,9 한승택,-1,다이아몬드,-1
0,0,1,0,1,0,0,1,0,0,1,8 한승택,-1,류희운,-1
1,0,0,0,1,0,0,1,1,0,0,8 한승택,-1,밴헤켄,-1
1,0,0,0,1,0,1,0,1,0,0,8 한승택,-1,밴헤켄,-1
0,1,0,0,0,1,1,0,1,0,0,8 한승택,-1,밴헤켄,-1
0,0,1,0,0,1,1,0,0,1,0,8 한승택,-1,김주한,-1
1,0,0,0,1,0,0,1,1,0,0,8 한승택,-1,유희관,1
0,1,0,0,0,1,0,1,1,0,0,8 한승택,-1,유희관,1
0,1,0,0,0,1,0,1,1,0,0,8 한승택,-1,유희관,1
1,0,0,0,0,1,1,0,1,0,0,8 한승택,-1,장원준,3
0,1,0,0,0,1,0,1,0,1,0,8 한승택,-1,장원준,3
1,0,0,0,1,0,0,1,1,0,0,9 한승택,-1,김범수,-1
0,1,0,0,0,1,0,1,0,0,1,9 한승택,-1,김범수,-1
