3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7 È«ÀçÈ£,B,À±Áö¿õ,A
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,6 È«ÀçÈ£,B,·ùÁ¦±¹,A
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,6 È«ÀçÈ£,B,ÀÌ½ÂÇö,A
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7 È«ÀçÈ£,B,È²´ö±Õ,A
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7 È«ÀçÈ£,B,±è¼¼Çö,A
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6 È«ÀçÈ£,B,Á¤¿ì¶÷,A
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8 È«ÀçÈ£,B,±èÀç¿µ,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4 È«ÀçÈ£,B,¶ó¶ó,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,4 È«ÀçÈ£,B,È«¼º¹Î,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,3 È«ÀçÈ£,B,ÀÓÃ¢¹Î,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,3 È«ÀçÈ£,B,ÀÌ»óÈ­,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5 È«ÀçÈ£,B,Á¤¼º°ï,A
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,6 È«ÀçÈ£,B,Á¤´ëÈÆ,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6 È«ÀçÈ£,B,ÇÃ¶õµ¥,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,5 È«ÀçÈ£,B,±èÇö¿ì,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,9 È«ÀçÈ£,B,¹éÁ¤Çö,A
