3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2 황대인,B,이현승,A
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 황대인,B,장원준,A
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8 황대인,B,장원준,A
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,8 황대인,B,윤명준,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,8 황대인,B,오현택,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,4 황대인,B,윤명준,A
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,9 황대인,B,박희수,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 황대인,B,레일리,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 황대인,B,레일리,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,8 황대인,B,레일리,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,8 황대인,B,김광현,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,8 황대인,B,김광현,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,8 황대인,B,윤길현,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,2 황대인,B,정우람,A
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8 황대인,B,윤성환,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,8 황대인,B,윤성환,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,8 황대인,B,안지만,A
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4 황대인,B,김기태,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4 황대인,B,조현근,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5 황대인,B,진해수,A
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,6 황대인,B,박정배,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4 황대인,B,린드블럼,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,4 황대인,B,홍성민,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 황대인,B,로저스,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,9 황대인,B,권혁,A
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,6 황대인,B,채병용,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,6 황대인,B,채병용,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,6 황대인,B,윤길현,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,6 황대인,B,박정배,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,9 황대인,B,엄상백,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9 황대인,B,홍성무,A
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2 황대인,B,조상우,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,9 황대인,B,김세현,A
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,9 황대인,B,한현희,A
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,9 황대인,B,김대우,A
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8 황대인,B,박정진,A
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,8 황대인,B,송창식,A
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,4 황대인,B,손민한,A
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,4 황대인,B,박명환,A
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4 황대인,B,임창민,A
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1 황대인,B,윤지웅,A
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5 황대인,B,구승민,A
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2 황대인,B,이현승,A
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,9 황대인,B,이현호,A
0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,9 황대인,B,스와잭,A
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,7 황대인,B,장원삼,A
