3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8 È²À±È£,-1,±è´ëÇö,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6 È²À±È£,-1,ÀÌ¿ëÂù,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1 È²À±È£,-1,ÀÌÁ¤¹Î,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7 È²À±È£,-1,±è½ÃÇö,-1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2 È²À±È£,-1,ÀÌ¼ö¹Î,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2 È²À±È£,-1,±è½ÃÇö,-1
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2 È²À±È£,-1,±è½ÂÇö,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2 È²À±È£,-1,½ÉÃ¢¹Î,0
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,9 È²À±È£,-1,ÀÓÂù±Ô,-1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,9 È²À±È£,-1,ÀÓÂù±Ô,-1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,9 È²À±È£,-1,Á¤ÂùÇå,3
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,8 È²À±È£,-1,±èÀ±µ¿,-1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,7 È²À±È£,-1,¹èÀåÈ£,2
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,8 È²À±È£,-1,½ÅÀç¿õ,0
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 È²À±È£,-1,¹Ú»ó¿ø,-1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6 È²À±È£,-1,À¯Èñ°ü,1
0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,6 È²À±È£,-1,±è¼º¹è,-1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,5 È²À±È£,-1,ÀüÀ¯¼ö,2
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7 È²À±È£,-1,±è±¤¼ö,-1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,2 È²À±È£,-1,±èÁ¤ÈÆ,-1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,2 È²À±È£,-1,±èÁ¤ÈÆ,-1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2 È²À±È£,-1,¸¶Á¤±æ,-1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2 È²À±È£,-1,±èÅÃÇü,-1
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,6 È²À±È£,-1,·ùÈñ¿î,-1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,7 È²À±È£,-1,Á¤¼º°ï,-1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1 È²À±È£,-1,±è±¤¼ö,-1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,8 È²À±È£,-1,ÀÌÁ¤¹Î,-1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,8 È²À±È£,-1,Ã¤º´¿ë,2
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,8 È²À±È£,-1,ÀÓÃ¢¿ë,3
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8 È²À±È£,-1,ÀÌÇö½Â,2
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,8 È²À±È£,-1,½ÉÃ¢¹Î,0
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,7 È²À±È£,-1,ÀÌÀÎº¹,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 È²À±È£,-1,ÀÌÀÎº¹,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1 È²À±È£,-1,¹ÚÁ¤¼ö,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,7 È²À±È£,-1,½Éµ¿¼·,4
