1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,1,0,1,0,0,8 ±Ë±‘πŒ,0,«Ì≈Õ,-1
0,0,1,0,0,1,0,1,1,0,0,8 ±Ë±‘πŒ,0,±Ë¿±µø,5
0,0,1,1,0,0,0,1,0,1,0,1 ±Ë±‘πŒ,0,º’øµπŒ,-1
0,0,1,0,0,1,0,1,1,0,0,1 ±Ë±‘πŒ,0,π⁄¡ˆ»∆,6
1,0,0,0,0,1,1,0,1,0,0,7 ±Ë±‘πŒ,0,±Ë¡÷«—,5
0,1,0,0,1,0,0,1,0,1,0,7 ±Ë±‘πŒ,0,±Ë¡÷«—,5
0,1,0,0,1,0,0,1,1,0,0,7 ±Ë±‘πŒ,0,π⁄¡§πË,3
0,0,1,0,0,1,0,1,0,1,0,7 ±Ë±‘πŒ,0,¿”¡ÿ«ı,-1
1,0,0,1,0,0,1,0,1,0,0,7 ±Ë±‘πŒ,0,ƒÃ∏Æ,6
0,1,0,0,1,0,1,0,0,0,1,7 ±Ë±‘πŒ,0,ƒÃ∏Æ,6
0,1,0,0,1,0,0,1,1,0,0,7 ±Ë±‘πŒ,0,ƒÃ∏Æ,6
0,0,1,0,0,1,0,1,1,0,0,7 ±Ë±‘πŒ,0,Ω≈¿Áøı,3
0,0,1,1,0,0,1,0,0,1,0,4 ±Ë±‘πŒ,0,¡∂±Ÿ¡æ,-1
1,0,0,0,1,0,0,1,1,0,0,9 ±Ë±‘πŒ,0,√÷±›∞≠,-1
0,1,0,0,0,1,0,1,0,1,0,9 ±Ë±‘πŒ,0,√÷±›∞≠,-1
0,1,0,0,0,1,0,1,0,0,1,9 ±Ë±‘πŒ,0,ø¯¡æ«ˆ,3
0,0,1,0,0,1,0,1,1,0,0,9 ±Ë±‘πŒ,0,±Ë¡¯º∫,3
1,0,0,0,1,0,0,1,1,0,0,7 ±Ë±‘πŒ,0,¥œ∆€∆Æ,4
0,1,0,1,0,0,1,0,1,0,0,7 ±Ë±‘πŒ,0,¥œ∆€∆Æ,4
0,1,0,0,0,1,1,0,1,0,0,7 ±Ë±‘πŒ,0,¥œ∆€∆Æ,4
1,0,0,1,0,0,0,1,1,0,0,8 ±Ë±‘πŒ,0,«Ì≈Õ,-1
0,1,0,0,0,1,0,1,1,0,0,8 ±Ë±‘πŒ,0,«Ì≈Õ,-1
0,0,1,0,1,0,0,1,1,0,0,9 ±Ë±‘πŒ,0,π⁄¡¯≈¬,-1
