1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,1,0,1,0,0,8 김하성,3,소사,-1
0,1,0,1,0,0,0,1,0,1,0,8 김하성,3,소사,-1
0,0,1,0,0,1,0,1,1,0,0,8 김하성,3,이동현,2
1,0,0,0,0,1,1,0,1,0,0,8 김하성,3,류제국,1
0,1,0,0,1,0,0,1,0,1,0,8 김하성,3,류제국,1
0,1,0,1,0,0,0,1,1,0,0,8 김하성,3,김지용,5
0,0,1,0,0,1,0,1,0,1,0,8 김하성,3,최동환,5
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,윤지웅,5
0,1,0,0,1,0,0,1,1,0,0,2 김하성,3,윤지웅,5
0,1,0,0,0,1,1,0,0,0,1,2 김하성,3,최동환,5
0,0,1,1,0,0,1,0,0,1,0,2 김하성,3,최성훈,5
1,0,0,0,0,1,0,1,1,0,0,8 김하성,3,박세웅,1
0,1,0,1,0,0,0,1,1,0,0,8 김하성,3,박세웅,1
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,박세웅,1
1,0,0,0,0,1,1,0,1,0,0,8 김하성,3,레일리,2
0,1,0,0,1,0,0,1,1,0,0,8 김하성,3,레일리,2
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,이명우,-1
1,0,0,1,0,0,0,1,1,0,0,8 김하성,3,니퍼트,4
0,1,0,0,0,1,0,1,0,0,1,8 김하성,3,니퍼트,4
0,1,0,1,0,0,0,1,1,0,0,8 김하성,3,이현호,5
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,홍상삼,3
1,0,0,0,0,1,0,1,1,0,0,8 김하성,3,유희관,4
1,0,0,0,0,1,0,1,1,0,0,8 김하성,3,유희관,4
0,1,0,0,1,0,0,1,1,0,0,8 김하성,3,유희관,4
0,0,1,0,1,0,0,1,1,0,0,8 김하성,3,김승회,2
0,0,1,1,0,0,0,1,0,1,0,8 김하성,3,김성배,-1
1,0,0,1,0,0,1,0,0,1,0,8 김하성,3,고원준,-1
1,0,0,0,0,1,1,0,1,0,0,8 김하성,3,이현호,5
0,1,0,0,0,1,1,0,1,0,0,8 김하성,3,김명신,-1
0,1,0,1,0,0,1,0,1,0,0,8 김하성,3,김명신,-1
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,이현승,2
1,0,0,0,1,0,1,0,1,0,0,8 김하성,3,주권,3
1,0,0,0,0,1,1,0,1,0,0,8 김하성,3,주권,3
0,1,0,0,1,0,0,1,0,1,0,8 김하성,3,주권,3
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,정성곤,3
1,0,0,1,0,0,0,1,0,1,0,8 김하성,3,고영표,-1
0,1,0,1,0,0,0,1,1,0,0,8 김하성,3,고영표,-1
0,1,0,0,0,1,1,0,0,0,1,8 김하성,3,고영표,-1
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,이상화,5
0,0,1,0,0,1,1,0,1,0,0,8 김하성,3,조무근,5
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,팻딘,-1
0,1,0,1,0,0,0,1,1,0,0,2 김하성,3,팻딘,-1
0,1,0,0,0,1,1,0,1,0,0,2 김하성,3,팻딘,-1
0,0,1,0,1,0,0,1,1,0,0,2 김하성,3,팻딘,-1
1,0,0,0,1,0,0,1,1,0,0,8 김하성,3,양현종,0
0,1,0,0,1,0,0,1,1,0,0,8 김하성,3,양현종,0
0,0,1,1,0,0,0,1,0,1,0,8 김하성,3,손영민,-1
0,0,1,0,0,1,0,1,0,1,0,8 김하성,3,김윤동,5
1,0,0,0,0,1,0,1,0,1,0,7 김하성,3,홍건희,3
0,1,0,0,1,0,1,0,1,0,0,7 김하성,3,홍건희,3
0,1,0,0,1,0,1,0,0,1,0,7 김하성,3,손영민,-1
0,0,1,1,0,0,0,1,0,0,1,7 김하성,3,임창용,-1
0,0,1,0,1,0,1,0,1,0,0,7 김하성,3,김윤동,5
1,0,0,1,0,0,0,1,0,1,0,8 김하성,3,켈리,6
0,1,0,0,1,0,0,1,1,0,0,8 김하성,3,켈리,6
0,0,1,0,0,1,1,0,0,1,0,8 김하성,3,켈리,6
0,0,1,0,1,0,0,1,0,1,0,8 김하성,3,서진용,5
1,0,0,0,0,1,0,1,0,0,1,8 김하성,3,다이아몬드,-1
0,1,0,0,0,1,1,0,1,0,0,8 김하성,3,다이아몬드,-1
0,0,1,0,1,0,0,1,1,0,0,8 김하성,3,채병용,4
0,0,1,0,1,0,0,1,1,0,0,8 김하성,3,서진용,5
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,윤희상,2
1,0,0,1,0,0,0,1,1,0,0,2 김하성,3,윤희상,2
0,1,0,1,0,0,1,0,1,0,0,2 김하성,3,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,2 김하성,3,김성민,5
0,0,1,0,0,1,1,0,0,1,0,2 김하성,3,박희수,3
1,0,0,0,1,0,0,1,0,1,0,2 김하성,3,애디튼,-1
1,0,0,0,1,0,0,1,0,1,0,2 김하성,3,애디튼,-1
0,1,0,0,0,1,1,0,0,0,1,2 김하성,3,애디튼,-1
0,0,1,0,0,1,0,1,1,0,0,2 김하성,3,박시영,5
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,박세웅,1
1,0,0,0,0,1,0,1,1,0,0,2 김하성,3,박세웅,1
0,1,0,0,1,0,1,0,1,0,0,2 김하성,3,박세웅,1
0,0,1,0,0,1,0,1,1,0,0,2 김하성,3,장시환,3
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,레일리,2
1,0,0,0,0,1,1,0,1,0,0,2 김하성,3,레일리,2
0,1,0,1,0,0,0,1,0,1,0,2 김하성,3,레일리,2
0,0,1,1,0,0,1,0,0,1,0,2 김하성,3,윤길현,2
0,0,1,0,1,0,0,1,1,0,0,2 김하성,3,강동호,-1
1,0,0,1,0,0,1,0,0,1,0,2 김하성,3,김명신,-1
1,0,0,0,1,0,1,0,1,0,0,2 김하성,3,홍상삼,3
1,0,0,0,1,0,1,0,0,0,1,2 김하성,3,홍상삼,3
0,1,0,1,0,0,0,1,0,1,0,2 김하성,3,김성배,-1
0,1,0,0,1,0,0,1,1,0,0,2 김하성,3,김성배,-1
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,유희관,4
0,1,0,0,1,0,0,1,1,0,0,2 김하성,3,유희관,4
0,1,0,0,0,1,0,1,1,0,0,2 김하성,3,유희관,4
0,0,1,0,0,1,1,0,0,1,0,2 김하성,3,이용찬,1
0,0,1,1,0,0,0,1,1,0,0,2 김하성,3,이현승,2
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,보우덴,-1
1,0,0,0,1,0,1,0,1,0,0,2 김하성,3,보우덴,-1
0,1,0,0,0,1,0,1,1,0,0,2 김하성,3,보우덴,-1
0,1,0,1,0,0,0,1,1,0,0,2 김하성,3,이현호,5
0,0,1,0,1,0,0,1,0,0,1,2 김하성,3,김강률,3
1,0,0,1,0,0,1,0,0,0,1,8 김하성,3,송은범,4
0,1,0,0,0,1,0,1,1,0,0,8 김하성,3,송은범,4
0,1,0,0,1,0,0,1,1,0,0,8 김하성,3,송신영,-1
0,0,1,1,0,0,0,1,1,0,0,8 김하성,3,심수창,2
1,0,0,0,1,0,0,1,1,0,0,9 김하성,3,오간도,-1
1,0,0,0,1,0,1,0,1,0,0,9 김하성,3,오간도,-1
0,1,0,0,1,0,0,1,1,0,0,9 김하성,3,송창식,2
0,0,1,0,1,0,1,0,1,0,0,9 김하성,3,권혁,2
0,0,1,0,0,1,0,1,1,0,0,9 김하성,3,이동걸,-1
1,0,0,0,1,0,0,1,1,0,0,7 김하성,3,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,7 김하성,3,헥터,-1
0,0,1,1,0,0,0,1,0,0,1,7 김하성,3,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,7 김하성,3,김윤동,5
1,0,0,0,1,0,0,1,1,0,0,9 김하성,3,양현종,0
0,1,0,0,1,0,1,0,0,1,0,9 김하성,3,양현종,0
0,0,1,0,0,1,1,0,0,1,0,9 김하성,3,양현종,0
0,0,1,1,0,0,1,0,1,0,0,9 김하성,3,김윤동,5
0,0,1,0,1,0,0,1,0,0,1,5 김하성,3,박지훈,6
0,0,1,0,0,1,0,1,1,0,0,5 김하성,3,김광수,-1
0,0,1,0,0,1,1,0,0,1,0,3 김하성,3,박정배,3
0,0,1,0,1,0,0,1,1,0,0,6 김하성,3,신재웅,3
1,0,0,0,1,0,1,0,1,0,0,7 김하성,3,김태훈,5
0,1,0,0,0,1,0,1,1,0,0,7 김하성,3,김태훈,5
0,1,0,1,0,0,1,0,1,0,0,7 김하성,3,채병용,4
0,0,1,1,0,0,1,0,1,0,0,7 김하성,3,전유수,3
0,0,1,0,0,1,0,1,0,0,1,7 김하성,3,임준혁,-1
0,0,1,0,0,1,0,1,1,0,0,7 김하성,3,서진용,5
0,0,1,1,0,0,1,0,1,0,0,4 김하성,3,김진성,3
1,0,0,0,1,0,0,1,1,0,0,2 김하성,3,백정현,1
1,0,0,0,1,0,1,0,1,0,0,2 김하성,3,백정현,1
0,1,0,1,0,0,0,1,1,0,0,2 김하성,3,백정현,1
0,0,1,1,0,0,0,1,1,0,0,2 김하성,3,장필준,5
1,0,0,0,1,0,0,1,1,0,0,5 김하성,3,김대우,3
0,1,0,0,1,0,1,0,0,1,0,5 김하성,3,김대우,3
0,1,0,0,0,1,1,0,1,0,0,5 김하성,3,권오준,1
0,0,1,0,1,0,0,1,1,0,0,5 김하성,3,이승현,5
1,0,0,1,0,0,0,1,1,0,0,5 김하성,3,최지광,6
0,1,0,1,0,0,0,1,1,0,0,5 김하성,3,최지광,6
0,1,0,0,1,0,0,1,1,0,0,5 김하성,3,김승현,6
0,0,1,0,1,0,0,1,1,0,0,5 김하성,3,심창민,-1
1,0,0,0,0,1,1,0,0,1,0,5 김하성,3,비야누에바,-1
0,1,0,1,0,0,0,1,0,1,0,5 김하성,3,비야누에바,-1
0,1,0,1,0,0,0,1,0,0,1,5 김하성,3,비야누에바,-1
0,0,1,0,1,0,0,1,0,1,0,5 김하성,3,안영명,2
