1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,4 박병호,3,탈보트,-1
1,0,0,0,1,0,0,1,1,0,0,4 박병호,3,탈보트,-1
0,1,0,1,0,0,0,1,1,0,0,4 박병호,3,탈보트,-1
0,0,1,0,0,1,0,1,1,0,0,4 박병호,3,권혁,1
0,0,1,0,1,0,0,1,1,0,0,4 박병호,3,윤규진,2
1,0,0,1,0,0,0,1,1,0,0,4 박병호,3,송은범,2
0,1,0,0,1,0,1,0,0,0,1,4 박병호,3,송은범,2
0,1,0,0,1,0,1,0,1,0,0,4 박병호,3,안영명,2
0,0,1,1,0,0,0,1,1,0,0,4 박병호,3,박정진,-1
1,0,0,0,1,0,0,1,1,0,0,4 박병호,3,해커,1
0,1,0,1,0,0,0,1,0,1,0,4 박병호,3,해커,1
0,1,0,1,0,0,1,0,1,0,0,4 박병호,3,해커,1
0,0,1,0,0,1,1,0,1,0,0,4 박병호,3,이민호,2
1,0,0,1,0,0,1,0,0,1,0,4 박병호,3,밴와트,-1
1,0,0,0,0,1,0,1,1,0,0,4 박병호,3,밴와트,-1
0,1,0,0,1,0,0,1,0,1,0,4 박병호,3,고효준,0
0,1,0,0,1,0,0,1,0,1,0,4 박병호,3,고효준,0
0,0,1,1,0,0,1,0,0,0,1,4 박병호,3,고효준,0
1,0,0,0,0,1,0,1,1,0,0,4 박병호,3,윤희상,2
0,1,0,0,1,0,1,0,0,1,0,4 박병호,3,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,4 박병호,3,윤희상,2
0,0,1,0,1,0,0,1,1,0,0,4 박병호,3,문광은,3
1,0,0,1,0,0,0,1,1,0,0,4 박병호,3,백인식,2
0,1,0,0,1,0,0,1,1,0,0,4 박병호,3,백인식,2
0,1,0,1,0,0,0,1,0,1,0,4 박병호,3,박종훈,2
0,0,1,0,0,1,0,1,0,1,0,4 박병호,3,전유수,0
0,0,1,1,0,0,1,0,0,1,0,4 박병호,3,윤길현,2
1,0,0,0,1,0,0,1,1,0,0,4 박병호,3,유희관,2
1,0,0,0,1,0,0,1,0,1,0,4 박병호,3,유희관,2
0,1,0,0,1,0,0,1,0,1,0,4 박병호,3,유희관,2
0,0,1,0,1,0,0,1,0,1,0,4 박병호,3,오현택,1
0,0,1,0,0,1,1,0,0,1,0,4 박병호,3,이현호,0
0,0,1,0,1,0,0,1,0,1,0,4 박병호,3,장민익,3
1,0,0,0,1,0,0,1,0,0,1,4 박병호,3,진야곱,-1
1,0,0,0,1,0,0,1,0,0,1,4 박병호,3,진야곱,-1
0,1,0,0,1,0,0,1,1,0,0,4 박병호,3,진야곱,-1
0,0,1,0,0,1,1,0,0,1,0,4 박병호,3,이재우,-1
0,0,1,0,0,1,1,0,1,0,0,4 박병호,3,윤명준,2
1,0,0,1,0,0,0,1,1,0,0,4 박병호,3,마야,-1
0,1,0,0,0,1,0,1,1,0,0,4 박병호,3,마야,-1
0,0,1,0,0,1,0,1,0,0,1,4 박병호,3,마야,-1
1,0,0,0,0,1,1,0,0,1,0,4 박병호,3,시스코,-1
1,0,0,0,0,1,0,1,1,0,0,4 박병호,3,시스코,-1
0,1,0,1,0,0,1,0,1,0,0,4 박병호,3,시스코,-1
0,0,1,0,0,1,0,1,1,0,0,4 박병호,3,이윤학,-1
1,0,0,0,0,1,1,0,1,0,0,4 박병호,3,옥스프링,-1
0,1,0,0,0,1,0,1,1,0,0,4 박병호,3,옥스프링,-1
0,1,0,0,0,1,0,1,1,0,0,4 박병호,3,옥스프링,-1
0,0,1,1,0,0,1,0,1,0,0,4 박병호,3,장시환,0
1,0,0,0,1,0,0,1,1,0,0,4 박병호,3,박세웅,2
1,0,0,0,1,0,0,1,0,0,1,4 박병호,3,박세웅,2
0,1,0,1,0,0,0,1,0,1,0,4 박병호,3,최원재,-1
0,0,1,0,0,1,0,1,1,0,0,4 박병호,3,장시환,0
