1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,보우덴,-1
1,0,0,0,1,0,0,1,0,1,0,1 송성문,2,보우덴,-1
0,1,0,0,0,1,0,1,0,1,0,1 송성문,2,보우덴,-1
0,1,0,0,0,1,0,1,1,0,0,1 송성문,2,이현호,0
0,0,1,1,0,0,0,1,1,0,0,1 송성문,2,김강률,2
1,0,0,1,0,0,0,1,0,0,1,1 송성문,2,이태양,0
1,0,0,0,0,1,0,1,0,1,0,1 송성문,2,이태양,0
0,1,0,0,1,0,0,1,1,0,0,1 송성문,2,이태양,0
0,1,0,0,0,1,1,0,1,0,0,1 송성문,2,송창식,0
0,0,1,0,1,0,0,1,0,0,1,1 송성문,2,윤규진,2
1,0,0,1,0,0,0,1,0,1,0,1 송성문,2,헥터,-1
1,0,0,0,1,0,0,1,1,0,0,1 송성문,2,헥터,-1
0,1,0,1,0,0,0,1,0,1,0,1 송성문,2,헥터,-1
0,0,1,0,1,0,0,1,0,1,0,1 송성문,2,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,1 송성문,2,김윤동,2
1,0,0,0,0,1,1,0,1,0,0,7 송성문,2,양현종,1
0,1,0,1,0,0,0,1,0,1,0,7 송성문,2,양현종,1
0,0,1,0,1,0,0,1,1,0,0,7 송성문,2,양현종,1
0,0,1,0,0,1,0,1,1,0,0,7 송성문,2,김윤동,2
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,김주한,2
1,0,0,0,0,1,0,1,1,0,0,1 송성문,2,김주한,2
0,1,0,0,1,0,1,0,1,0,0,1 송성문,2,김주한,2
0,0,1,1,0,0,1,0,1,0,0,1 송성문,2,박정배,2
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,켈리,4
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,켈리,4
0,1,0,0,0,1,0,1,1,0,0,1 송성문,2,켈리,4
0,1,0,0,0,1,0,1,1,0,0,1 송성문,2,켈리,4
0,0,1,0,1,0,1,0,0,1,0,1 송성문,2,문광은,3
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,김태훈,2
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,김태훈,2
0,1,0,0,1,0,1,0,0,0,1,1 송성문,2,김태훈,2
0,1,0,0,0,1,0,1,0,1,0,1 송성문,2,박희수,4
0,0,1,0,0,1,0,1,1,0,0,1 송성문,2,전유수,0
0,0,1,1,0,0,1,0,1,0,0,1 송성문,2,서진용,2
0,0,1,0,0,1,0,1,1,0,0,1 송성문,2,문광은,3
1,0,0,0,1,0,0,1,1,0,0,2 송성문,2,맨쉽,1
1,0,0,0,0,1,1,0,1,0,0,2 송성문,2,맨쉽,1
0,1,0,0,1,0,0,1,1,0,0,2 송성문,2,임정호,-1
0,0,1,1,0,0,1,0,1,0,0,2 송성문,2,원종현,1
0,0,1,0,1,0,1,0,0,1,0,5 송성문,2,김진성,2
0,0,1,1,0,0,0,1,0,1,0,8 송성문,2,심창민,-1
1,0,0,1,0,0,0,1,1,0,0,1 송성문,2,김대우,0
1,0,0,0,1,0,0,1,1,0,0,1 송성문,2,김대우,0
0,1,0,1,0,0,1,0,1,0,0,1 송성문,2,김대우,0
0,0,1,1,0,0,1,0,1,0,0,1 송성문,2,김시현,-1
0,0,1,0,1,0,0,1,0,0,1,8 송성문,2,헥터,-1
0,1,0,1,0,0,0,1,0,1,0,7 송성문,2,임기영,0
0,0,1,0,0,1,0,1,0,0,1,5 송성문,2,김윤동,2
1,0,0,1,0,0,1,0,1,0,0,2 송성문,2,로치,-1
1,0,0,0,1,0,1,0,1,0,0,2 송성문,2,로치,-1
0,1,0,0,0,1,0,1,0,0,1,2 송성문,2,로치,-1
0,1,0,1,0,0,0,1,1,0,0,7 송성문,2,김사율,-1
0,0,1,0,0,1,0,1,1,0,0,7 송성문,2,김사율,-1
1,0,0,1,0,0,1,0,0,0,1,2 송성문,2,소사,-1
1,0,0,0,0,1,1,0,1,0,0,2 송성문,2,소사,-1
0,1,0,0,0,1,0,1,0,1,0,2 송성문,2,소사,-1
0,0,1,1,0,0,0,1,1,0,0,2 송성문,2,최성훈,2
0,0,1,0,1,0,0,1,1,0,0,2 송성문,2,고우석,2
1,0,0,1,0,0,1,0,1,0,0,2 송성문,2,김대현,3
0,1,0,1,0,0,0,1,1,0,0,2 송성문,2,김대현,3
0,1,0,0,1,0,0,1,1,0,0,2 송성문,2,김대현,3
0,0,1,0,0,1,0,1,1,0,0,2 송성문,2,진해수,0
0,0,1,0,1,0,1,0,1,0,0,6 송성문,2,신정락,0
1,0,0,1,0,0,0,1,0,1,0,8 송성문,2,우규민,1
0,1,0,0,1,0,0,1,0,0,1,8 송성문,2,우규민,1
0,1,0,0,0,1,1,0,1,0,0,8 송성문,2,우규민,1
0,0,1,0,0,1,1,0,1,0,0,2 송성문,2,장필준,1
1,0,0,0,1,0,1,0,1,0,0,6 송성문,2,박종훈,2
0,1,0,0,1,0,0,1,0,1,0,6 송성문,2,박종훈,2
0,1,0,0,1,0,0,1,0,1,0,6 송성문,2,박종훈,2
0,0,1,1,0,0,0,1,1,0,0,6 송성문,2,정영일,0
0,0,1,0,0,1,0,1,0,0,1,9 송성문,2,김주한,2
0,0,1,0,0,1,0,1,0,1,0,4 송성문,2,박희수,4
1,0,0,0,0,1,0,1,1,0,0,8 송성문,2,린드블럼,1
0,1,0,1,0,0,0,1,1,0,0,8 송성문,2,린드블럼,1
0,1,0,1,0,0,1,0,1,0,0,8 송성문,2,박시영,3
0,0,1,1,0,0,0,1,1,0,0,5 송성문,2,박진태,-1
0,1,0,0,1,0,0,1,1,0,0,7 송성문,2,김승회,2
0,0,1,0,1,0,0,1,1,0,0,7 송성문,2,김강률,2
1,0,0,0,1,0,1,0,1,0,0,8 송성문,2,페트릭,-1
1,0,0,0,0,1,0,1,1,0,0,8 송성문,2,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,8 송성문,2,최충연,0
0,0,1,1,0,0,0,1,1,0,0,8 송성문,2,이용찬,1
0,0,1,0,1,0,1,0,1,0,0,7 송성문,2,박진형,2
0,0,1,0,1,0,0,1,0,1,0,2 송성문,2,구창모,2
0,0,1,1,0,0,0,1,0,1,0,2 송성문,2,이민호,2
0,0,1,1,0,0,0,1,1,0,0,4 송성문,2,이재학,2
0,1,0,0,1,0,1,0,0,0,1,3 송성문,2,백정현,0
0,0,1,1,0,0,0,1,0,0,1,3 송성문,2,페트릭,-1
0,0,1,1,0,0,1,0,0,1,0,3 송성문,2,장필준,1
0,0,1,1,0,0,0,1,1,0,0,8 송성문,2,박근홍,0
1,0,0,1,0,0,0,1,1,0,0,9 송성문,2,홍건희,0
1,0,0,0,1,0,0,1,0,1,0,9 송성문,2,서재응,-1
0,1,0,1,0,0,1,0,0,1,0,9 송성문,2,박준표,0
0,1,0,0,0,1,1,0,1,0,0,9 송성문,2,최영필,-1
1,0,0,0,0,1,0,1,1,0,0,8 송성문,2,험버,-1
0,1,0,0,1,0,1,0,1,0,0,8 송성문,2,험버,-1
0,1,0,0,1,0,0,1,0,1,0,8 송성문,2,임준혁,-1
1,0,0,0,1,0,0,1,1,0,0,9 송성문,2,린드블럼,1
0,1,0,1,0,0,0,1,1,0,0,9 송성문,2,린드블럼,1
1,0,0,0,1,0,1,0,1,0,0,9 송성문,2,이인복,3
0,1,0,0,1,0,0,1,1,0,0,9 송성문,2,홍성민,1
