1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,0,1,1,0,0,7 이지영,7,헥터,-1
0,1,0,1,0,0,0,1,1,0,0,7 이지영,7,헥터,-1
0,0,1,0,0,1,0,1,0,1,0,7 이지영,7,헥터,-1
1,0,0,0,0,1,1,0,1,0,0,7 이지영,7,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,7 이지영,7,팻딘,-1
0,0,1,0,1,0,1,0,1,0,0,7 이지영,7,팻딘,-1
1,0,0,1,0,0,1,0,0,1,0,7 이지영,7,김윤동,5
0,1,0,1,0,0,0,1,0,1,0,7 이지영,7,홍건희,3
0,1,0,0,0,1,0,1,0,1,0,7 이지영,7,홍건희,3
0,1,0,0,1,0,0,1,1,0,0,7 이지영,7,고효준,2
0,0,1,0,0,1,1,0,1,0,0,7 이지영,7,김광수,-1
1,0,0,0,0,1,0,1,1,0,0,7 이지영,7,차우찬,0
0,1,0,0,0,1,0,1,1,0,0,7 이지영,7,차우찬,0
0,1,0,0,1,0,0,1,1,0,0,7 이지영,7,차우찬,0
1,0,0,0,1,0,0,1,1,0,0,7 이지영,7,소사,-1
0,1,0,0,1,0,0,1,0,1,0,7 이지영,7,소사,-1
0,0,1,0,0,1,0,1,1,0,0,7 이지영,7,소사,-1
1,0,0,0,1,0,0,1,0,0,1,7 이지영,7,로치,-1
0,1,0,1,0,0,0,1,1,0,0,7 이지영,7,로치,-1
0,0,1,1,0,0,0,1,1,0,0,7 이지영,7,로치,-1
0,0,1,0,1,0,0,1,1,0,0,7 이지영,7,장시환,3
1,0,0,1,0,0,0,1,1,0,0,6 이지영,7,정대현,-1
0,1,0,0,1,0,0,1,0,1,0,6 이지영,7,정대현,-1
0,0,1,1,0,0,0,1,0,1,0,6 이지영,7,엄상백,3
0,0,1,1,0,0,0,1,0,1,0,6 이지영,7,김재윤,5
0,0,1,0,0,1,0,1,0,1,0,9 이지영,7,피어밴드,1
1,0,0,1,0,0,0,1,1,0,0,8 이지영,7,배영수,0
0,1,0,0,1,0,0,1,0,1,0,8 이지영,7,배영수,0
0,1,0,1,0,0,1,0,1,0,0,8 이지영,7,송창식,2
0,1,0,0,0,1,0,1,1,0,0,8 이지영,7,심수창,2
0,0,1,1,0,0,0,1,1,0,0,8 이지영,7,윤규진,2
1,0,0,0,1,0,0,1,1,0,0,5 이지영,7,오간도,-1
0,1,0,0,0,1,1,0,0,1,0,5 이지영,7,오간도,-1
0,0,1,1,0,0,0,1,1,0,0,5 이지영,7,오간도,-1
0,0,1,0,0,1,0,1,1,0,0,5 이지영,7,정우람,2
1,0,0,0,0,1,1,0,1,0,0,8 이지영,7,비야누에바,-1
0,1,0,1,0,0,1,0,1,0,0,8 이지영,7,비야누에바,-1
0,0,1,0,1,0,0,1,1,0,0,8 이지영,7,송창식,2
0,0,1,0,0,1,1,0,1,0,0,8 이지영,7,심수창,2
1,0,0,0,0,1,0,1,0,0,1,8 이지영,7,박진형,5
0,1,0,0,1,0,0,1,1,0,0,8 이지영,7,박진형,5
0,1,0,0,0,1,1,0,0,1,0,8 이지영,7,박진형,5
0,0,1,1,0,0,0,1,1,0,0,8 이지영,7,박시영,5
1,0,0,0,0,1,1,0,0,0,1,8 이지영,7,애디튼,-1
0,1,0,0,0,1,0,1,1,0,0,8 이지영,7,애디튼,-1
0,1,0,0,1,0,0,1,1,0,0,8 이지영,7,이정민,-1
0,0,1,0,0,1,1,0,1,0,0,8 이지영,7,박시영,5
1,0,0,0,0,1,1,0,1,0,0,8 이지영,7,박세웅,1
0,1,0,0,1,0,0,1,0,1,0,8 이지영,7,박세웅,1
0,1,0,0,1,0,1,0,1,0,0,8 이지영,7,배장호,3
0,0,1,1,0,0,0,1,1,0,0,8 이지영,7,송승준,0
1,0,0,0,0,1,1,0,1,0,0,8 이지영,7,함덕주,3
0,1,0,0,1,0,0,1,1,0,0,8 이지영,7,함덕주,3
0,0,1,1,0,0,0,1,0,0,1,8 이지영,7,김성배,-1
0,0,1,0,1,0,1,0,1,0,0,8 이지영,7,이용찬,1
0,0,1,1,0,0,0,1,1,0,0,8 이지영,7,김강률,3
1,0,0,0,1,0,0,1,1,0,0,8 이지영,7,니퍼트,4
0,1,0,1,0,0,0,1,1,0,0,8 이지영,7,니퍼트,4
0,0,1,1,0,0,0,1,1,0,0,8 이지영,7,이현승,2
0,0,1,0,1,0,0,1,1,0,0,8 이지영,7,이용찬,1
0,0,1,1,0,0,0,1,0,1,0,9 이지영,7,박지훈,6
0,0,1,0,1,0,0,1,0,1,0,9 이지영,7,손영민,-1
1,0,0,1,0,0,0,1,1,0,0,8 이지영,7,헥터,-1
0,1,0,0,0,1,0,1,0,0,1,8 이지영,7,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,8 이지영,7,헥터,-1
1,0,0,1,0,0,0,1,1,0,0,7 이지영,7,팻딘,-1
0,1,0,1,0,0,1,0,1,0,0,7 이지영,7,팻딘,-1
0,1,0,0,1,0,0,1,1,0,0,7 이지영,7,팻딘,-1
1,0,0,0,1,0,0,1,0,1,0,7 이지영,7,박종훈,1
0,1,0,0,0,1,1,0,1,0,0,7 이지영,7,박종훈,1
0,1,0,0,1,0,0,1,0,1,0,7 이지영,7,채병용,4
0,0,1,1,0,0,1,0,0,1,0,7 이지영,7,박정배,3
0,0,1,0,0,1,0,1,0,1,0,8 이지영,7,김주한,5
0,0,1,0,0,1,1,0,0,1,0,8 이지영,7,김성민,5
1,0,0,1,0,0,0,1,1,0,0,7 이지영,7,다이아몬드,-1
1,0,0,0,0,1,0,1,1,0,0,7 이지영,7,다이아몬드,-1
0,1,0,0,0,1,1,0,1,0,0,7 이지영,7,박정배,3
1,0,0,0,1,0,1,0,1,0,0,8 이지영,7,유희관,4
0,1,0,1,0,0,0,1,1,0,0,8 이지영,7,유희관,4
0,0,1,0,1,0,0,1,1,0,0,8 이지영,7,유희관,4
0,0,1,0,0,1,0,1,1,0,0,8 이지영,7,김성배,-1
1,0,0,1,0,0,1,0,1,0,0,8 이지영,7,니퍼트,4
0,1,0,0,0,1,0,1,0,1,0,8 이지영,7,니퍼트,4
0,0,1,0,1,0,0,1,1,0,0,8 이지영,7,김성배,-1
1,0,0,0,1,0,0,1,1,0,0,8 이지영,7,해커,2
0,1,0,0,0,1,0,1,1,0,0,8 이지영,7,해커,2
0,0,1,0,0,1,0,1,0,1,0,8 이지영,7,해커,2
0,0,1,0,0,1,0,1,1,0,0,8 이지영,7,임창민,3
1,0,0,0,1,0,1,0,1,0,0,8 이지영,7,구창모,3
0,1,0,1,0,0,0,1,1,0,0,8 이지영,7,장현식,3
0,1,0,0,1,0,1,0,1,0,0,8 이지영,7,윤수호,6
0,0,1,0,1,0,1,0,1,0,0,8 이지영,7,강윤구,1
1,0,0,0,0,1,1,0,0,0,1,8 이지영,7,최금강,-1
