1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,1,0,0,1,1,0,0,2 이택근,0,소사,-1
0,1,0,0,1,0,0,1,0,0,1,2 이택근,0,소사,-1
0,1,0,0,1,0,0,1,1,0,0,2 이택근,0,소사,-1
0,0,1,0,0,1,0,1,1,0,0,2 이택근,0,진해수,0
1,0,0,1,0,0,1,0,1,0,0,2 이택근,0,류제국,2
1,0,0,0,0,1,0,1,1,0,0,2 이택근,0,류제국,2
0,1,0,0,1,0,0,1,1,0,0,2 이택근,0,류제국,2
0,0,1,1,0,0,0,1,0,1,0,2 이택근,0,김지용,2
1,0,0,1,0,0,0,1,1,0,0,7 이택근,0,윤지웅,2
0,1,0,0,1,0,0,1,1,0,0,7 이택근,0,윤지웅,2
0,0,1,1,0,0,0,1,1,0,0,7 이택근,0,신정락,0
0,0,1,1,0,0,0,1,1,0,0,8 이택근,0,윤길현,2
1,0,0,0,0,1,0,1,0,1,0,3 이택근,0,레일리,1
0,1,0,1,0,0,0,1,1,0,0,3 이택근,0,레일리,1
0,1,0,0,0,1,0,1,0,1,0,3 이택근,0,레일리,1
0,0,1,1,0,0,1,0,1,0,0,3 이택근,0,노경은,-1
1,0,0,0,1,0,0,1,1,0,0,7 이택근,0,유희관,2
1,0,0,0,1,0,0,1,1,0,0,7 이택근,0,유희관,2
0,1,0,1,0,0,0,1,1,0,0,7 이택근,0,유희관,2
0,0,1,0,1,0,1,0,0,0,1,7 이택근,0,이용찬,1
0,0,1,0,0,1,0,1,1,0,0,7 이택근,0,김승회,2
0,1,0,0,0,1,1,0,0,1,0,9 이택근,0,심재민,-1
1,0,0,0,0,1,1,0,1,0,0,7 이택근,0,팻딘,-1
0,1,0,1,0,0,0,1,1,0,0,7 이택근,0,팻딘,-1
0,1,0,0,1,0,1,0,0,1,0,7 이택근,0,팻딘,-1
0,0,1,1,0,0,0,1,1,0,0,7 이택근,0,팻딘,-1
1,0,0,1,0,0,0,1,1,0,0,7 이택근,0,양현종,1
0,1,0,0,1,0,1,0,0,1,0,7 이택근,0,양현종,1
0,0,1,0,0,1,0,1,1,0,0,7 이택근,0,양현종,1
0,0,1,0,1,0,0,1,1,0,0,7 이택근,0,김윤동,2
0,0,1,0,1,0,1,0,0,1,0,9 이택근,0,심동섭,-1
1,0,0,0,0,1,1,0,0,1,0,7 이택근,0,다이아몬드,-1
0,1,0,0,1,0,1,0,1,0,0,7 이택근,0,다이아몬드,-1
0,0,1,1,0,0,0,1,1,0,0,7 이택근,0,채병용,2
0,0,1,1,0,0,0,1,1,0,0,7 이택근,0,서진용,2
0,0,1,1,0,0,1,0,1,0,0,9 이택근,0,임준혁,-1
0,0,1,0,0,1,0,1,1,0,0,8 이택근,0,박세웅,2
1,0,0,1,0,0,0,1,1,0,0,1 이택근,0,레일리,1
1,0,0,0,0,1,0,1,0,0,1,1 이택근,0,레일리,1
0,1,0,0,0,1,1,0,1,0,0,1 이택근,0,레일리,1
0,0,1,1,0,0,0,1,0,1,0,1 이택근,0,윤길현,2
0,0,1,0,1,0,0,1,0,1,0,9 이택근,0,이용찬,1
1,0,0,1,0,0,0,1,0,1,0,7 이택근,0,보우덴,-1
0,1,0,0,1,0,1,0,0,1,0,7 이택근,0,보우덴,-1
0,1,0,0,0,1,0,1,0,0,1,7 이택근,0,박치국,2
0,0,1,0,1,0,0,1,1,0,0,7 이택근,0,김승회,2
1,0,0,0,1,0,0,1,1,0,0,2 이택근,0,송은범,2
1,0,0,1,0,0,0,1,0,0,1,2 이택근,0,송은범,2
0,1,0,1,0,0,1,0,0,1,0,2 이택근,0,송은범,2
0,1,0,0,0,1,1,0,1,0,0,2 이택근,0,송신영,-1
0,0,1,1,0,0,0,1,0,0,1,2 이택근,0,박정진,-1
1,0,0,0,0,1,0,1,1,0,0,7 이택근,0,이태양,0
1,0,0,0,1,0,0,1,1,0,0,7 이택근,0,이태양,0
0,1,0,1,0,0,1,0,0,1,0,7 이택근,0,송창식,0
0,0,1,0,0,1,0,1,0,0,1,7 이택근,0,윤규진,2
1,0,0,1,0,0,0,1,1,0,0,1 이택근,0,양현종,1
1,0,0,0,0,1,0,1,0,1,0,1 이택근,0,양현종,1
0,1,0,0,1,0,0,1,1,0,0,1 이택근,0,양현종,1
0,0,1,0,0,1,0,1,1,0,0,1 이택근,0,양현종,1
0,0,1,0,1,0,1,0,1,0,0,1 이택근,0,김윤동,2
0,0,1,1,0,0,0,1,1,0,0,3 이택근,0,손영민,-1
0,0,1,0,1,0,0,1,1,0,0,3 이택근,0,김광수,-1
1,0,0,0,1,0,0,1,1,0,0,2 이택근,0,김태훈,2
1,0,0,0,1,0,0,1,0,1,0,2 이택근,0,김태훈,2
0,1,0,0,1,0,0,1,1,0,0,2 이택근,0,채병용,2
0,1,0,0,0,1,0,1,1,0,0,2 이택근,0,박희수,4
0,0,1,0,1,0,1,0,1,0,0,7 이택근,0,임창민,1
0,0,1,0,1,0,0,1,1,0,0,1 이택근,0,이승현,2
0,0,1,0,0,1,1,0,1,0,0,7 이택근,0,안영명,2
0,0,1,1,0,0,0,1,1,0,0,1 이택근,0,정우람,4
0,0,1,1,0,0,1,0,0,1,0,6 이택근,0,정우람,4
1,0,0,1,0,0,0,1,1,0,0,4 이택근,0,정성곤,0
1,0,0,0,0,1,0,1,0,1,0,4 이택근,0,정성곤,0
0,1,0,1,0,0,0,1,1,0,0,4 이택근,0,이상화,0
0,0,1,0,1,0,1,0,0,1,0,4 이택근,0,조근종,-1
1,0,0,0,0,1,1,0,1,0,0,4 이택근,0,김사율,-1
1,0,0,1,0,0,1,0,1,0,0,4 이택근,0,김사율,-1
0,1,0,1,0,0,0,1,0,1,0,4 이택근,0,김사율,-1
0,1,0,0,1,0,0,1,1,0,0,8 이택근,0,최금강,-1
