1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,2 장영석,0,임정호,-1
1,0,0,0,1,0,1,0,0,0,1,6 장영석,0,강윤구,1
0,1,0,0,1,0,0,1,1,0,0,6 장영석,0,윤수호,6
1,0,0,1,0,0,0,1,0,1,0,7 장영석,0,백정현,1
0,1,0,0,1,0,0,1,1,0,0,7 장영석,0,백정현,1
0,0,1,0,0,1,0,1,0,0,1,3 장영석,0,이현승,2
1,0,0,1,0,0,1,0,0,1,0,7 장영석,0,장원준,0
1,0,0,0,0,1,1,0,0,0,1,7 장영석,0,장원준,0
0,1,0,0,1,0,0,1,1,0,0,7 장영석,0,장원준,0
0,0,1,0,1,0,0,1,1,0,0,3 장영석,0,함덕주,3
0,0,1,0,1,0,0,1,1,0,0,8 장영석,0,김윤동,5
0,0,1,0,1,0,1,0,0,0,1,7 장영석,0,임기준,5
0,0,1,0,1,0,1,0,1,0,0,7 장영석,0,남재현,-1
1,0,0,1,0,0,0,1,0,0,1,8 장영석,0,정용운,6
0,1,0,0,1,0,1,0,1,0,0,8 장영석,0,정용운,6
0,1,0,0,1,0,0,1,0,0,1,8 장영석,0,고효준,2
0,0,1,0,0,1,0,1,0,0,1,8 장영석,0,박진태,-1
0,0,1,1,0,0,1,0,1,0,0,8 장영석,0,김윤동,5
1,0,0,1,0,0,1,0,0,0,1,8 장영석,0,로치,-1
1,0,0,0,0,1,0,1,1,0,0,8 장영석,0,로치,-1
0,1,0,1,0,0,0,1,1,0,0,8 장영석,0,로치,-1
0,0,1,0,0,1,1,0,0,0,1,8 장영석,0,조무근,5
1,0,0,1,0,0,0,1,1,0,0,9 장영석,0,류희운,5
0,1,0,1,0,0,1,0,1,0,0,9 장영석,0,류희운,5
0,1,0,0,0,1,0,1,1,0,0,9 장영석,0,김사율,-1
1,0,0,0,1,0,0,1,0,1,0,8 장영석,0,피어밴드,1
0,1,0,1,0,0,0,1,1,0,0,8 장영석,0,피어밴드,1
0,0,1,1,0,0,1,0,0,1,0,8 장영석,0,이상화,5
0,0,1,0,1,0,1,0,0,1,0,8 장영석,0,김재윤,5
1,0,0,1,0,0,0,1,1,0,0,8 장영석,0,소사,-1
0,1,0,0,0,1,0,1,1,0,0,8 장영석,0,소사,-1
0,1,0,0,1,0,0,1,0,1,0,8 장영석,0,소사,-1
0,0,1,0,0,1,0,1,0,1,0,8 장영석,0,고우석,6
1,0,0,0,0,1,0,1,1,0,0,6 장영석,0,김대현,5
0,1,0,0,1,0,0,1,0,0,1,6 장영석,0,김대현,5
0,0,1,0,1,0,1,0,1,0,0,6 장영석,0,김대현,5
1,0,0,0,0,1,1,0,0,1,0,8 장영석,0,류제국,1
0,1,0,0,1,0,1,0,0,1,0,8 장영석,0,류제국,1
0,0,1,1,0,0,0,1,0,0,1,8 장영석,0,류제국,1
0,0,1,1,0,0,0,1,1,0,0,8 장영석,0,이동현,2
