1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,0,1,1,0,0,9 주효상,2,서진용,5
1,0,0,0,0,1,1,0,0,0,1,9 주효상,2,윤희상,2
0,1,0,0,0,1,1,0,1,0,0,9 주효상,2,윤희상,2
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,김성민,5
1,0,0,0,1,0,1,0,1,0,0,9 주효상,2,애디튼,-1
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,애디튼,-1
0,0,1,1,0,0,0,1,1,0,0,9 주효상,2,박시영,5
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,박세웅,1
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,레일리,2
0,1,0,0,1,0,1,0,1,0,0,9 주효상,2,레일리,2
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,윤길현,2
0,0,1,0,1,0,0,1,0,1,0,9 주효상,2,강동호,-1
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,홍상삼,3
1,0,0,1,0,0,0,1,0,0,1,9 주효상,2,홍상삼,3
0,1,0,1,0,0,0,1,0,0,1,9 주효상,2,김성배,-1
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,김성배,-1
0,0,1,0,1,0,0,1,0,1,0,9 주효상,2,김승회,2
1,0,0,0,0,1,0,1,1,0,0,9 주효상,2,유희관,4
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,유희관,4
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,보우덴,-1
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,보우덴,-1
0,1,0,0,0,1,1,0,0,1,0,9 주효상,2,이현호,5
0,0,1,0,0,1,1,0,0,1,0,9 주효상,2,김승회,2
1,0,0,0,1,0,1,0,0,0,1,8 주효상,2,오간도,-1
1,0,0,0,1,0,0,1,0,0,1,8 주효상,2,오간도,-1
0,1,0,1,0,0,0,1,1,0,0,8 주효상,2,송창식,2
0,0,1,0,1,0,0,1,0,1,0,8 주효상,2,권혁,2
0,0,1,0,1,0,0,1,1,0,0,8 주효상,2,이동걸,-1
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,헥터,-1
1,0,0,0,1,0,0,1,1,0,0,8 주효상,2,최충연,5
0,1,0,0,1,0,0,1,1,0,0,8 주효상,2,최충연,5
1,0,0,1,0,0,0,1,0,0,1,8 주효상,2,류제국,1
0,1,0,1,0,0,1,0,0,1,0,8 주효상,2,류제국,1
0,0,1,1,0,0,0,1,1,0,0,8 주효상,2,류제국,1
1,0,0,0,1,0,1,0,1,0,0,9 주효상,2,니퍼트,4
1,0,0,1,0,0,1,0,1,0,0,8 주효상,2,함덕주,3
1,0,0,0,1,0,1,0,1,0,0,8 주효상,2,이영하,5
0,1,0,0,1,0,0,1,0,1,0,8 주효상,2,김승회,2
0,0,1,0,0,1,0,1,0,1,0,8 주효상,2,김주한,5
0,0,1,0,1,0,1,0,0,1,0,4 주효상,2,김대유,-1
1,0,0,1,0,0,1,0,1,0,0,8 주효상,2,팻딘,-1
1,0,0,0,1,0,0,1,1,0,0,8 주효상,2,팻딘,-1
0,1,0,1,0,0,0,1,1,0,0,8 주효상,2,박진태,-1
0,0,1,0,0,1,0,1,1,0,0,8 주효상,2,박진태,-1
1,0,0,0,0,1,0,1,1,0,0,8 주효상,2,노경은,-1
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,김재영,5
1,0,0,0,0,1,0,1,0,1,0,9 주효상,2,김재영,5
0,1,0,1,0,0,1,0,0,1,0,9 주효상,2,심수창,2
0,1,0,0,0,1,1,0,1,0,0,9 주효상,2,강승현,-1
0,0,1,1,0,0,0,1,1,0,0,9 주효상,2,강승현,-1
1,0,0,0,1,0,1,0,0,0,1,9 주효상,2,백정현,1
1,0,0,0,1,0,0,1,0,1,0,9 주효상,2,임기영,3
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,임기영,3
0,1,0,0,1,0,1,0,1,0,0,9 주효상,2,임기영,3
0,0,1,0,1,0,1,0,1,0,0,9 주효상,2,김재윤,5
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,소사,-1
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,소사,-1
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,최성훈,5
0,0,1,0,0,1,1,0,1,0,0,9 주효상,2,고우석,6
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,안성무,-1
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,안성무,-1
0,0,1,1,0,0,0,1,1,0,0,9 주효상,2,김대우,3
0,0,1,0,1,0,0,1,1,0,0,9 주효상,2,김승현,6
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,백정현,1
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,백정현,1
0,1,0,0,0,1,1,0,1,0,0,9 주효상,2,최충연,5
1,0,0,0,0,1,0,1,1,0,0,9 주효상,2,레일리,2
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,레일리,2
0,0,1,1,0,0,1,0,1,0,0,9 주효상,2,박진태,-1
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,장원준,0
0,1,0,0,1,0,1,0,1,0,0,9 주효상,2,장원준,0
0,1,0,0,0,1,1,0,1,0,0,9 주효상,2,장원준,0
0,0,1,0,0,1,0,1,1,0,0,9 주효상,2,이영하,5
0,0,1,0,1,0,0,1,1,0,0,9 주효상,2,박정진,-1
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,김재영,5
0,1,0,1,0,0,1,0,0,1,0,9 주효상,2,김재영,5
0,1,0,1,0,0,0,1,0,1,0,9 주효상,2,심수창,2
0,0,1,0,0,1,0,1,0,1,0,9 주효상,2,심수창,2
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,김대우,3
0,1,0,1,0,0,0,1,0,1,0,9 주효상,2,김동호,-1
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,임대한,-1
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,최충연,5
0,0,1,0,0,1,0,1,1,0,0,9 주효상,2,권오준,1
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,레일리,2
0,1,0,0,1,0,1,0,1,0,0,9 주효상,2,레일리,2
0,1,0,0,1,0,1,0,1,0,0,9 주효상,2,레일리,2
0,0,1,0,1,0,0,1,1,0,0,9 주효상,2,이명우,-1
1,0,0,0,1,0,1,0,1,0,0,9 주효상,2,장현식,3
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,장현식,3
0,0,1,0,1,0,1,0,1,0,0,9 주효상,2,장현식,3
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,페트릭,-1
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,페트릭,-1
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,우규민,4
0,1,0,0,0,1,1,0,1,0,0,9 주효상,2,우규민,4
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,우규민,4
0,0,1,0,1,0,1,0,1,0,0,9 주효상,2,김강률,3
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,린드블럼,1
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,린드블럼,1
0,1,0,0,1,0,0,1,0,1,0,9 주효상,2,린드블럼,1
1,0,0,0,0,1,1,0,0,1,0,9 주효상,2,켈리,6
0,1,0,0,0,1,1,0,1,0,0,9 주효상,2,켈리,6
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,켈리,6
0,0,1,1,0,0,1,0,0,0,1,9 주효상,2,김주한,5
1,0,0,0,0,1,0,1,0,0,1,9 주효상,2,소사,-1
0,1,0,0,1,0,0,1,0,1,0,9 주효상,2,소사,-1
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,허프,-1
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,허프,-1
1,0,0,1,0,0,0,1,0,1,0,9 주효상,2,박세진,6
0,1,0,1,0,0,1,0,1,0,0,9 주효상,2,이종혁,6
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,로치,-1
0,1,0,0,1,0,0,1,0,1,0,9 주효상,2,로치,-1
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,허프,-1
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,허프,-1
1,0,0,0,0,1,1,0,0,0,1,9 주효상,2,류제국,1
0,1,0,0,0,1,0,1,1,0,0,9 주효상,2,류제국,1
1,0,0,0,0,1,1,0,1,0,0,9 주효상,2,로치,-1
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,로치,-1
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,구창모,3
1,0,0,0,0,1,1,0,0,1,0,9 주효상,2,이재학,2
0,1,0,0,0,1,0,1,0,0,1,9 주효상,2,이재학,2
0,1,0,1,0,0,0,1,1,0,0,9 주효상,2,민태호,6
0,0,1,0,1,0,1,0,1,0,0,9 주효상,2,강윤구,1
0,0,1,0,1,0,1,0,1,0,0,9 주효상,2,임정호,-1
1,0,0,0,1,0,0,1,1,0,0,9 주효상,2,레일리,2
0,0,1,0,1,0,0,1,1,0,0,8 주효상,2,임창민,3
1,0,0,1,0,0,0,1,1,0,0,9 주효상,2,해커,2
0,1,0,0,1,0,0,1,1,0,0,9 주효상,2,해커,2
0,0,1,1,0,0,0,1,1,0,0,9 주효상,2,임정호,-1
0,0,1,0,1,0,0,1,0,1,0,7 주효상,2,이성민,-1
1,0,0,1,0,0,0,1,1,0,0,8 주효상,2,박진형,5
0,1,0,0,0,1,1,0,1,0,0,8 주효상,2,박진형,5
0,1,0,0,1,0,0,1,0,0,1,8 주효상,2,강영식,-1
0,0,1,1,0,0,0,1,0,1,0,8 주효상,2,이정민,-1
0,0,1,0,0,1,1,0,1,0,0,8 주효상,2,박시영,5
0,0,1,1,0,0,0,1,1,0,0,9 주효상,2,이재우,-1
0,0,1,0,1,0,1,0,1,0,0,4 주효상,2,이준형,6
0,0,1,0,0,1,0,1,1,0,0,1 주효상,2,문승원,3
0,0,1,1,0,0,1,0,1,0,0,8 주효상,2,홍상삼,3
0,0,1,0,1,0,0,1,0,1,0,8 주효상,2,배우열,6
0,0,1,0,1,0,0,1,1,0,0,7 주효상,2,박한길,-1
0,0,1,0,0,1,0,1,1,0,0,7 주효상,2,박한길,-1
0,0,1,0,0,1,0,1,1,0,0,8 주효상,2,임창용,-1
0,1,0,0,1,0,0,1,0,1,0,8 주효상,2,해커,2
0,0,1,0,0,1,1,0,1,0,0,8 주효상,2,해커,2
0,0,1,0,0,1,1,0,1,0,0,8 주효상,2,배재환,6
0,0,1,1,0,0,0,1,1,0,0,8 주효상,2,윤길현,2
0,0,1,0,1,0,0,1,1,0,0,1 주효상,2,홍성민,5
