1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 서건창,4,소사,1
0,1,0,1,0,0,0,1,1,0,0,1 서건창,4,소사,1
0,1,0,0,1,0,1,0,0,0,1,1 서건창,4,소사,1
0,0,1,0,1,0,0,1,1,0,0,1 서건창,4,진해수,0
1,0,0,1,0,0,0,1,0,0,1,1 서건창,4,류제국,-1
1,0,0,0,1,0,0,1,1,0,0,1 서건창,4,류제국,-1
0,1,0,1,0,0,0,1,1,0,0,1 서건창,4,류제국,-1
0,1,0,0,0,1,0,1,1,0,0,1 서건창,4,김지용,-1
0,0,1,1,0,0,0,1,1,0,0,1 서건창,4,최성훈,-1
1,0,0,1,0,0,0,1,1,0,0,1 서건창,4,윤지웅,4
0,1,0,1,0,0,0,1,1,0,0,1 서건창,4,윤지웅,4
0,1,0,0,0,1,0,1,0,0,1,1 서건창,4,최동환,2
1,0,0,1,0,0,0,1,1,0,0,1 서건창,4,박세웅,-1
1,0,0,0,1,0,0,1,0,1,0,1 서건창,4,박세웅,-1
0,1,0,0,0,1,0,1,1,0,0,1 서건창,4,박세웅,-1
0,0,1,0,0,1,0,1,0,0,1,1 서건창,4,박세웅,-1
0,0,1,0,0,1,0,1,1,0,0,1 서건창,4,윤길현,2
1,0,0,1,0,0,0,1,1,0,0,1 서건창,4,레일리,-1
1,0,0,0,1,0,0,1,1,0,0,1 서건창,4,레일리,-1
0,1,0,1,0,0,0,1,1,0,0,1 서건창,4,레일리,-1
0,0,1,0,0,1,0,1,1,0,0,1 서건창,4,이명우,0
1,0,0,0,0,1,0,1,0,1,0,3 서건창,4,니퍼트,1
0,1,0,1,0,0,0,1,0,1,0,3 서건창,4,니퍼트,1
0,1,0,0,1,0,0,1,1,0,0,3 서건창,4,니퍼트,1
0,0,1,1,0,0,0,1,0,1,0,3 서건창,4,이현호,-1
0,0,1,0,1,0,0,1,0,1,0,3 서건창,4,홍상삼,-1
1,0,0,1,0,0,0,1,0,1,0,3 서건창,4,유희관,1
1,0,0,0,1,0,0,1,1,0,0,3 서건창,4,유희관,1
0,1,0,1,0,0,0,1,1,0,0,3 서건창,4,유희관,1
0,0,1,0,1,0,1,0,1,0,0,3 서건창,4,김명신,-1
0,0,1,1,0,0,0,1,1,0,0,3 서건창,4,김승회,0
0,0,1,0,1,0,0,1,1,0,0,3 서건창,4,김성배,-1
1,0,0,0,0,1,0,1,1,0,0,3 서건창,4,고원준,-1
1,0,0,0,1,0,1,0,1,0,0,3 서건창,4,이현호,-1
1,0,0,0,0,1,1,0,0,1,0,3 서건창,4,김명신,-1
0,1,0,0,0,1,1,0,0,1,0,3 서건창,4,김명신,-1
0,0,1,0,0,1,0,1,1,0,0,3 서건창,4,김명신,-1
1,0,0,0,0,1,0,1,0,1,0,3 서건창,4,주권,-1
1,0,0,0,1,0,0,1,1,0,0,3 서건창,4,주권,-1
0,1,0,1,0,0,0,1,0,0,1,3 서건창,4,주권,-1
