3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2 장영석,3,임정호,A
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,6 장영석,3,강윤구,A
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,6 장영석,3,윤수호,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,7 장영석,3,백정현,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7 장영석,3,백정현,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3 장영석,3,이현승,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,7 장영석,3,장원준,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,7 장영석,3,장원준,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,7 장영석,3,장원준,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3 장영석,3,함덕주,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 장영석,3,김윤동,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,7 장영석,3,임기준,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,7 장영석,3,남재현,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8 장영석,3,정용운,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,8 장영석,3,정용운,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,8 장영석,3,고효준,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8 장영석,3,박진태,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,8 장영석,3,김윤동,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,8 장영석,3,로치,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,8 장영석,3,로치,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 장영석,3,로치,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,8 장영석,3,조무근,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 장영석,3,류희운,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,9 장영석,3,류희운,A
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9 장영석,3,김사율,A
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,8 장영석,3,피어밴드,A
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 장영석,3,피어밴드,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,8 장영석,3,이상화,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,8 장영석,3,김재윤,A
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8 장영석,3,소사,A
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,8 장영석,3,소사,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8 장영석,3,소사,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,8 장영석,3,고우석,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6 장영석,3,김대현,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6 장영석,3,김대현,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,6 장영석,3,김대현,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,8 장영석,3,류제국,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,8 장영석,3,류제국,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,8 장영석,3,류제국,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 장영석,3,이동현,A
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,7 장영석,3,안성무,A
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,7 장영석,3,안성무,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,7 장영석,3,김대우,A
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,7 장영석,3,김대우,A
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,8 장영석,3,임대한,A
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 장영석,3,김승현,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,8 장영석,3,백정현,A
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,8 장영석,3,백정현,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,8 장영석,3,최충연,A
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,8 장영석,3,장원삼,A
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,8 장영석,3,장필준,A
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,7 장영석,3,박종훈,A
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,7 장영석,3,박종훈,A
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,8 장영석,3,문승원,A
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 장영석,3,문승원,A
