3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7 °­¹Î±¹,-1,±Ç¿ÀÁØ,2
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7 °­¹Î±¹,-1,Á¤¿µÀÏ,-1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,5 °­¹Î±¹,-1,È«¼º¿ë,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,7 °­¹Î±¹,-1,¹ÚÁ¤Áø,-1
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8 °­¹Î±¹,-1,È²Àç±Ô,-1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,8 °­¹Î±¹,-1,È²Àç±Ô,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8 °­¹Î±¹,-1,Á¤Àç¿ø,4
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,8 °­¹Î±¹,-1,Á¤Àç¿ø,4
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,8 °­¹Î±¹,-1,Á¤¿ì¶÷,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,5 °­¹Î±¹,-1,°­½ÂÇö,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1 °­¹Î±¹,-1,È«¼º¹Î,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1 °­¹Î±¹,-1,±Ç¿ÀÁØ,2
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 °­¹Î±¹,-1,±èÁ¤ÈÆ,-1
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 °­¹Î±¹,-1,°ûÁ¤Ã¶,-1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1 °­¹Î±¹,-1,¼ÛÀº¹ü,3
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1 °­¹Î±¹,-1,Á¤´ëÈÆ,-1
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1 °­¹Î±¹,-1,±è¿ëÁÖ,-1
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,8 °­¹Î±¹,-1,À±±ÔÁø,3
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,8 °­¹Î±¹,-1,À±±ÔÁø,3
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8 °­¹Î±¹,-1,À±±ÔÁø,3
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,8 °­¹Î±¹,-1,¹ÚÁ¤Áø,-1
0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,9 °­¹Î±¹,-1,¹êÇìÄË,-1
0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,9 °­¹Î±¹,-1,¹êÇìÄË,-1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9 °­¹Î±¹,-1,±è»ó¼ö,-1
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,5 °­¹Î±¹,-1,¹è¿ì¿­,-1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5 °­¹Î±¹,-1,Ã¤º´¿ë,2
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1 °­¹Î±¹,-1,Á¶»ó¿ì,-1
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1 °­¹Î±¹,-1,±è¼¼Çö,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1 °­¹Î±¹,-1,±èÇö¿ì,-1
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 °­¹Î±¹,-1,¸¶Á¤±æ,-1
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8 °­¹Î±¹,-1,À±±æÇö,2
