1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,1,0,0,0,1,7 ±è¹ÎÇõ,-1,¹ÚÁ¾ÈÆ,-1
0,0,1,0,1,0,1,0,1,0,0,7 ±è¹ÎÇõ,-1,¹Ú¹ÎÈ£,-1
0,0,1,1,0,0,0,1,1,0,0,4 ±è¹ÎÇõ,-1,±èµ¿È£,-1
0,0,1,0,1,0,0,1,1,0,0,5 ±è¹ÎÇõ,-1,È«°ÇÈñ,-1
0,0,1,0,0,1,1,0,1,0,0,2 ±è¹ÎÇõ,-1,ÃÖ¿µÇÊ,-1
0,0,1,0,1,0,0,1,1,0,0,7 ±è¹ÎÇõ,-1,±è¼¼Çö,0
0,1,0,0,1,0,0,1,1,0,0,8 ±è¹ÎÇõ,-1,¹ÚÁ¾ÈÆ,-1
0,0,1,1,0,0,0,1,0,1,0,9 ±è¹ÎÇõ,-1,±èÁø¼º,0
1,0,0,0,1,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,ÀÌÀçÇÐ,5
1,0,0,1,0,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,ÀÌÀçÇÐ,5
0,1,0,1,0,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,ÀÌÀçÇÐ,5
0,0,1,0,0,1,1,0,1,0,0,2 ±è¹ÎÇõ,-1,ÃÖ±Ý°­,0
0,0,1,0,1,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,¹ÚÁØÇ¥,-1
1,0,0,0,0,1,0,1,1,0,0,9 ±è¹ÎÇõ,-1,ÀÌÀçÇÐ,5
0,1,0,0,1,0,1,0,1,0,0,9 ±è¹ÎÇõ,-1,ÀÌÀçÇÐ,5
0,0,1,0,1,0,0,1,1,0,0,2 ±è¹ÎÇõ,-1,½Å½ÂÇö,-1
1,0,0,1,0,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,·ùÁ¦±¹,-1
1,0,0,0,0,1,0,1,1,0,0,2 ±è¹ÎÇõ,-1,·ùÁ¦±¹,-1
1,0,0,0,1,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,¿ì±Ô¹Î,0
1,0,0,0,0,1,1,0,1,0,0,2 ±è¹ÎÇõ,-1,¿ì±Ô¹Î,0
0,1,0,1,0,0,0,1,1,0,0,2 ±è¹ÎÇõ,-1,¿ì±Ô¹Î,0
0,1,0,0,0,1,0,1,1,0,0,2 ±è¹ÎÇõ,-1,ÃÖµ¿È¯,2
0,0,1,0,1,0,0,1,1,0,0,2 ±è¹ÎÇõ,-1,ÃÖµ¿È¯,2
0,0,1,0,0,1,1,0,0,0,1,4 ±è¹ÎÇõ,-1,½Å½ÂÇö,-1
1,0,0,0,0,1,0,1,1,0,0,9 ±è¹ÎÇõ,-1,´ÏÆÛÆ®,1
0,1,0,0,1,0,1,0,1,0,0,9 ±è¹ÎÇõ,-1,´ÏÆÛÆ®,1
0,0,1,0,1,0,0,1,1,0,0,9 ±è¹ÎÇõ,-1,´ÏÆÛÆ®,1
0,0,1,0,0,1,1,0,1,0,0,9 ±è¹ÎÇõ,-1,Á¤ÀçÈÆ,-1
0,0,1,0,1,0,0,1,1,0,0,3 ±è¹ÎÇõ,-1,¿øÁ¾Çö,-1
0,0,1,0,1,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,ÀÓÃ¢¹Î,4
0,1,0,0,1,0,1,0,1,0,0,9 ±è¹ÎÇõ,-1,¿øÁ¾Çö,-1
0,0,1,1,0,0,0,1,0,1,0,9 ±è¹ÎÇõ,-1,½Å¿ë¿î,-1
0,0,1,1,0,0,0,1,0,0,1,9 ±è¹ÎÇõ,-1,¹ÚÁØÇ¥,-1
1,0,0,1,0,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,Çè¹ö,-1
0,1,0,1,0,0,0,1,0,0,1,2 ±è¹ÎÇõ,-1,Çè¹ö,-1
0,1,0,1,0,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,Çè¹ö,-1
0,0,1,1,0,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,ÃÖ¿µÇÊ,-1
0,0,1,0,0,1,0,1,1,0,0,2 ±è¹ÎÇõ,-1,½Éµ¿¼·,4
1,0,0,0,1,0,0,1,1,0,0,2 ±è¹ÎÇõ,-1,¹®°æÂù,-1
0,1,0,1,0,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,¹®°æÂù,-1
1,0,0,0,1,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,ÄÌ¸®,-1
1,0,0,0,0,1,0,1,0,1,0,2 ±è¹ÎÇõ,-1,ÄÌ¸®,-1
0,1,0,0,1,0,0,1,1,0,0,2 ±è¹ÎÇõ,-1,ÄÌ¸®,-1
1,0,0,1,0,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,¹ê¿ÍÆ®,-1
1,0,0,0,1,0,1,0,1,0,0,2 ±è¹ÎÇõ,-1,¹ê¿ÍÆ®,-1
0,1,0,0,1,0,0,1,1,0,0,2 ±è¹ÎÇõ,-1,¹ê¿ÍÆ®,-1
0,0,1,1,0,0,0,1,0,1,0,2 ±è¹ÎÇõ,-1,Ã¤º´¿ë,2
