1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,0,1,0,1,0,1,0,8 ╠Хебхф,-1,╫и╣©╪╥,-1
1,0,0,0,0,1,0,1,1,0,0,3 ╠Хебхф,-1,╧╝╟ФбЫ,6
0,1,0,1,0,0,1,0,1,0,0,3 ╠Хебхф,-1,╧╝╟ФбЫ,6
0,1,0,0,0,1,1,0,1,0,0,3 ╠Хебхф,-1,юсаь╪╥,3
0,0,1,1,0,0,0,1,1,0,0,3 ╠Хебхф,-1,ю╠╪╝╧н,4
0,1,0,0,1,0,0,1,1,0,0,6 ╠Хебхф,-1,юЭю╞╪Ж,3
1,0,0,1,0,0,0,1,1,0,0,6 ╠Хебхф,-1,дл╦╝,6
0,1,0,0,0,1,0,1,1,0,0,6 ╠Хебхф,-1,дл╦╝,6
0,0,1,0,1,0,1,0,0,1,0,6 ╠Хебхф,-1,дл╦╝,6
1,0,0,1,0,0,0,1,1,0,0,5 ╠Хебхф,-1,╧Й©мф╝,-1
0,1,0,1,0,0,0,1,1,0,0,5 ╠Хебхф,-1,╧Й©мф╝,-1
0,1,0,1,0,0,0,1,1,0,0,5 ╠Хебхф,-1,ц╓╨╢©К,4
0,0,1,0,0,1,1,0,1,0,0,5 ╠Хебхф,-1,ц╓╨╢©К,4
1,0,0,1,0,0,0,1,1,0,0,6 ╠Хебхф,-1,гягЖхЯ,1
0,1,0,0,1,0,1,0,1,0,0,6 ╠Хебхф,-1,гягЖхЯ,1
0,0,1,0,1,0,0,1,1,0,0,6 ╠Хебхф,-1,гягЖхЯ,1
0,0,1,0,0,1,0,1,1,0,0,6 ╠Хебхф,-1,го©╣╧н,5
0,1,0,1,0,0,0,1,1,0,0,8 ╠Хебхф,-1,юлюГ©Л,-1
1,0,0,1,0,0,0,1,1,0,0,7 ╠Хебхф,-1,╬х©╣╦М,2
0,1,0,0,0,1,0,1,0,1,0,7 ╠Хебхф,-1,╬х©╣╦М,2
0,0,1,0,0,1,0,1,1,0,0,7 ╠Хебхф,-1,╬х©╣╦М,2
1,0,0,0,0,1,0,1,0,1,0,6 ╠Хебхф,-1,юлюГ©Л,-1
0,0,1,1,0,0,0,1,1,0,0,9 ╠Хебхф,-1,╠Х╢К©Л,3
1,0,0,0,1,0,0,1,1,0,0,6 ╠Хебхф,-1,╧за╓╪Ж,6
1,0,0,0,1,0,1,0,0,1,0,6 ╠Хебхф,-1,╧за╓╪Ж,6
0,1,0,1,0,0,0,1,1,0,0,6 ╠Хебхф,-1,ю╞ц╒╫д,-1
0,0,1,0,1,0,1,0,1,0,0,6 ╠Хебхф,-1,гя╫бгУ,3
0,0,1,1,0,0,0,1,0,1,0,6 ╠Хебхф,-1,╧╝╟ФбЫ,6
0,0,1,1,0,0,0,1,1,0,0,6 ╠Хебхф,-1,ю╠╪╝аж,-1
1,0,0,1,0,0,1,0,1,0,0,7 ╠Хебхф,-1,ц╓╨╢©К,4
1,0,0,0,1,0,1,0,1,0,0,7 ╠Хебхф,-1,ц╓╨╢©К,4
0,1,0,0,0,1,1,0,1,0,0,7 ╠Хебхф,-1,╧за╓╧Х,3
0,0,1,0,1,0,0,1,1,0,0,7 ╠Хебхф,-1,ю╠╠ФгЖ,2
0,0,1,0,0,1,0,1,0,1,0,8 ╠Хебхф,-1,х╚╪╨╧н,5
0,0,1,0,1,0,0,1,1,0,0,8 ╠Хебхф,-1,юл╪╨╧н,-1
0,0,1,0,0,1,0,1,1,0,0,8 ╠Хебхф,-1,╪р╩Г,-1
0,0,1,1,0,0,0,1,1,0,0,4 ╠Хебхф,-1,юл╫бгЖ,5
0,1,0,0,0,1,0,1,1,0,0,8 ╠Хебхф,-1,╫╨ф╘╬Нф╝,-1
0,0,1,1,0,0,0,1,1,0,0,8 ╠Хебхф,-1,╫╨ф╘╬Нф╝,-1
0,0,1,0,1,0,1,0,0,1,0,8 ╠Хебхф,-1,юсц╒╧н,3
0,0,1,0,0,1,0,1,1,0,0,9 ╠Хебхф,-1,юсц╒©К,-1
0,0,1,0,1,0,0,1,1,0,0,5 ╠Хебхф,-1,юл╣©гЖ,2
0,0,1,0,1,0,0,1,1,0,0,6 ╠Хебхф,-1,юлеб╬Г,1
0,0,1,1,0,0,1,0,1,0,0,6 ╠Хебхф,-1,╧з╦Мх╞,-1
