3,4,5,6,7,8,9,10,11,1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_1,base_2,base_3,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,4 문상철,-1,박종훈,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4 문상철,-1,박종훈,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4 문상철,-1,박종훈,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4 문상철,-1,박민호,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,8 문상철,-1,벨레스터,A
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,8 문상철,-1,벨레스터,A
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,8 문상철,-1,정인욱,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,8 문상철,-1,정인욱,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,8 문상철,-1,윤성환,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,8 문상철,-1,윤성환,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8 문상철,-1,권오준,A
0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8 문상철,-1,안지만,A
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,7 문상철,-1,신재영,A
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,7 문상철,-1,신재영,A
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,7 문상철,-1,신재영,A
0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,9 문상철,-1,정영일,A
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,7 문상철,-1,이재학,A
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,7 문상철,-1,이재학,A
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7 문상철,-1,이재학,A
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,7 문상철,-1,최금강,A
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4 문상철,-1,장민재,A
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,7 문상철,-1,신재영,A
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7 문상철,-1,신재영,A
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7 문상철,-1,신재영,A
0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,7 문상철,-1,김세현,A
