1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,1,0,0,0,1,1,0,0,2 ¼Û¹Î¼·,-1,¹éÁ¤Çö,1
1,0,0,0,0,1,1,0,0,1,0,7 ¼Û¹Î¼·,-1,Àå¿ø»ï,0
0,1,0,1,0,0,0,1,1,0,0,7 ¼Û¹Î¼·,-1,Àå¿ø»ï,0
0,1,0,0,0,1,0,1,1,0,0,9 ¼Û¹Î¼·,-1,ÁøÇØ¼ö,3
0,0,1,0,1,0,0,1,1,0,0,3 ¼Û¹Î¼·,-1,Á¤¿ì¶÷,2
1,0,0,1,0,0,0,1,0,1,0,7 ¼Û¹Î¼·,-1,ÇÇ¾î¹êµå,1
0,1,0,0,1,0,0,1,0,1,0,7 ¼Û¹Î¼·,-1,ÇÇ¾î¹êµå,1
0,0,1,0,1,0,0,1,0,1,0,7 ¼Û¹Î¼·,-1,ÇÇ¾î¹êµå,1
0,0,1,0,1,0,0,1,0,1,0,7 ¼Û¹Î¼·,-1,±èµ¿ÁØ,5
1,0,0,0,0,1,1,0,1,0,0,6 ¼Û¹Î¼·,-1,¼Û½Å¿µ,-1
0,1,0,0,0,1,0,1,1,0,0,6 ¼Û¹Î¼·,-1,¼Û½Å¿µ,-1
0,0,1,1,0,0,0,1,1,0,0,6 ¼Û¹Î¼·,-1,Á¶»ó¿ì,5
1,0,0,0,1,0,0,1,1,0,0,2 ¼Û¹Î¼·,-1,¹êÇìÄË,-1
1,0,0,0,0,1,0,1,1,0,0,2 ¼Û¹Î¼·,-1,¹êÇìÄË,-1
0,1,0,1,0,0,1,0,0,0,1,2 ¼Û¹Î¼·,-1,¹êÇìÄË,-1
1,0,0,0,1,0,0,1,1,0,0,6 ¼Û¹Î¼·,-1,À¯Èñ°ü,4
0,1,0,0,1,0,0,1,0,1,0,6 ¼Û¹Î¼·,-1,À¯Èñ°ü,4
0,0,1,1,0,0,0,1,1,0,0,6 ¼Û¹Î¼·,-1,À¯Èñ°ü,4
1,0,0,1,0,0,0,1,0,1,0,6 ¼Û¹Î¼·,-1,´ÏÆÛÆ®,4
0,1,0,0,1,0,1,0,1,0,0,6 ¼Û¹Î¼·,-1,´ÏÆÛÆ®,4
0,0,1,1,0,0,0,1,1,0,0,6 ¼Û¹Î¼·,-1,´ÏÆÛÆ®,4
0,0,1,1,0,0,1,0,1,0,0,6 ¼Û¹Î¼·,-1,À±¸íÁØ,5
0,0,1,0,1,0,0,1,1,0,0,6 ¼Û¹Î¼·,-1,±è°­·ü,3
