1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,9 심우준,1,켈리,6
0,1,0,0,1,0,1,0,1,0,0,9 심우준,1,켈리,6
0,0,1,1,0,0,0,1,1,0,0,9 심우준,1,박희수,3
0,0,1,0,1,0,0,1,1,0,0,9 심우준,1,채병용,4
1,0,0,0,0,1,0,1,1,0,0,9 심우준,1,윤희상,2
0,1,0,0,0,1,1,0,1,0,0,9 심우준,1,윤희상,2
0,0,1,0,0,1,0,1,1,0,0,9 심우준,1,채병용,4
1,0,0,1,0,0,0,1,1,0,0,9 심우준,1,문승원,3
0,1,0,0,0,1,0,1,1,0,0,9 심우준,1,문승원,3
0,1,0,0,1,0,0,1,0,1,0,9 심우준,1,박희수,3
0,0,1,0,0,1,1,0,1,0,0,9 심우준,1,박정배,3
0,0,1,0,0,1,0,1,0,1,0,9 심우준,1,김성민,5
1,0,0,0,1,0,0,1,1,0,0,2 심우준,1,장원준,0
1,0,0,0,0,1,1,0,1,0,0,2 심우준,1,장원준,0
0,1,0,1,0,0,0,1,1,0,0,2 심우준,1,장원준,0
0,0,1,1,0,0,0,1,0,1,0,2 심우준,1,이현승,2
1,0,0,1,0,0,0,1,1,0,0,1 심우준,1,함덕주,3
1,0,0,1,0,0,0,1,1,0,0,1 심우준,1,함덕주,3
0,1,0,1,0,0,1,0,1,0,0,1 심우준,1,함덕주,3
1,0,0,0,0,1,0,1,1,0,0,9 심우준,1,우규민,4
0,1,0,0,0,1,0,1,0,1,0,9 심우준,1,우규민,4
0,0,1,0,0,1,0,1,1,0,0,9 심우준,1,우규민,4
1,0,0,0,1,0,1,0,1,0,0,9 심우준,1,최충연,5
0,1,0,0,1,0,0,1,1,0,0,9 심우준,1,최충연,5
0,0,1,0,1,0,0,1,1,0,0,9 심우준,1,박근홍,3
1,0,0,0,1,0,0,1,0,1,0,8 심우준,1,신재영,3
0,1,0,0,0,1,1,0,1,0,0,8 심우준,1,신재영,3
0,0,1,0,1,0,0,1,1,0,0,8 심우준,1,금민철,2
1,0,0,1,0,0,0,1,1,0,0,8 심우준,1,밴헤켄,-1
0,1,0,1,0,0,0,1,0,1,0,8 심우준,1,밴헤켄,-1
0,1,0,0,1,0,0,1,0,1,0,8 심우준,1,양훈,-1
0,0,1,0,0,1,0,1,1,0,0,8 심우준,1,이보근,1
1,0,0,0,0,1,0,1,0,1,0,9 심우준,1,류제국,1
0,1,0,0,0,1,0,1,1,0,0,9 심우준,1,류제국,1
0,0,1,0,1,0,1,0,1,0,0,9 심우준,1,류제국,1
1,0,0,1,0,0,0,1,0,0,1,9 심우준,1,임찬규,1
