1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,7 오준혁,1,오간도,-1
0,1,0,1,0,0,0,1,1,0,0,7 오준혁,1,오간도,-1
0,0,1,0,0,1,0,1,1,0,0,6 오준혁,1,김유영,-1
0,0,1,1,0,0,1,0,1,0,0,3 오준혁,1,강동호,-1
0,0,1,0,1,0,1,0,0,0,1,6 오준혁,1,윤길현,2
0,1,0,0,0,1,0,1,1,0,0,8 오준혁,1,안영명,2
0,0,1,1,0,0,0,1,1,0,0,5 오준혁,1,심창민,-1
0,0,1,1,0,0,0,1,0,1,0,8 오준혁,1,장시환,3
0,0,1,0,1,0,0,1,0,1,0,1 오준혁,1,윤근영,3
0,0,1,0,1,0,0,1,1,0,0,9 오준혁,1,서진용,5
0,0,1,0,0,1,1,0,1,0,0,9 오준혁,1,백인식,5
0,0,1,0,0,1,0,1,1,0,0,8 오준혁,1,심수창,2
0,0,1,0,0,1,1,0,0,1,0,3 오준혁,1,조무근,5
1,0,0,1,0,0,0,1,1,0,0,1 오준혁,1,해커,2
1,0,0,0,1,0,0,1,1,0,0,1 오준혁,1,해커,2
0,1,0,1,0,0,0,1,1,0,0,1 오준혁,1,해커,2
1,0,0,0,1,0,0,1,1,0,0,2 오준혁,1,스튜어트,-1
1,0,0,0,1,0,0,1,1,0,0,2 오준혁,1,스튜어트,-1
0,1,0,0,1,0,1,0,1,0,0,2 오준혁,1,스튜어트,-1
1,0,0,1,0,0,1,0,1,0,0,2 오준혁,1,류제국,1
0,1,0,1,0,0,1,0,1,0,0,2 오준혁,1,류제국,1
0,1,0,0,0,1,1,0,1,0,0,2 오준혁,1,류제국,1
0,0,1,0,0,1,1,0,0,0,1,9 오준혁,1,임정우,3
0,0,1,1,0,0,0,1,1,0,0,9 오준혁,1,장시환,3
1,0,0,1,0,0,0,1,1,0,0,1 오준혁,1,피노,-1
1,0,0,1,0,0,1,0,0,1,0,1 오준혁,1,피노,-1
0,1,0,1,0,0,0,1,0,1,0,1 오준혁,1,피노,-1
0,1,0,1,0,0,0,1,0,1,0,1 오준혁,1,심재민,-1
0,0,1,0,0,1,0,1,0,1,0,1 오준혁,1,고영표,-1
1,0,0,1,0,0,0,1,1,0,0,1 오준혁,1,윤희상,2
1,0,0,1,0,0,0,1,1,0,0,1 오준혁,1,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,1 오준혁,1,박민호,6
0,1,0,0,1,0,1,0,1,0,0,1 오준혁,1,신재웅,3
0,0,1,0,1,0,0,1,0,1,0,1 오준혁,1,김승회,2
0,0,1,1,0,0,0,1,1,0,0,2 오준혁,1,박희수,3
1,0,0,1,0,0,0,1,0,0,1,1 오준혁,1,켈리,6
1,0,0,1,0,0,1,0,1,0,0,1 오준혁,1,켈리,6
0,1,0,0,0,1,1,0,1,0,0,1 오준혁,1,켈리,6
0,0,1,0,1,0,1,0,0,1,0,1 오준혁,1,켈리,6
1,0,0,1,0,0,0,1,1,0,0,1 오준혁,1,박주현,-1
1,0,0,0,0,1,0,1,1,0,0,1 오준혁,1,박주현,-1
0,1,0,0,0,1,1,0,1,0,0,1 오준혁,1,오주원,2
0,1,0,0,1,0,1,0,1,0,0,1 오준혁,1,하영민,5
0,0,1,1,0,0,0,1,1,0,0,1 오준혁,1,김택형,5
