1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,0,1,1,0,0,8 오태곤,-1,이형범,-1
0,0,1,0,1,0,0,1,1,0,0,4 오태곤,-1,박주현,-1
0,0,1,0,1,0,0,1,1,0,0,9 오태곤,-1,진해수,0
0,0,1,0,0,1,1,0,0,1,0,4 오태곤,-1,진해수,0
1,0,0,1,0,0,1,0,1,0,0,6 오태곤,-1,임찬규,-1
0,1,0,1,0,0,0,1,0,0,1,6 오태곤,-1,임찬규,-1
0,1,0,1,0,0,0,1,0,0,1,6 오태곤,-1,최동환,2
0,1,0,0,1,0,0,1,1,0,0,6 오태곤,-1,최동환,2
1,0,0,0,1,0,1,0,0,0,1,8 오태곤,-1,박종훈,-1
1,0,0,0,0,1,1,0,1,0,0,8 오태곤,-1,박종훈,-1
0,1,0,1,0,0,0,1,1,0,0,8 오태곤,-1,박종훈,-1
0,0,1,1,0,0,0,1,0,0,1,9 오태곤,-1,채병용,2
0,0,1,1,0,0,0,1,1,0,0,9 오태곤,-1,박희수,2
1,0,0,0,0,1,0,1,1,0,0,8 오태곤,-1,김주한,-1
0,1,0,1,0,0,0,1,1,0,0,8 오태곤,-1,김주한,-1
0,1,0,0,1,0,1,0,1,0,0,8 오태곤,-1,문광은,-1
0,0,1,0,1,0,0,1,0,0,1,8 오태곤,-1,박정배,0
1,0,0,0,0,1,1,0,0,1,0,7 오태곤,-1,윤성환,5
0,1,0,1,0,0,0,1,1,0,0,7 오태곤,-1,윤성환,5
0,1,0,0,0,1,0,1,0,0,1,7 오태곤,-1,윤성환,5
0,0,1,0,0,1,0,1,1,0,0,7 오태곤,-1,김승현,-1
1,0,0,0,1,0,0,1,1,0,0,8 오태곤,-1,최충연,-1
0,1,0,1,0,0,0,1,1,0,0,8 오태곤,-1,최충연,-1
1,0,0,0,1,0,0,1,0,0,1,8 오태곤,-1,장원삼,0
0,1,0,0,0,1,0,1,1,0,0,8 오태곤,-1,장원삼,0
0,0,1,1,0,0,1,0,1,0,0,8 오태곤,-1,이민호,0
1,0,0,0,0,1,0,1,0,1,0,6 오태곤,-1,고효준,2
0,1,0,0,1,0,0,1,1,0,0,6 오태곤,-1,고효준,2
0,1,0,1,0,0,0,1,1,0,0,6 오태곤,-1,박지훈,-1
0,0,1,0,1,0,1,0,1,0,0,6 오태곤,-1,손영민,-1
1,0,0,1,0,0,1,0,1,0,0,6 오태곤,-1,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,6 오태곤,-1,헥터,-1
1,0,0,0,1,0,1,0,1,0,0,7 오태곤,-1,배영수,-1
0,1,0,0,1,0,0,1,1,0,0,7 오태곤,-1,배영수,-1
0,0,1,1,0,0,0,1,0,1,0,7 오태곤,-1,배영수,-1
0,0,1,0,1,0,0,1,1,0,0,7 오태곤,-1,윤규진,3
1,0,0,0,0,1,0,1,1,0,0,8 오태곤,-1,송은범,3
0,1,0,1,0,0,1,0,1,0,0,8 오태곤,-1,심수창,4
0,1,0,1,0,0,1,0,0,1,0,8 오태곤,-1,이태양,-1
0,0,1,0,1,0,1,0,0,0,1,8 오태곤,-1,장민재,-1
1,0,0,1,0,0,0,1,0,1,0,8 오태곤,-1,최금강,0
0,1,0,0,0,1,0,1,1,0,0,8 오태곤,-1,최금강,0
0,0,1,0,0,1,0,1,1,0,0,8 오태곤,-1,윤수호,-1
1,0,0,0,1,0,0,1,1,0,0,9 오태곤,-1,구창모,-1
0,1,0,0,1,0,1,0,1,0,0,9 오태곤,-1,구창모,-1
0,0,1,0,0,1,1,0,1,0,0,9 오태곤,-1,원종현,-1
1,0,0,0,0,1,0,1,0,1,0,4 오태곤,-1,차우찬,1
1,0,0,0,0,1,0,1,1,0,0,4 오태곤,-1,차우찬,1
0,1,0,0,1,0,1,0,1,0,0,4 오태곤,-1,차우찬,1
0,0,1,0,1,0,0,1,1,0,0,4 오태곤,-1,신정락,-1
1,0,0,0,0,1,1,0,1,0,0,7 오태곤,-1,소사,1
0,1,0,1,0,0,1,0,0,1,0,7 오태곤,-1,소사,1
0,1,0,0,0,1,1,0,1,0,0,7 오태곤,-1,고우석,-1
0,0,1,0,0,1,0,1,1,0,0,7 오태곤,-1,최동환,2
1,0,0,1,0,0,0,1,0,1,0,7 오태곤,-1,김대현,-1
0,1,0,1,0,0,0,1,1,0,0,7 오태곤,-1,김대현,-1
0,0,1,0,1,0,1,0,0,0,1,7 오태곤,-1,정찬헌,3
0,0,1,0,0,1,0,1,0,1,0,7 오태곤,-1,신정락,-1
1,0,0,1,0,0,1,0,1,0,0,5 오태곤,-1,송승준,3
0,1,0,1,0,0,1,0,1,0,0,5 오태곤,-1,송승준,3
1,0,0,0,0,1,0,1,1,0,0,7 오태곤,-1,애디튼,-1
0,1,0,0,1,0,1,0,1,0,0,7 오태곤,-1,애디튼,-1
0,0,1,1,0,0,0,1,0,1,0,2 오태곤,-1,장민재,-1
0,1,0,0,0,1,1,0,1,0,0,6 오태곤,-1,양현종,1
0,0,1,0,1,0,1,0,0,1,0,6 오태곤,-1,손영민,-1
1,0,0,1,0,0,0,1,1,0,0,6 오태곤,-1,김진우,-1
0,1,0,1,0,0,0,1,0,0,1,6 오태곤,-1,김진우,-1
0,1,0,0,0,1,0,1,1,0,0,6 오태곤,-1,김진우,-1
0,0,1,0,1,0,0,1,0,1,0,6 오태곤,-1,심동섭,4
1,0,0,0,1,0,0,1,0,1,0,6 오태곤,-1,팻딘,-1
1,0,0,0,1,0,0,1,1,0,0,6 오태곤,-1,팻딘,-1
0,1,0,0,1,0,1,0,1,0,0,6 오태곤,-1,팻딘,-1
0,0,1,1,0,0,0,1,1,0,0,6 오태곤,-1,홍건희,-1
1,0,0,0,0,1,0,1,1,0,0,6 오태곤,-1,이민호,0
0,1,0,1,0,0,0,1,0,0,1,6 오태곤,-1,이민호,0
0,1,0,0,0,1,0,1,0,1,0,6 오태곤,-1,원종현,-1
0,0,1,0,0,1,0,1,1,0,0,6 오태곤,-1,김진성,0
0,0,1,0,0,1,0,1,1,0,0,2 오태곤,-1,구창모,-1
1,0,0,1,0,0,1,0,1,0,0,6 오태곤,-1,이재학,5
1,0,0,0,1,0,1,0,1,0,0,6 오태곤,-1,이재학,5
0,1,0,1,0,0,1,0,1,0,0,6 오태곤,-1,이재학,5
0,0,1,0,1,0,0,1,0,1,0,6 오태곤,-1,윤수호,-1
1,0,0,0,0,1,1,0,1,0,0,7 오태곤,-1,김원중,-1
0,1,0,0,0,1,0,1,1,0,0,7 오태곤,-1,김원중,-1
0,0,1,1,0,0,0,1,1,0,0,7 오태곤,-1,윤길현,2
