1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¼Ò»ç,-1
0,1,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,¼Ò»ç,-1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¼Ò»ç,-1
0,0,1,1,0,0,1,0,1,0,0,4 À±¼®¹Î,4,½ÅÁ¤¶ô,3
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,·ùÁ¦±¹,1
0,1,0,0,1,0,0,1,0,1,0,4 À±¼®¹Î,4,·ùÁ¦±¹,1
0,1,0,0,0,1,1,0,0,0,1,4 À±¼®¹Î,4,·ùÁ¦±¹,1
0,0,1,0,1,0,1,0,0,1,0,4 À±¼®¹Î,4,±èÁö¿ë,5
0,0,1,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,ÃÖ¼ºÈÆ,5
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,À±Áö¿õ,5
0,1,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,À±Áö¿õ,5
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,½ÅÁ¤¶ô,3
0,0,1,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,ÃÖ¼ºÈÆ,5
1,0,0,0,0,1,1,0,0,0,1,4 À±¼®¹Î,4,¹Ú¼¼¿õ,1
0,1,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¹Ú¼¼¿õ,1
0,1,0,0,1,0,1,0,0,1,0,4 À±¼®¹Î,4,¹Ú¼¼¿õ,1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¹Ú½Ã¿µ,5
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,·¹ÀÏ¸®,2
0,1,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,·¹ÀÏ¸®,2
0,1,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,·¹ÀÏ¸®,2
0,0,1,0,1,0,1,0,0,1,0,4 À±¼®¹Î,4,³ë°æÀº,-1
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,´ÏÆÛÆ®,4
0,1,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,´ÏÆÛÆ®,4
0,1,0,0,0,1,0,1,0,1,0,4 À±¼®¹Î,4,´ÏÆÛÆ®,4
0,0,1,1,0,0,1,0,1,0,0,4 À±¼®¹Î,4,ÀÌÇöÈ£,5
0,0,1,0,1,0,1,0,1,0,0,4 À±¼®¹Î,4,È«»ó»ï,3
1,0,0,1,0,0,1,0,0,1,0,4 À±¼®¹Î,4,À¯Èñ°ü,4
1,0,0,0,0,1,0,1,0,1,0,4 À±¼®¹Î,4,À¯Èñ°ü,4
0,1,0,0,1,0,0,1,0,1,0,4 À±¼®¹Î,4,À¯Èñ°ü,4
0,0,1,0,1,0,1,0,0,1,0,4 À±¼®¹Î,4,ÀÌ¿ëÂù,1
0,0,1,0,1,0,0,1,0,1,0,4 À±¼®¹Î,4,±è½ÂÈ¸,2
0,0,1,0,0,1,0,1,1,0,0,4 À±¼®¹Î,4,±è¼º¹è,-1
1,0,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,°í¿øÁØ,-1
1,0,0,0,0,1,1,0,0,1,0,4 À±¼®¹Î,4,ÀÌÇöÈ£,5
1,0,0,0,0,1,0,1,1,0,0,4 À±¼®¹Î,4,±è¸í½Å,-1
0,1,0,0,0,1,1,0,0,1,0,4 À±¼®¹Î,4,±è¸í½Å,-1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,È«»ó»ï,3
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,ÁÖ±Ç,3
1,0,0,0,0,1,0,1,0,0,1,4 À±¼®¹Î,4,ÁÖ±Ç,3
0,1,0,1,0,0,1,0,0,1,0,4 À±¼®¹Î,4,ÁÖ±Ç,3
0,1,0,1,0,0,1,0,0,1,0,4 À±¼®¹Î,4,Á¤¼º°ï,3
0,0,1,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,Á¤¼º°ï,3
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,°í¿µÇ¥,-1
0,1,0,0,1,0,1,0,1,0,0,4 À±¼®¹Î,4,°í¿µÇ¥,-1
0,1,0,0,1,0,0,1,0,0,1,4 À±¼®¹Î,4,°í¿µÇ¥,-1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,Àå½ÃÈ¯,3
1,0,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,·ÎÄ¡,-1
1,0,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,·ÎÄ¡,-1
0,1,0,0,1,0,1,0,1,0,0,4 À±¼®¹Î,4,·ÎÄ¡,-1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¾ö»ó¹é,3
0,0,1,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,±èÀçÀ±,5
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,ÆÖµò,-1
0,1,0,0,1,0,1,0,0,1,0,4 À±¼®¹Î,4,ÆÖµò,-1
0,1,0,1,0,0,1,0,0,0,1,4 À±¼®¹Î,4,ÆÖµò,-1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,ÆÖµò,-1
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¾çÇöÁ¾,0
0,1,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,¾çÇöÁ¾,0
0,1,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,¾çÇöÁ¾,0
0,0,1,0,0,1,0,1,0,1,0,4 À±¼®¹Î,4,ÇÑ½ÂÇõ,3
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,È«°ÇÈñ,3
0,1,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,È«°ÇÈñ,3
0,1,0,0,0,1,0,1,1,0,0,4 À±¼®¹Î,4,¼Õ¿µ¹Î,-1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¹ÚÁöÈÆ,6
0,0,1,0,1,0,0,1,0,1,0,4 À±¼®¹Î,4,±èÀ±µ¿,5
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,ÄÌ¸®,6
0,1,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,ÄÌ¸®,6
0,0,1,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,ÄÌ¸®,6
0,0,1,0,0,1,1,0,0,1,0,4 À±¼®¹Î,4,ÄÌ¸®,6
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,´ÙÀÌ¾Æ¸óµå,-1
1,0,0,0,0,1,0,1,1,0,0,4 À±¼®¹Î,4,´ÙÀÌ¾Æ¸óµå,-1
0,1,0,1,0,0,1,0,1,0,0,4 À±¼®¹Î,4,±èÁÖÇÑ,5
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¹ÚÁ¤¹è,3
1,0,0,0,0,1,1,0,0,1,0,4 À±¼®¹Î,4,À±Èñ»ó,2
1,0,0,0,0,1,0,1,0,0,1,4 À±¼®¹Î,4,À±Èñ»ó,2
0,1,0,1,0,0,1,0,1,0,0,4 À±¼®¹Î,4,À±Èñ»ó,2
0,0,1,0,1,0,1,0,0,0,1,4 À±¼®¹Î,4,±è¼º¹Î,5
0,0,1,0,0,1,1,0,0,1,0,4 À±¼®¹Î,4,¹ÚÈñ¼ö,3
1,0,0,0,1,0,1,0,1,0,0,4 À±¼®¹Î,4,¾ÖµðÆ°,-1
1,0,0,0,0,1,1,0,1,0,0,4 À±¼®¹Î,4,¾ÖµðÆ°,-1
0,1,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¾ÖµðÆ°,-1
0,0,1,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,¹èÀåÈ£,3
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¹Ú¼¼¿õ,1
0,1,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,¹Ú¼¼¿õ,1
0,0,1,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,¹Ú¼¼¿õ,1
0,0,1,1,0,0,1,0,1,0,0,4 À±¼®¹Î,4,¼Õ½Â¶ô,2
1,0,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,·¹ÀÏ¸®,2
1,0,0,0,1,0,0,1,0,1,0,4 À±¼®¹Î,4,·¹ÀÏ¸®,2
0,1,0,0,1,0,0,1,0,0,1,4 À±¼®¹Î,4,¹Ú½Ã¿µ,5
0,0,1,0,1,0,1,0,1,0,0,4 À±¼®¹Î,4,¹èÀåÈ£,3
1,0,0,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,±è¸í½Å,-1
1,0,0,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,È«»ó»ï,3
1,0,0,0,1,0,1,0,1,0,0,4 À±¼®¹Î,4,±è¼º¹è,-1
0,1,0,0,1,0,1,0,0,1,0,4 À±¼®¹Î,4,±è¼º¹è,-1
1,0,0,1,0,0,0,1,1,0,0,4 À±¼®¹Î,4,À¯Èñ°ü,4
0,1,0,0,0,1,1,0,0,1,0,4 À±¼®¹Î,4,À¯Èñ°ü,4
0,0,1,0,1,0,0,1,1,0,0,4 À±¼®¹Î,4,À¯Èñ°ü,4
0,0,1,1,0,0,0,1,0,1,0,4 À±¼®¹Î,4,ÀÌ¿ëÂù,1
