1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,켈리,4
1,0,0,0,1,0,0,1,0,1,0,1 이대형,4,켈리,4
0,1,0,0,1,0,0,1,1,0,0,1 이대형,4,켈리,4
0,0,1,0,1,0,0,1,1,0,0,1 이대형,4,박희수,4
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,1 이대형,4,윤희상,2
0,1,0,1,0,0,0,1,1,0,0,1 이대형,4,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,1 이대형,4,서진용,2
0,0,1,0,0,1,0,1,0,1,0,3 이대형,4,임준혁,-1
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,장원준,2
1,0,0,0,1,0,1,0,1,0,0,1 이대형,4,장원준,2
0,1,0,0,0,1,1,0,1,0,0,1 이대형,4,장원준,2
0,0,1,0,0,1,0,1,1,0,0,1 이대형,4,김승회,2
0,0,1,1,0,0,0,1,0,1,0,1 이대형,4,김명신,-1
0,0,1,0,1,0,1,0,1,0,0,1 이대형,4,이현호,0
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,우규민,1
1,0,0,1,0,0,0,1,0,1,0,1 이대형,4,우규민,1
0,1,0,0,0,1,1,0,1,0,0,1 이대형,4,우규민,1
1,0,0,1,0,0,0,1,0,1,0,1 이대형,4,윤성환,1
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,윤성환,1
0,1,0,0,0,1,1,0,1,0,0,1 이대형,4,윤성환,1
0,0,1,0,0,1,0,1,1,0,0,1 이대형,4,윤성환,1
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,최충연,0
1,0,0,0,0,1,0,1,0,1,0,1 이대형,4,최충연,0
0,1,0,0,0,1,0,1,1,0,0,1 이대형,4,최충연,0
0,0,1,0,0,1,0,1,1,0,0,1 이대형,4,박근홍,0
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,신재영,2
0,1,0,1,0,0,0,1,0,1,0,1 이대형,4,신재영,2
0,1,0,0,1,0,0,1,0,0,1,1 이대형,4,금민철,2
0,0,1,1,0,0,0,1,1,0,0,1 이대형,4,마정길,-1
1,0,0,1,0,0,0,1,0,1,0,1 이대형,4,오주원,2
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,오주원,2
0,1,0,0,1,0,0,1,1,0,0,1 이대형,4,오주원,2
0,0,1,0,1,0,1,0,1,0,0,1 이대형,4,김상수,0
0,0,1,0,1,0,0,1,1,0,0,1 이대형,4,김세현,2
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,밴헤켄,-1
1,0,0,0,1,0,1,0,1,0,0,1 이대형,4,밴헤켄,-1
0,1,0,1,0,0,0,1,0,1,0,1 이대형,4,밴헤켄,-1
0,1,0,0,0,1,0,1,1,0,0,1 이대형,4,양훈,-1
0,0,1,0,1,0,0,1,0,1,0,1 이대형,4,김세현,2
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,류제국,2
1,0,0,0,0,1,1,0,1,0,0,1 이대형,4,류제국,2
0,1,0,1,0,0,0,1,1,0,0,1 이대형,4,류제국,2
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,임찬규,0
1,0,0,1,0,0,1,0,1,0,0,1 이대형,4,임찬규,0
0,1,0,0,1,0,1,0,1,0,0,1 이대형,4,임찬규,0
0,0,1,0,0,1,0,1,0,0,1,2 이대형,4,신정락,0
1,0,0,1,0,0,0,1,0,1,0,1 이대형,4,임기영,0
0,1,0,1,0,0,0,1,0,1,0,1 이대형,4,임기영,0
0,1,0,0,0,1,0,1,1,0,0,1 이대형,4,임기영,0
0,0,1,1,0,0,0,1,1,0,0,1 이대형,4,임기영,0
1,0,0,1,0,0,0,1,0,0,1,1 이대형,4,고효준,0
1,0,0,0,1,0,0,1,1,0,0,1 이대형,4,고효준,0
0,1,0,1,0,0,1,0,1,0,0,1 이대형,4,고효준,0
0,0,1,0,1,0,0,1,0,1,0,1 이대형,4,손영민,-1
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,헥터,-1
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,헥터,-1
0,1,0,0,0,1,0,1,1,0,0,1 이대형,4,헥터,-1
0,0,1,1,0,0,0,1,1,0,0,1 이대형,4,홍건희,0
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,배영수,2
1,0,0,0,1,0,1,0,0,1,0,1 이대형,4,배영수,2
0,1,0,0,1,0,0,1,1,0,0,1 이대형,4,배영수,2
0,0,1,0,1,0,0,1,1,0,0,1 이대형,4,송창식,0
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,송은범,2
1,0,0,1,0,0,1,0,0,1,0,1 이대형,4,송은범,2
0,1,0,0,0,1,1,0,1,0,0,1 이대형,4,심수창,0
0,1,0,1,0,0,0,1,1,0,0,1 이대형,4,이태양,0
0,0,1,0,0,1,1,0,0,1,0,1 이대형,4,박정진,-1
1,0,0,1,0,0,0,1,1,0,0,1 이대형,4,오간도,-1
