1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
1,0,0,0,0,1,1,0,1,0,0,7 이해창,1,켈리,6
0,1,0,1,0,0,0,1,1,0,0,7 이해창,1,켈리,6
0,1,0,0,1,0,0,1,1,0,0,7 이해창,1,켈리,6
0,0,1,0,0,1,1,0,1,0,0,7 이해창,1,박정배,3
1,0,0,1,0,0,0,1,1,0,0,7 이해창,1,윤희상,2
0,1,0,0,1,0,0,1,1,0,0,7 이해창,1,윤희상,2
0,0,1,1,0,0,0,1,1,0,0,7 이해창,1,채병용,4
1,0,0,1,0,0,0,1,0,0,1,8 이해창,1,장원준,0
0,1,0,1,0,0,1,0,1,0,0,8 이해창,1,장원준,0
1,0,0,0,1,0,0,1,1,0,0,8 이해창,1,우규민,4
0,1,0,0,1,0,0,1,1,0,0,8 이해창,1,우규민,4
1,0,0,0,1,0,0,1,1,0,0,8 이해창,1,윤성환,0
0,1,0,1,0,0,1,0,1,0,0,8 이해창,1,윤성환,0
0,0,1,1,0,0,0,1,1,0,0,8 이해창,1,윤성환,0
1,0,0,0,0,1,0,1,1,0,0,9 이해창,1,신재영,3
0,1,0,1,0,0,0,1,1,0,0,9 이해창,1,금민철,2
1,0,0,0,0,1,1,0,1,0,0,9 이해창,1,오주원,2
0,1,0,0,1,0,1,0,0,1,0,9 이해창,1,오주원,2
0,0,1,0,1,0,0,1,0,1,0,9 이해창,1,김상수,1
0,0,1,1,0,0,0,1,0,0,1,9 이해창,1,김세현,1
1,0,0,0,1,0,0,1,0,1,0,9 이해창,1,밴헤켄,-1
0,1,0,1,0,0,1,0,0,1,0,9 이해창,1,밴헤켄,-1
0,1,0,0,1,0,0,1,1,0,0,9 이해창,1,양훈,-1
0,0,1,0,1,0,0,1,0,1,0,6 이해창,1,신정락,3
0,0,1,1,0,0,0,1,1,0,0,5 이해창,1,김지용,5
0,0,1,0,1,0,0,1,1,0,0,5 이해창,1,최동환,5
1,0,0,0,0,1,1,0,0,1,0,7 이해창,1,고효준,2
0,1,0,0,0,1,0,1,1,0,0,7 이해창,1,고효준,2
0,1,0,0,1,0,0,1,1,0,0,7 이해창,1,박지훈,6
0,0,1,0,0,1,1,0,1,0,0,7 이해창,1,손영민,-1
1,0,0,0,0,1,1,0,1,0,0,8 이해창,1,헥터,-1
0,1,0,0,1,0,0,1,0,1,0,8 이해창,1,헥터,-1
0,0,1,0,1,0,1,0,1,0,0,8 이해창,1,헥터,-1
0,0,1,0,0,1,0,1,0,0,1,8 이해창,1,임창용,-1
0,0,1,0,0,1,0,1,1,0,0,5 이해창,1,안영명,2
0,0,1,0,0,1,0,1,1,0,0,5 이해창,1,심수창,2
1,0,0,0,1,0,0,1,1,0,0,7 이해창,1,맨쉽,6
0,1,0,0,1,0,1,0,1,0,0,7 이해창,1,맨쉽,6
0,1,0,0,0,1,1,0,1,0,0,7 이해창,1,맨쉽,6
