1 - 3 inning,4 - 6 inning,7 - ? inning,no out,1 out,2 out,base_o,base_x,out,hit,ball,batterName,batterClass,pitcherName,pitcherClass
0,0,1,0,1,0,1,0,0,1,0,7 정현,-1,김성민,-1
1,0,0,0,0,1,0,1,1,0,0,9 정현,-1,함덕주,0
0,1,0,1,0,0,0,1,0,1,0,9 정현,-1,함덕주,0
0,0,1,0,0,1,0,1,1,0,0,8 정현,-1,마정길,-1
1,0,0,0,0,1,0,1,0,0,1,8 정현,-1,오주원,0
0,1,0,1,0,0,1,0,1,0,0,8 정현,-1,오주원,0
0,0,1,1,0,0,0,1,1,0,0,8 정현,-1,김상수,-1
1,0,0,0,0,1,1,0,1,0,0,7 정현,-1,밴헤켄,-1
0,1,0,0,0,1,1,0,1,0,0,7 정현,-1,밴헤켄,-1
1,0,0,1,0,0,1,0,0,1,0,2 정현,-1,차우찬,1
1,0,0,0,0,1,0,1,1,0,0,2 정현,-1,차우찬,1
0,1,0,0,1,0,0,1,1,0,0,2 정현,-1,차우찬,1
0,1,0,0,0,1,0,1,1,0,0,2 정현,-1,고우석,-1
0,0,1,0,1,0,0,1,0,1,0,7 정현,-1,헥터,-1
0,0,1,0,1,0,0,1,1,0,0,7 정현,-1,임창용,3
0,0,1,0,0,1,1,0,0,1,0,3 정현,-1,심수창,4
0,0,1,0,1,0,0,1,1,0,0,9 정현,-1,임창민,4
1,0,0,0,1,0,0,1,1,0,0,2 정현,-1,최금강,0
0,1,0,1,0,0,0,1,1,0,0,2 정현,-1,최금강,0
0,1,0,0,0,1,0,1,1,0,0,2 정현,-1,최금강,0
0,0,1,0,1,0,1,0,0,0,1,2 정현,-1,이민호,0
1,0,0,0,0,1,0,1,1,0,0,8 정현,-1,차우찬,1
0,1,0,1,0,0,0,1,1,0,0,8 정현,-1,차우찬,1
0,0,1,0,0,1,1,0,1,0,0,8 정현,-1,차우찬,1
0,0,1,1,0,0,0,1,1,0,0,8 정현,-1,김유영,-1
1,0,0,1,0,0,0,1,1,0,0,8 정현,-1,애디튼,-1
0,1,0,0,0,1,0,1,0,1,0,8 정현,-1,애디튼,-1
0,1,0,0,0,1,0,1,1,0,0,8 정현,-1,배장호,2
0,0,1,0,1,0,0,1,0,1,0,8 정현,-1,강동호,-1
1,0,0,1,0,0,0,1,1,0,0,9 정현,-1,박세웅,-1
0,1,0,0,0,1,1,0,1,0,0,9 정현,-1,박세웅,-1
0,0,1,0,1,0,1,0,1,0,0,9 정현,-1,윤길현,2
0,0,1,1,0,0,1,0,1,0,0,9 정현,-1,손승락,0
0,1,0,0,0,1,0,1,1,0,0,3 정현,-1,오간도,-1
0,0,1,1,0,0,0,1,1,0,0,3 정현,-1,이동걸,4
0,0,1,0,1,0,1,0,1,0,0,7 정현,-1,장민재,-1
0,0,1,0,0,1,0,1,0,1,0,2 정현,-1,손영민,-1
0,0,1,0,0,1,1,0,1,0,0,2 정현,-1,김광수,-1
1,0,0,0,1,0,0,1,1,0,0,8 정현,-1,팻딘,-1
1,0,0,0,0,1,0,1,0,1,0,8 정현,-1,팻딘,-1
0,1,0,1,0,0,0,1,0,1,0,8 정현,-1,팻딘,-1
0,0,1,0,0,1,0,1,1,0,0,8 정현,-1,홍건희,-1
0,0,1,0,0,1,0,1,1,0,0,9 정현,-1,윤수호,-1
1,0,0,0,0,1,0,1,1,0,0,8 정현,-1,최금강,0
0,1,0,0,0,1,0,1,0,1,0,8 정현,-1,강장산,-1
0,1,0,1,0,0,1,0,0,1,0,8 정현,-1,강윤구,-1
0,0,1,0,0,1,0,1,1,0,0,8 정현,-1,구창모,-1
1,0,0,1,0,0,0,1,0,0,1,8 정현,-1,김원중,-1
